season,season_id,competition_id,group_id,team_id,team,source_url,scraped_at
2016-2017,12,4993446,5148235,2002,FUTBOL ALCOBENDAS SPORT,https://www.rffm.es/competicion/calendario?temporada=12&competicion=4993446&grupo=5148235&jornada=1&tipojuego=1,2026-08-12T22:41:39.615558+00:00
2016-2017,12,4993446,5148235,106,ARAVACA C.F. 'A',https://www.rffm.es/competicion/calendario?temporada=12&competicion=4993446&grupo=5148235&jornada=1&tipojuego=1,2026-08-12T22:41:39.615558+00:00
2016-2017,12,4993446,5148235,1045,SAD. C.F. INTERNAC.MADRID DEP. S.L.,https://www.rffm.es/competicion/calendario?temporada=12&competicion=4993446&grupo=5148235&jornada=1&tipojuego=1,2026-08-12T22:41:39.615558+00:00
2016-2017,12,4993446,5148235,2172,C.F. FUENLABRADA S.A.D. 'A',https://www.rffm.es/competicion/calendario?temporada=12&competicion=4993446&grupo=5148235&jornada=1&tipojuego=1,2026-08-12T22:41:39.615558+00:00
2016-2017,12,4993445,5066265,1400,DEPORTIVO A.V. SANTA ANA,https://www.rffm.es/competicion/calendario?temporada=12&competicion=4993445&grupo=5066265&jornada=1&tipojuego=1,2026-08-12T22:41:44.323911+00:00
2016-2017,12,4993445,5066265,71,R.S.D. ALCALA S.A.D. 'A',https://www.rffm.es/competicion/calendario?temporada=12&competicion=4993445&grupo=5066265&jornada=1&tipojuego=1,2026-08-12T22:41:44.323911+00:00
2016-2017,12,4993445,5066265,1532,F.C. VILLANUEVA DEL PARDILLO 'A',https://www.rffm.es/competicion/calendario?temporada=12&competicion=4993445&grupo=5066265&jornada=1&tipojuego=1,2026-08-12T22:41:44.323911+00:00
2016-2017,12,4993445,5066265,2127,C.D. MOSTOLES U.R.J.C. 'A',https://www.rffm.es/competicion/calendario?temporada=12&competicion=4993445&grupo=5066265&jornada=1&tipojuego=1,2026-08-12T22:41:44.323911+00:00
2016-2017,12,4993445,5066265,561,GETAFE C.F. S.A.D. 'B',https://www.rffm.es/competicion/calendario?temporada=12&competicion=4993445&grupo=5066265&jornada=1&tipojuego=1,2026-08-12T22:41:44.323911+00:00
2016-2017,12,4993445,5066265,280,A.D. ALCORCON S.A.D. 'B',https://www.rffm.es/competicion/calendario?temporada=12&competicion=4993445&grupo=5066265&jornada=1&tipojuego=1,2026-08-12T22:41:44.323911+00:00
2016-2017,12,4993445,5066265,119,C.D. SAN FERNANDO,https://www.rffm.es/competicion/calendario?temporada=12&competicion=4993445&grupo=5066265&jornada=1&tipojuego=1,2026-08-12T22:41:44.323911+00:00
2016-2017,12,4993445,5066265,106,ARAVACA C.F. 'A',https://www.rffm.es/competicion/calendario?temporada=12&competicion=4993445&grupo=5066265&jornada=1&tipojuego=1,2026-08-12T22:41:44.323911+00:00
2016-2017,12,4993445,5066265,1592,A.D. UNION ADARVE 'A',https://www.rffm.es/competicion/calendario?temporada=12&competicion=4993445&grupo=5066265&jornada=1&tipojuego=1,2026-08-12T22:41:44.323911+00:00
2016-2017,12,4993445,5066265,311,A.D. PARLA 'A',https://www.rffm.es/competicion/calendario?temporada=12&competicion=4993445&grupo=5066265&jornada=1&tipojuego=1,2026-08-12T22:41:44.323911+00:00
2016-2017,12,4993445,5066265,1563,C.F. TRIVAL VALDERAS ALCORCON 'A',https://www.rffm.es/competicion/calendario?temporada=12&competicion=4993445&grupo=5066265&jornada=1&tipojuego=1,2026-08-12T22:41:44.323911+00:00
2016-2017,12,4993445,5066265,256,ALCOBENDAS-LEVITT C.F.,https://www.rffm.es/competicion/calendario?temporada=12&competicion=4993445&grupo=5066265&jornada=1&tipojuego=1,2026-08-12T22:41:44.323911+00:00
2016-2017,12,4993445,5066265,1045,SAD. C.F. INTERNAC.MADRID DEP. S.L.,https://www.rffm.es/competicion/calendario?temporada=12&competicion=4993445&grupo=5066265&jornada=1&tipojuego=1,2026-08-12T22:41:44.323911+00:00
2016-2017,12,4993445,5066265,1873,C.F. POZUELO DE ALARCON 'A',https://www.rffm.es/competicion/calendario?temporada=12&competicion=4993445&grupo=5066265&jornada=1&tipojuego=1,2026-08-12T22:41:44.323911+00:00
2016-2017,12,4993445,5066265,162,ATLETICO DE PINTO,https://www.rffm.es/competicion/calendario?temporada=12&competicion=4993445&grupo=5066265&jornada=1&tipojuego=1,2026-08-12T22:41:44.323911+00:00
2016-2017,12,4993445,5066265,94,C.D. LEGANES S.A.D. 'B',https://www.rffm.es/competicion/calendario?temporada=12&competicion=4993445&grupo=5066265&jornada=1&tipojuego=1,2026-08-12T22:41:44.323911+00:00
2016-2017,12,4993445,5066265,58,RAYO VALLECANO DE MADRID 'B',https://www.rffm.es/competicion/calendario?temporada=12&competicion=4993445&grupo=5066265&jornada=1&tipojuego=1,2026-08-12T22:41:44.323911+00:00
