season,season_id,category,competition,competition_id,group,group_id,group_label_raw,subgroup_label,source_url,scraped_at
2017-2018,13,OTHER,COPA REAL FEDERACION ESPAÑOLA DE FUTBOL,6931746,Grupo Unico,7061757,Grupo Unico,,https://www.rffm.es/api/groups?competicion=6931746,2026-08-12T22:03:37.394337+00:00
2017-2018,13,OTHER,TERCERA DIVISION NACIONAL,6925637,Grupo 7,6988755,Grupo 7,,https://www.rffm.es/api/groups?competicion=6925637,2026-08-12T22:03:37.395186+00:00
2017-2018,13,AFICIONADO,CATEGORIA PREFERENTE,6931860,Grupo 1,6989643,Grupo 1,,https://www.rffm.es/api/groups?competicion=6931860,2026-08-12T22:03:37.396267+00:00
2017-2018,13,AFICIONADO,CATEGORIA PREFERENTE,6931860,Grupo 2,6996019,Grupo 2,,https://www.rffm.es/api/groups?competicion=6931860,2026-08-12T22:03:37.397131+00:00
2017-2018,13,AFICIONADO,TORNEO DE CAMPEONES - CATEGORIA PREFERENTE,6931946,Final,8963703,Final,,https://www.rffm.es/api/groups?competicion=6931946,2026-08-12T22:03:37.398524+00:00
2017-2018,13,AFICIONADO,PRIMERA DE AFICIONADOS,6931863,Grupo 1,6996922,Grupo 1,,https://www.rffm.es/api/groups?competicion=6931863,2026-08-12T22:03:37.399834+00:00
2017-2018,13,AFICIONADO,PRIMERA DE AFICIONADOS,6931863,Grupo 2,6996923,Grupo 2,,https://www.rffm.es/api/groups?competicion=6931863,2026-08-12T22:03:37.400219+00:00
2017-2018,13,AFICIONADO,PRIMERA DE AFICIONADOS,6931863,Grupo 3,6996924,Grupo 3,,https://www.rffm.es/api/groups?competicion=6931863,2026-08-12T22:03:37.401810+00:00
2017-2018,13,AFICIONADO,PRIMERA DE AFICIONADOS,6931863,Grupo 4,6996926,Grupo 4,,https://www.rffm.es/api/groups?competicion=6931863,2026-08-12T22:03:41.096723+00:00
2017-2018,13,AFICIONADO,SEGUNDA DE AFICIONADOS,6931981,Grupo 1,7005900,Grupo 1,,https://www.rffm.es/api/groups?competicion=6931981,2026-08-12T22:03:41.356793+00:00
2017-2018,13,AFICIONADO,SEGUNDA DE AFICIONADOS,6931981,Grupo 2,6997028,Grupo 2,,https://www.rffm.es/api/groups?competicion=6931981,2026-08-12T22:03:45.409579+00:00
2017-2018,13,AFICIONADO,SEGUNDA DE AFICIONADOS,6931981,Grupo 3,6997048,Grupo 3,,https://www.rffm.es/api/groups?competicion=6931981,2026-08-12T22:03:49.753918+00:00
2017-2018,13,AFICIONADO,SEGUNDA DE AFICIONADOS,6931981,Grupo 4,6997321,Grupo 4,,https://www.rffm.es/api/groups?competicion=6931981,2026-08-12T22:03:49.975061+00:00
2017-2018,13,AFICIONADO,SEGUNDA DE AFICIONADOS,6931981,Grupo 5,6998244,Grupo 5,,https://www.rffm.es/api/groups?competicion=6931981,2026-08-12T22:03:50.537065+00:00
2017-2018,13,AFICIONADO,SEGUNDA DE AFICIONADOS,6931981,Grupo 6,7002061,Grupo 6,,https://www.rffm.es/api/groups?competicion=6931981,2026-08-12T22:03:50.934068+00:00
2017-2018,13,AFICIONADO,SEGUNDA DE AFICIONADOS,6931981,Grupo 7,7002242,Grupo 7,,https://www.rffm.es/api/groups?competicion=6931981,2026-08-12T22:03:51.144155+00:00
2017-2018,13,AFICIONADO,SEGUNDA DE AFICIONADOS,6931981,Grupo 8,7005920,Grupo 8,,https://www.rffm.es/api/groups?competicion=6931981,2026-08-12T22:03:52.355269+00:00
2017-2018,13,AFICIONADO,TERCERA DE AFICIONADOS,6932032,Grupo 1,7005668,Grupo 1,,https://www.rffm.es/api/groups?competicion=6932032,2026-08-12T22:03:55.776601+00:00
2017-2018,13,AFICIONADO,TERCERA DE AFICIONADOS,6932032,Grupo 2,7005819,Grupo 2,,https://www.rffm.es/api/groups?competicion=6932032,2026-08-12T22:03:57.002980+00:00
2017-2018,13,AFICIONADO,TERCERA DE AFICIONADOS,6932032,Grupo 3,7005917,Grupo 3,,https://www.rffm.es/api/groups?competicion=6932032,2026-08-12T22:03:57.013714+00:00
2017-2018,13,AFICIONADO,TERCERA DE AFICIONADOS,6932032,Grupo 4,7005953,Grupo 4,,https://www.rffm.es/api/groups?competicion=6932032,2026-08-12T22:03:57.092929+00:00
2017-2018,13,AFICIONADO,TERCERA DE AFICIONADOS,6932032,Grupo 5,7006002,Grupo 5,,https://www.rffm.es/api/groups?competicion=6932032,2026-08-12T22:03:57.207258+00:00
