match_id,official_kind,official_id,official_name,role_raw,source_url,scraped_at
1784316,referee,5100073,"VEGA HURTADO, RUBEN",Arbitro principal,https://www.rffm.es/acta-partido/1784316,2026-08-12T23:37:21.535075+00:00
1784315,referee,5002722,"PINTADO MAS, CARLOS",Arbitro principal,https://www.rffm.es/acta-partido/1784315,2026-08-12T23:37:21.627054+00:00
1784314,referee,5125009,"TRIGO GONZALEZ, CARLOS",Arbitro principal,https://www.rffm.es/acta-partido/1784314,2026-08-12T23:37:21.675290+00:00
1784320,referee,5077533,"TORRES DE LA TORRE, MARIO",Arbitro principal,https://www.rffm.es/acta-partido/1784320,2026-08-12T23:37:21.973584+00:00
1784311,referee,5144914,"PARRA RODRIGUEZ, JUAN LUIS",Arbitro principal,https://www.rffm.es/acta-partido/1784311,2026-08-12T23:37:22.056473+00:00
1784318,referee,5175454,"SOLIS ROJAS, ARMANDO",Arbitro principal,https://www.rffm.es/acta-partido/1784318,2026-08-12T23:37:22.144691+00:00
1784322,referee,5002722,"PINTADO MAS, CARLOS",Arbitro principal,https://www.rffm.es/acta-partido/1784322,2026-08-12T23:37:22.153880+00:00
1784319,referee,5113256,"GONZALEZ BERMEJO, JORGE",Arbitro principal,https://www.rffm.es/acta-partido/1784319,2026-08-12T23:37:22.154279+00:00
1784317,referee,5175571,"BLANCO ZABALLOS, FRANCISCO",Arbitro principal,https://www.rffm.es/acta-partido/1784317,2026-08-12T23:37:22.340685+00:00
1784312,referee,5111214,"YZAGUIRRE GARCIA, ADRIAN",Arbitro principal,https://www.rffm.es/acta-partido/1784312,2026-08-12T23:37:22.344450+00:00
1784313,referee,5099850,"DERTEANO MARQUEZ, JESUS JAVIER",Arbitro principal,https://www.rffm.es/acta-partido/1784313,2026-08-12T23:37:22.350399+00:00
1784263,referee,5125009,"TRIGO GONZALEZ, CARLOS",Arbitro principal,https://www.rffm.es/acta-partido/1784263,2026-08-12T23:37:22.618918+00:00
1784260,referee,5175454,"SOLIS ROJAS, ARMANDO",Arbitro principal,https://www.rffm.es/acta-partido/1784260,2026-08-12T23:37:22.625700+00:00
1784955,referee,5001860,"DE DIEGO SANCHEZ, DANIEL",Arbitro principal,https://www.rffm.es/acta-partido/1784955,2026-08-12T23:37:22.813090+00:00
1784955,referee,5001861,"DE DIEGO SANCHEZ, MIGUEL ANGEL",Arbitro principal,https://www.rffm.es/acta-partido/1784955,2026-08-12T23:37:22.813090+00:00
1784955,referee,5100361,"PEREZ MOSQUERA, JOSE MANUEL",Arbitro asistente,https://www.rffm.es/acta-partido/1784955,2026-08-12T23:37:22.813090+00:00
1777734,referee,5001588,"SALLABANDA ANDONA, DERAND",Arbitro principal,https://www.rffm.es/acta-partido/1777734,2026-08-12T23:37:23.001817+00:00
1784321,referee,5175643,"LIU, ZHOUQI",Arbitro principal,https://www.rffm.es/acta-partido/1784321,2026-08-12T23:37:23.207333+00:00
1784264,referee,5002619,"ARAGON YUSTAS, RAFAEL",Arbitro principal,https://www.rffm.es/acta-partido/1784264,2026-08-12T23:37:23.338912+00:00
1784954,referee,5002518,"BAEZ PERANDONES, ADRIAN",Arbitro principal,https://www.rffm.es/acta-partido/1784954,2026-08-12T23:37:23.343396+00:00
1784954,referee,5077533,"TORRES DE LA TORRE, MARIO",Arbitro principal,https://www.rffm.es/acta-partido/1784954,2026-08-12T23:37:23.343396+00:00
1784954,referee,5100361,"PEREZ MOSQUERA, JOSE MANUEL",Arbitro asistente,https://www.rffm.es/acta-partido/1784954,2026-08-12T23:37:23.343396+00:00
1777736,referee,5000053,"FERNANDEZ ALVAREZ, JOSE RAUL",Arbitro principal,https://www.rffm.es/acta-partido/1777736,2026-08-12T23:37:23.693401+00:00
1777739,referee,5001030,"RAMIREZ AGUADO, VICTOR",Arbitro principal,https://www.rffm.es/acta-partido/1777739,2026-08-12T23:37:23.819300+00:00
1777738,referee,5002690,"RUBIO RUIZ, EMILIO RODOLFO",Arbitro principal,https://www.rffm.es/acta-partido/1777738,2026-08-12T23:37:24.444390+00:00
1777742,referee,5125009,"TRIGO GONZALEZ, CARLOS",Arbitro principal,https://www.rffm.es/acta-partido/1777742,2026-08-12T23:37:24.445252+00:00
1777744,referee,5000409,"PELAEZ RODRIGUEZ, LUIS MIGUEL",Arbitro principal,https://www.rffm.es/acta-partido/1777744,2026-08-12T23:37:24.558845+00:00
1777737,referee,5001040,"ALCON VAZQUEZ, MIGUEL ANGEL",Arbitro principal,https://www.rffm.es/acta-partido/1777737,2026-08-12T23:37:24.585727+00:00
1777735,referee,5167793,"VEGA FERNANDEZ, JORGE",Arbitro principal,https://www.rffm.es/acta-partido/1777735,2026-08-12T23:37:24.822458+00:00
1777745,referee,5001562,"RODRIGUEZ GIMENO, VICTOR DAVID",Arbitro principal,https://www.rffm.es/acta-partido/1777745,2026-08-12T23:37:24.961259+00:00
1777741,referee,5144927,"HOLGUERA ROMAN, PEDRO DANIEL",Arbitro principal,https://www.rffm.es/acta-partido/1777741,2026-08-12T23:37:25.049584+00:00
1777743,referee,5059629,"CAÑADAS ALONSO, DAVID",Arbitro principal,https://www.rffm.es/acta-partido/1777743,2026-08-12T23:37:25.247621+00:00
1777740,referee,5167652,"GARCIA LASA, ALVARO",Arbitro principal,https://www.rffm.es/acta-partido/1777740,2026-08-12T23:37:25.324207+00:00
1777750,referee,5001060,"MARTIN ALFONSO, MARIA CRUZ",Arbitro principal,https://www.rffm.es/acta-partido/1777750,2026-08-12T23:37:25.345669+00:00
1777748,referee,5152388,"SAIZ GARCIA, MIGUEL",Arbitro principal,https://www.rffm.es/acta-partido/1777748,2026-08-12T23:37:25.352022+00:00
