team_id,team,team_name_raw,club_name_raw,squad_suffix,source_team_url,scraped_at
407,U.D. SAN SEBASTIAN REYES A,U.D. SAN SEBASTIAN REYES 'A',U.D. SAN SEBASTIAN REYES,A,/fichaequipo/407,2026-08-12T22:03:41.356481+00:00
2002,FUTBOL ALCOBENDAS SPORT,FUTBOL ALCOBENDAS SPORT,FUTBOL ALCOBENDAS SPORT,,/fichaequipo/2002,2026-08-12T22:03:50.933326+00:00
162,ATLETICO DE PINTO,ATLETICO DE PINTO,ATLETICO DE PINTO,,/fichaequipo/162,2026-08-12T22:03:50.933326+00:00
1400,DEPORTIVO A.V. SANTA ANA,DEPORTIVO A.V. SANTA ANA,DEPORTIVO A.V. SANTA ANA,,/fichaequipo/1400,2026-08-12T22:03:50.933326+00:00
2027,C.D. FUTBOL TRES CANTOS A,C.D. FUTBOL TRES CANTOS 'A',C.D. FUTBOL TRES CANTOS,A,/fichaequipo/2027,2026-08-12T22:03:50.933326+00:00
1045,SAD. C.F. INTERNAC.MADRID DEP. S.L.,SAD. C.F. INTERNAC.MADRID DEP. S.L.,SAD. C.F. INTERNAC.MADRID DEP. S.L.,,/fichaequipo/1045,2026-08-12T22:03:50.933326+00:00
71,R.S.D. ALCALA S.A.D. A,R.S.D. ALCALA S.A.D. 'A',R.S.D. ALCALA S.A.D.,A,/fichaequipo/71,2026-08-12T22:03:50.933326+00:00
6826481,S.A.D. VILLAVERDE SAN ANDRES A,S.A.D. VILLAVERDE SAN ANDRES 'A',S.A.D. VILLAVERDE SAN ANDRES,A,/fichaequipo/6826481,2026-08-12T22:03:50.933326+00:00
1563,C.F. TRIVAL VALDERAS ALCORCON A,C.F. TRIVAL VALDERAS ALCORCON 'A',C.F. TRIVAL VALDERAS ALCORCON,A,/fichaequipo/1563,2026-08-12T22:03:50.933326+00:00
58,RAYO VALLECANO DE MADRID B,RAYO VALLECANO DE MADRID 'B',RAYO VALLECANO DE MADRID,B,/fichaequipo/58,2026-08-12T22:03:50.933326+00:00
561,GETAFE C.F. S.A.D. B,GETAFE C.F. S.A.D. 'B',GETAFE C.F. S.A.D.,B,/fichaequipo/561,2026-08-12T22:03:50.933326+00:00
1873,C.F. POZUELO DE ALARCON A,C.F. POZUELO DE ALARCON 'A',C.F. POZUELO DE ALARCON,A,/fichaequipo/1873,2026-08-12T22:03:50.933326+00:00
280,A.D. ALCORCON S.A.D. B,A.D. ALCORCON S.A.D. 'B',A.D. ALCORCON S.A.D.,B,/fichaequipo/280,2026-08-12T22:03:50.933326+00:00
94,C.D. LEGANES S.A.D. B,C.D. LEGANES S.A.D. 'B',C.D. LEGANES S.A.D.,B,/fichaequipo/94,2026-08-12T22:03:50.933326+00:00
119,C.D. SAN FERNANDO,C.D. SAN FERNANDO,C.D. SAN FERNANDO,,/fichaequipo/119,2026-08-12T22:03:50.933326+00:00
2594,C.F. SAN AGUSTIN DE GUADALIX A,C.F. SAN AGUSTIN DE GUADALIX 'A',C.F. SAN AGUSTIN DE GUADALIX,A,/fichaequipo/2594,2026-08-12T22:03:50.933326+00:00
193,A.D. COLMENAR VIEJO A,A.D. COLMENAR VIEJO 'A',A.D. COLMENAR VIEJO,A,/fichaequipo/193,2026-08-12T22:03:50.933326+00:00
1791,CLUB POLID. PARLA ESCUELA,CLUB POLID. PARLA ESCUELA,CLUB POLID. PARLA ESCUELA,,/fichaequipo/1791,2026-08-12T22:03:50.933326+00:00
468,C.D. EL ALAMO A,C.D. EL ALAMO 'A',C.D. EL ALAMO,A,/fichaequipo/468,2026-08-12T22:03:50.933326+00:00
2127,C.D. MOSTOLES U.R.J.C. A,C.D. MOSTOLES U.R.J.C. 'A',C.D. MOSTOLES U.R.J.C.,A,/fichaequipo/2127,2026-08-12T22:03:50.933326+00:00
1245,C.D. LOS YEBENES-SAN BRUNO A,C.D. LOS YEBENES-SAN BRUNO 'A',C.D. LOS YEBENES-SAN BRUNO,A,/fichaequipo/1245,2026-08-12T22:03:50.933326+00:00
656,C.D. DOSA,C.D. DOSA,C.D. DOSA,,/fichaequipo/656,2026-08-12T22:03:49.974417+00:00
479,C.D. CANILLAS A,C.D. CANILLAS 'A',C.D. CANILLAS,A,/fichaequipo/479,2026-08-12T22:03:49.974417+00:00
517,CAMARMA C.F. A,CAMARMA C.F. 'A',CAMARMA C.F.,A,/fichaequipo/517,2026-08-12T22:03:49.974417+00:00
1174,PERISO CLUB DE FUTBOL A,PERISO CLUB DE FUTBOL 'A',PERISO CLUB DE FUTBOL,A,/fichaequipo/1174,2026-08-12T22:03:49.974417+00:00
444,C.D. SAN ROQUE E.F.F.,C.D. SAN ROQUE E.F.F.,C.D. SAN ROQUE E.F.F.,,/fichaequipo/444,2026-08-12T22:03:49.974417+00:00
293,LAS ROZAS C.F. A,LAS ROZAS C.F. 'A',LAS ROZAS C.F.,A,/fichaequipo/293,2026-08-12T22:03:41.096400+00:00
2451,A.D. COMPLUTENSE ALCALA,A.D. COMPLUTENSE ALCALA,A.D. COMPLUTENSE ALCALA,,/fichaequipo/2451,2026-08-12T22:03:49.974417+00:00
370,ESCUELA FUTBOL CONCEPCION A,ESCUELA FUTBOL CONCEPCION 'A',ESCUELA FUTBOL CONCEPCION,A,/fichaequipo/370,2026-08-12T22:03:49.974417+00:00
685,C.D. COSLADA,C.D. COSLADA,C.D. COSLADA,,/fichaequipo/685,2026-08-12T22:03:49.974417+00:00
2363,A.D. TORREJON C.F. A,A.D. TORREJON C.F. 'A',A.D. TORREJON C.F.,A,/fichaequipo/2363,2026-08-12T22:03:49.974417+00:00
1619,UNION COLLADO VILLALBA A,UNION COLLADO VILLALBA 'A',UNION COLLADO VILLALBA,A,/fichaequipo/1619,2026-08-12T22:03:49.974417+00:00
72,R.S.D. ALCALA S.A.D. B,R.S.D. ALCALA S.A.D. 'B',R.S.D. ALCALA S.A.D.,B,/fichaequipo/72,2026-08-12T22:03:49.974417+00:00
256,ALCOBENDAS-LEVITT C.F.,ALCOBENDAS-LEVITT C.F.,ALCOBENDAS-LEVITT C.F.,,/fichaequipo/256,2026-08-12T22:03:49.974417+00:00
1532,F.C. VILLANUEVA DEL PARDILLO A,F.C. VILLANUEVA DEL PARDILLO 'A',F.C. VILLANUEVA DEL PARDILLO,A,/fichaequipo/1532,2026-08-12T22:03:49.974417+00:00
438,C.D. GALAPAGAR A,C.D. GALAPAGAR 'A',C.D. GALAPAGAR,A,/fichaequipo/438,2026-08-12T22:03:49.974417+00:00
830,TORRELODONES C.F. A,TORRELODONES C.F. 'A',TORRELODONES C.F.,A,/fichaequipo/830,2026-08-12T22:03:49.974417+00:00
408,U.D. SAN SEBASTIAN REYES B,U.D. SAN SEBASTIAN REYES 'B',U.D. SAN SEBASTIAN REYES,B,/fichaequipo/408,2026-08-12T22:03:49.974417+00:00
106,ARAVACA C.F. A,ARAVACA C.F. 'A',ARAVACA C.F.,A,/fichaequipo/106,2026-08-12T22:03:49.974417+00:00
596,C.D. VICALVARO,C.D. VICALVARO,C.D. VICALVARO,,/fichaequipo/596,2026-08-12T22:03:52.354661+00:00
775,C.D. COLMENAR DE OREJA A,C.D. COLMENAR DE OREJA 'A',C.D. COLMENAR DE OREJA,A,/fichaequipo/775,2026-08-12T22:03:52.354661+00:00
623,ESCUELA DEP.MORATALAZ A,ESCUELA DEP.MORATALAZ 'A',ESCUELA DEP.MORATALAZ,A,/fichaequipo/623,2026-08-12T22:03:52.354661+00:00
1564,C.F. TRIVAL VALDERAS ALCORCON B,C.F. TRIVAL VALDERAS ALCORCON 'B',C.F. TRIVAL VALDERAS ALCORCON,B,/fichaequipo/1564,2026-08-12T22:03:52.354661+00:00
680891,CIEMPOZUELOS CLUB FUTBOL,CIEMPOZUELOS CLUB FUTBOL,CIEMPOZUELOS CLUB FUTBOL,,/fichaequipo/680891,2026-08-12T22:03:52.354661+00:00
46,REAL C.D. CARABANCHEL A,REAL C.D. CARABANCHEL 'A',REAL C.D. CARABANCHEL,A,/fichaequipo/46,2026-08-12T22:03:41.096400+00:00
311,A.D. PARLA A,A.D. PARLA 'A',A.D. PARLA,A,/fichaequipo/311,2026-08-12T22:03:52.354661+00:00
2089,C.D. LUGO FUENLABRADA A,C.D. LUGO FUENLABRADA 'A',C.D. LUGO FUENLABRADA,A,/fichaequipo/2089,2026-08-12T22:03:52.354661+00:00
1991,C.D. SITIO DE ARANJUEZ,C.D. SITIO DE ARANJUEZ,C.D. SITIO DE ARANJUEZ,,/fichaequipo/1991,2026-08-12T22:03:52.354661+00:00
4950039,MOSTOLES BALOMPIE,MOSTOLES BALOMPIE,MOSTOLES BALOMPIE,,/fichaequipo/4950039,2026-08-12T22:03:52.354661+00:00
495,C.D. FORTUNA A,C.D. FORTUNA 'A',C.D. FORTUNA,A,/fichaequipo/495,2026-08-12T22:03:52.354661+00:00
117,REAL ARANJUEZ C.F. A,REAL ARANJUEZ C.F. 'A',REAL ARANJUEZ C.F.,A,/fichaequipo/117,2026-08-12T22:03:52.354661+00:00
2278108,C.D. MOSTOLES U.R.J.C. B,C.D. MOSTOLES U.R.J.C. 'B',C.D. MOSTOLES U.R.J.C.,B,/fichaequipo/2278108,2026-08-12T22:03:52.354661+00:00
300607,C.D. LATINA,C.D. LATINA,C.D. LATINA,,/fichaequipo/300607,2026-08-12T22:03:52.354661+00:00
788,A.D. ARGANDA C.F.,A.D. ARGANDA C.F.,A.D. ARGANDA C.F.,,/fichaequipo/788,2026-08-12T22:03:52.354661+00:00
2472,C.D. LA AVANZADA A,C.D. LA AVANZADA 'A',C.D. LA AVANZADA,A,/fichaequipo/2472,2026-08-12T22:03:52.354661+00:00
