club_id,club_name_raw,portal_web,crest_url,correspondence_address,locality,province,postal_code,representative_team_id,source_url,scraped_at
30431,GETAFE C.F. S.A.D.,www.getafecf.com,/pnfg/pimg/Clubes/00100_0011877690_Escudo_a_color.png,"AVDA. TERESA DE CALCUTA,S/N",Getafe,Madrid,28903.0,561,https://www.rffm.es/fichaequipo/561,2026-08-09T11:22:46.770992+00:00
1038,A.D. ALCORCON S.A.D.,www.adalcorcon.com,/pnfg/pimg/Clubes/00100_0010867312_ESCUDO_FED.jpg,"Av. Esteban Marquez s/n, 28922 Alcorcón - Madrid",Alcorcón,Madrid,28922.0,280,https://www.rffm.es/fichaequipo/280,2026-08-09T11:22:46.890281+00:00
30433,RAYO VALLECANO DE MADRID S.A.D.,www.rayovallecano.es,/pnfg/pimg/Clubes/00100_0011548853_Escudo_Rayo_Vallecano.jpg,CALLE RAYO VALLECANO DE MADRID SAD Nº 2,Madrid,Madrid,28051.0,58,https://www.rffm.es/fichaequipo/58,2026-08-09T11:22:46.936482+00:00
30432,R.S.D. ALCALA S.A.D.,www.rsdalcala.com,/pnfg/pimg/Clubes/00100_0000103781_escudo_rsda_nuevo.jpg,AVDA. VIRGEN DEL VAL S/N (ESTADIO),Alcalá De Henares,Madrid,28805.0,71,https://www.rffm.es/fichaequipo/71,2026-08-09T11:22:47.046146+00:00
3715,C.F. POZUELO DE ALARCON,www.cfpozuelo.com,/pnfg/pimg/Clubes/00100_0010960678_escudo_Rffm_-_CFPOZUELO.jpg,C/ COSTANILLA DEL OLIVAR 13 2 D,0,Madrid,28223.0,1873,https://www.rffm.es/fichaequipo/1873,2026-08-09T11:22:47.051217+00:00
30426,C.D. SAN FERNANDO,www.cdsanfernando.es,/pnfg/pimg/Clubes/00100_0012187001_1016_C.D._San_Fernando_2026_2027_Federacion.png,C/ Eugenia de Montijo s/n,San Fernando De Henares,Madrid,28830.0,119,https://www.rffm.es/fichaequipo/119,2026-08-09T11:22:47.051573+00:00
3929,C.D. MOSTOLES U.R.J.C.,www.cdmostoles.com,/pnfg/pimg/Clubes/00100_0012189690_Escudo_CD_M__STOLES.jpg,Avenida Iker Casillas s/n,Móstoles,Madrid,28935.0,2127,https://www.rffm.es/fichaequipo/2127,2026-08-09T11:22:47.226639+00:00
30435,MEXICO F.C. S.A.D.,https://mexicofc.com,/pnfg/pimg/Clubes/00100_0011715402_logo_M__xico_FC_rN.png,"Avda. Juan Pablo II, 30 - 2º A",Paracuellos De Jarama,Madrid,28860.0,2002,https://www.rffm.es/fichaequipo/2002,2026-08-09T11:22:47.265819+00:00
4198,C.F. SAN AGUSTIN DE GUADALIX,www.cfsanagustin.com,/pnfg/pimg/Clubes/00100_0011183554_escudo_san_agus.png,"JULIAN BERRENDERO, 12",San Agustín Del Guadalix,Madrid,28750.0,2594,https://www.rffm.es/fichaequipo/2594,2026-08-09T11:22:47.861063+00:00
3841,C.D. FUTBOL TRES CANTOS,www.trescantoscdf.com,/pnfg/pimg/Clubes/00100_0012158828_Escudo_Tres_Cantos_CDF.png,28760,Tres Cantos,Madrid,28760.0,2027,https://www.rffm.es/fichaequipo/2027,2026-08-09T11:22:48.006117+00:00
30390,ATLETICO DE PINTO,clubatleticodepinto.com,/pnfg/pimg/Clubes/00100_0011875410_p7_vzIFD_400x400.jpg,calle doña manolita s/n,Pinto,Madrid,28320.0,162,https://www.rffm.es/fichaequipo/162,2026-08-09T11:22:48.011392+00:00
4947426,S.A.D. VILLAVERDE SAN ANDRES,https://sadvillaverdeboetticher.com,/pnfg/pimg/Clubes/00100_0011557501_ESCUDO_SAD_VILLAVERDE.jpeg,"Pº de Talleres, 1",Madrid,Madrid,28021.0,6826481,https://www.rffm.es/fichaequipo/6826481,2026-08-09T11:22:48.070692+00:00
30430,DEPORTIVO A.V. SANTA ANA,www.davsantaana.es,/pnfg/pimg/Clubes/00100_0010976814_dep_av_santaana.jpg,CALLE HOSPITALET DE LLOBREGAT,Madrid,Madrid,28034.0,1400,https://www.rffm.es/fichaequipo/1400,2026-08-09T11:22:48.120910+00:00
3536,C.F. TRIVAL VALDERAS ALCORCON,www.trivalvalderas.com/,/pnfg/pimg/Clubes/00100_0000039449_Trivel_Valderas.jpg,"AVDA.LOS CASTILLOS, S/N (La Canaleja)",Alcorcón,Madrid,28925.0,1563,https://www.rffm.es/fichaequipo/1563,2026-08-09T11:22:48.165039+00:00
1104,C.D. CANILLAS,www.cdcanillas.com,/pnfg/pimg/Clubes/00100_0000094647_53030_logo_cd_canillas.jpg,"AGUSTIN DE ITURBIDE, 1",Madrid,Madrid,28043.0,479,https://www.rffm.es/fichaequipo/479,2026-08-09T11:22:48.267602+00:00
30389,A.D. PARLA,www.adparla.com,/pnfg/pimg/Clubes/00100_0011615023_ESCUDO_ADP.png,"AVD. DE LA ESCUELA PUBLICA, S/N, 28981",Parla,Madrid,28981.0,311,https://www.rffm.es/fichaequipo/311,2026-08-09T11:22:48.726029+00:00
30423,LAS ROZAS C.F.,www.lasrozascf.com,/pnfg/pimg/Clubes/00100_0011108020_Escudo_nuevos_Las_Rozas.png,"AVDA. NUESTRA SEÑORA DE RETAMAR, 16 (POLIDEPORTIVO)",Las Rozas de Madrid,Madrid,28232.0,293,https://www.rffm.es/fichaequipo/293,2026-08-09T11:22:48.878385+00:00
3524,CLUB SIELLO NUEVO BOADILLA F.C.,,/pnfg/pimg/Clubes/00100_0012185915_WhatsApp_Image_2026_07_03_at_20.26.50.png,Calle Antonio Gades 1 portal 4 3ºB,Madrid,Madrid,28051.0,1532,https://www.rffm.es/fichaequipo/1532,2026-08-09T11:22:48.901060+00:00
2165,PERISO CLUB DE FUTBOL,efperiso.ffmadrid.org,/pnfg/pimg/Clubes/00100_0010866743_Periso_C.F..jpg,"Calle de Hermosilla, 101",Madrid,Madrid,28006.0,1174,https://www.rffm.es/fichaequipo/1174,2026-08-09T11:22:48.905446+00:00
1070,U.D. SAN SEBASTIAN DE LOS REYES S.A.D.,www.ud-sanse.com,/pnfg/pimg/Clubes/00100_0000079443_descarga_(12).jpg,"AVDA. MATAPIÑONERA, S/N",San Sebastián De Los Reyes,Madrid,28703.0,407,https://www.rffm.es/fichaequipo/407,2026-08-09T11:22:48.925861+00:00
1010,C.D. LEGANES S.A.D.,www.cdleganes.com,/pnfg/pimg/Clubes/00100_0000052639_escudoleganes.JPG,"ARQUITECTURA, S/N",Leganés,Madrid,28914.0,94,https://www.rffm.es/fichaequipo/94,2026-08-09T11:22:48.939125+00:00
40081,REAL C.D. CARABANCHEL,http://www.rcdcarabanchel.es,/pnfg/pimg/Clubes/00100_0010963629_ESCUDO.jpg,"MONSEÑOR OSCAR ROMERO, 39",Madrid,Madrid,28025.0,46,https://www.rffm.es/fichaequipo/46,2026-08-09T11:22:49.021713+00:00
