season,season_id,category,competition,competition_id,group,group_id,game_type,game_type_id,phase_label,matchday,matchday_label,match_id,home_team,home_team_id,away_team,away_team_id,home_score,away_score,match_date,match_time,match_datetime_raw,venue,venue_id,status,is_finished,is_scheduled,result_text_raw,source_url,source_type,scraped_at
2019-2020,15,BENJAMIN,PREFERENTE BENJAMIN F7,10724090,Grupo 1,11048233,Futbol-7,2,regular_season,1,1 (19-10-2019),1205214,LAS ROZAS C.F.-NUICON-ASUMAN 'A',305,LAS ROZAS C.F.-NUICON-ASUMAN 'B',306,7.0,0.0,2019-10-18,17:30,18-10-2019 17:30,LAS ROZAS - RECINTO FERIAL (HA)(HA),1220,finished,True,True,7-0,https://www.rffm.es/competicion/calendario?temporada=15&competicion=10724090&grupo=11048233&jornada=1&tipojuego=2,calendario_page,2026-08-03T20:47:38.166376+00:00
2019-2020,15,BENJAMIN,PREFERENTE BENJAMIN F7,10724090,Grupo 1,11048233,Futbol-7,2,regular_season,1,1 (19-10-2019),1205218,Equipo Casa (No asignado),,TORRELODONES C.F.-ALTTER 'A',3358574,,,,,,,,unscheduled,False,False,,https://www.rffm.es/competicion/calendario?temporada=15&competicion=10724090&grupo=11048233&jornada=1&tipojuego=2,calendario_page,2026-08-03T20:47:38.166376+00:00
2019-2020,15,BENJAMIN,PREFERENTE BENJAMIN F7,10724090,Grupo 1,11048233,Futbol-7,2,regular_season,1,1 (19-10-2019),1205212,C.D. GALAPAGAR 'B',304711,C.D. GALAPAGAR 'A',304710,1.0,2.0,2019-10-19,09:00,19-10-2019 09:00,COLLADO VILLALBA (HA)(HA),1210,finished,True,True,1-2,https://www.rffm.es/competicion/calendario?temporada=15&competicion=10724090&grupo=11048233&jornada=1&tipojuego=2,calendario_page,2026-08-03T20:47:38.166376+00:00
2019-2020,15,BENJAMIN,PREFERENTE BENJAMIN F7,10724090,Grupo 1,11048233,Futbol-7,2,regular_season,1,1 (19-10-2019),1205213,ATLETICO VILLALBA 'B',334118,ATLETICO VILLALBA 'A',466977,4.0,6.0,2019-10-19,09:50,19-10-2019 09:50,COLLADO VILLALBA (HA)(HA),1210,finished,True,True,4-6,https://www.rffm.es/competicion/calendario?temporada=15&competicion=10724090&grupo=11048233&jornada=1&tipojuego=2,calendario_page,2026-08-03T20:47:38.166376+00:00
2019-2020,15,BENJAMIN,PREFERENTE BENJAMIN F7,10724090,Grupo 1,11048233,Futbol-7,2,regular_season,1,1 (19-10-2019),1205217,GREDOS SAN DIEGO-GUADARRAMA 'F',1035740,C.F. COLLADO VILLALBA 'A',1059795,7.0,3.0,2019-10-19,10:40,19-10-2019 10:40,COLLADO VILLALBA (HA)(HA),1210,finished,True,True,7-3,https://www.rffm.es/competicion/calendario?temporada=15&competicion=10724090&grupo=11048233&jornada=1&tipojuego=2,calendario_page,2026-08-03T20:47:38.166376+00:00
2019-2020,15,BENJAMIN,PREFERENTE BENJAMIN F7,10724090,Grupo 1,11048233,Futbol-7,2,regular_season,1,1 (19-10-2019),1205215,C.F. RAYO MAJADAHONDA 'A',2216,C.F. RAYO MAJADAHONDA 'B',2217,7.0,2.0,2019-10-19,11:30,19-10-2019 11:30,COLLADO VILLALBA (HA)(HA),1210,finished,True,True,7-2,https://www.rffm.es/competicion/calendario?temporada=15&competicion=10724090&grupo=11048233&jornada=1&tipojuego=2,calendario_page,2026-08-03T20:47:38.166376+00:00
2019-2020,15,BENJAMIN,PREFERENTE BENJAMIN F7,10724090,Grupo 1,11048233,Futbol-7,2,regular_season,1,1 (19-10-2019),1205216,C.D. CIUDAD DEL FUTBOL 'B',2276884,ARAVACA C.F. 'A',116,3.0,1.0,2019-10-19,12:20,19-10-2019 12:20,COLLADO VILLALBA (HA)(HA),1210,finished,True,True,3-1,https://www.rffm.es/competicion/calendario?temporada=15&competicion=10724090&grupo=11048233&jornada=1&tipojuego=2,calendario_page,2026-08-03T20:47:38.166376+00:00
2019-2020,15,BENJAMIN,PREFERENTE BENJAMIN F7,10724090,Grupo 1,11048233,Futbol-7,2,regular_season,2,2 (26-10-2019),1205219,C.D. GALAPAGAR 'A',304710,Equipo Fuera (No asignado),,,,,,,,,unscheduled,False,False,,https://www.rffm.es/competicion/calendario?temporada=15&competicion=10724090&grupo=11048233&jornada=1&tipojuego=2,calendario_page,2026-08-03T20:47:38.166376+00:00
2019-2020,15,BENJAMIN,PREFERENTE BENJAMIN F7,10724090,Grupo 1,11048233,Futbol-7,2,regular_season,2,2 (26-10-2019),1205220,ATLETICO VILLALBA 'A',466977,C.D. GALAPAGAR 'B',304711,2.0,3.0,2019-10-26,09:00,26-10-2019 09:00,COLLADO VILLALBA (HA)(HA),1210,finished,True,True,2-3,https://www.rffm.es/competicion/calendario?temporada=15&competicion=10724090&grupo=11048233&jornada=1&tipojuego=2,calendario_page,2026-08-03T20:47:38.166376+00:00
2019-2020,15,BENJAMIN,PREFERENTE BENJAMIN F7,10724090,Grupo 1,11048233,Futbol-7,2,regular_season,2,2 (26-10-2019),1205221,LAS ROZAS C.F.-NUICON-ASUMAN 'B',306,ATLETICO VILLALBA 'B',334118,4.0,4.0,2019-10-26,09:50,26-10-2019 09:50,COLLADO VILLALBA (HA)(HA),1210,finished,True,True,4-4,https://www.rffm.es/competicion/calendario?temporada=15&competicion=10724090&grupo=11048233&jornada=1&tipojuego=2,calendario_page,2026-08-03T20:47:38.166376+00:00
