season,season_id,category,competition,competition_id,group,group_id,team,team_id,position,played,wins,draws,losses,goals_for,goals_against,goal_diff,points,sanction_points,source_url,scraped_at
2021-2022,17,OTHER,COPA R.F.F.M. ,13570964,GRUPO A,13707849,A.D. TORREJON C.F. 'A',2363,1,3,2,1,0,8,5,3,7,0,https://www.rffm.es/competicion/clasificaciones?temporada=17&competicion=13570964&grupo=13707849&tipojuego=1,2026-08-05T01:00:23.828380+00:00
2021-2022,17,OTHER,COPA R.F.F.M. ,13570964,GRUPO A,13707849,REAL C.D. CARABANCHEL,46,2,3,1,2,0,3,2,1,5,0,https://www.rffm.es/competicion/clasificaciones?temporada=17&competicion=13570964&grupo=13707849&tipojuego=1,2026-08-05T01:00:23.828380+00:00
2021-2022,17,OTHER,COPA R.F.F.M. ,13570964,GRUPO A,13707849,C.F. POZUELO DE ALARCON 'A',1873,3,3,1,1,1,4,5,-1,4,0,https://www.rffm.es/competicion/clasificaciones?temporada=17&competicion=13570964&grupo=13707849&tipojuego=1,2026-08-05T01:00:23.828380+00:00
2021-2022,17,OTHER,COPA R.F.F.M. ,13570964,GRUPO A,13707849,A.D. PARLA 'A',311,4,3,0,0,3,2,5,-3,0,0,https://www.rffm.es/competicion/clasificaciones?temporada=17&competicion=13570964&grupo=13707849&tipojuego=1,2026-08-05T01:00:23.828380+00:00
2021-2022,17,OTHER,COPA R.F.F.M. ,13570964,GRUPO B,13707857,C.D.E. MADRID 2021 - FUENLABRADA PROMESAS,4950039,1,3,2,1,0,7,3,4,7,0,https://www.rffm.es/competicion/clasificaciones?temporada=17&competicion=13570964&grupo=13707857&tipojuego=1,2026-08-05T01:00:23.702033+00:00
2021-2022,17,OTHER,COPA R.F.F.M. ,13570964,GRUPO B,13707857,A.D. ALCORCON S.A.D. 'B',280,2,3,1,2,0,7,4,3,5,0,https://www.rffm.es/competicion/clasificaciones?temporada=17&competicion=13570964&grupo=13707857&tipojuego=1,2026-08-05T01:00:23.702033+00:00
2021-2022,17,OTHER,COPA R.F.F.M. ,13570964,GRUPO B,13707857,ESCUELA DEP.MORATALAZ 'A',623,3,3,1,0,2,4,7,-3,3,0,https://www.rffm.es/competicion/clasificaciones?temporada=17&competicion=13570964&grupo=13707857&tipojuego=1,2026-08-05T01:00:23.702033+00:00
2021-2022,17,OTHER,COPA R.F.F.M. ,13570964,GRUPO B,13707857,RAYO VALLECANO DE MADRID 'B',58,4,3,0,1,2,6,10,-4,1,0,https://www.rffm.es/competicion/clasificaciones?temporada=17&competicion=13570964&grupo=13707857&tipojuego=1,2026-08-05T01:00:23.702033+00:00
2021-2022,17,OTHER,TERCERA RFEF,13570384,Grupo 7,13570385,CLUB ATLETICO DE MADRID 'B',18,1,40,29,8,3,82,26,56,95,0,https://www.rffm.es/competicion/clasificaciones?temporada=17&competicion=13570384&grupo=13570385&tipojuego=1,2026-08-05T01:00:37.655109+00:00
2021-2022,17,OTHER,TERCERA RFEF,13570384,Grupo 7,13570385,LAS ROZAS C.F. 'A',293,2,40,22,8,10,68,38,30,74,0,https://www.rffm.es/competicion/clasificaciones?temporada=17&competicion=13570384&grupo=13570385&tipojuego=1,2026-08-05T01:00:37.655109+00:00
2021-2022,17,OTHER,TERCERA RFEF,13570384,Grupo 7,13570385,C.D.E. MADRID 2021 - FUENLABRADA PROMESAS,4950039,3,40,20,12,8,61,42,19,72,0,https://www.rffm.es/competicion/clasificaciones?temporada=17&competicion=13570384&grupo=13570385&tipojuego=1,2026-08-05T01:00:37.655109+00:00
2021-2022,17,OTHER,TERCERA RFEF,13570384,Grupo 7,13570385,A.D. ALCORCON S.A.D. 'B',280,4,40,19,12,9,63,39,24,69,0,https://www.rffm.es/competicion/clasificaciones?temporada=17&competicion=13570384&grupo=13570385&tipojuego=1,2026-08-05T01:00:37.655109+00:00
2021-2022,17,OTHER,TERCERA RFEF,13570384,Grupo 7,13570385,C.D.B. PARACUELLOS ANTAMIRA 'A',2002,5,40,19,9,12,56,44,12,66,0,https://www.rffm.es/competicion/clasificaciones?temporada=17&competicion=13570384&grupo=13570385&tipojuego=1,2026-08-05T01:00:37.655109+00:00
2021-2022,17,OTHER,TERCERA RFEF,13570384,Grupo 7,13570385,C.D.E. URSARIA,300607,6,40,16,16,8,47,27,20,64,0,https://www.rffm.es/competicion/clasificaciones?temporada=17&competicion=13570384&grupo=13570385&tipojuego=1,2026-08-05T01:00:37.655109+00:00
2021-2022,17,OTHER,TERCERA RFEF,13570384,Grupo 7,13570385,R.S.D. ALCALA S.A.D.,71,7,40,18,10,12,45,40,5,64,0,https://www.rffm.es/competicion/clasificaciones?temporada=17&competicion=13570384&grupo=13570385&tipojuego=1,2026-08-05T01:00:37.655109+00:00
