match_id,official_kind,official_id,official_name,role_raw,source_url,scraped_at
1677634,referee,1182332,"PEREZ MERINO, SANDRA",Arbitro principal,https://www.rffm.es/acta-partido/1677634,2026-08-07T07:37:37.132933+00:00
1677634,field_delegate,,"IZQUIERDO JULIAN, JORGE",delegado_campo,https://www.rffm.es/acta-partido/1677634,2026-08-07T07:37:37.132933+00:00
1677636,referee,1182332,"PEREZ MERINO, SANDRA",Arbitro principal,https://www.rffm.es/acta-partido/1677636,2026-08-07T07:37:37.469180+00:00
1677636,field_delegate,,"SANCHEZ BLANCO, DANIEL",delegado_campo,https://www.rffm.es/acta-partido/1677636,2026-08-07T07:37:37.469180+00:00
1677644,referee,1420939,"SANABRIA ALVAREZ, CARLOS",Arbitro principal,https://www.rffm.es/acta-partido/1677644,2026-08-07T07:37:37.476576+00:00
1677644,field_delegate,,"MARTIN LIS, ANTONIO",delegado_campo,https://www.rffm.es/acta-partido/1677644,2026-08-07T07:37:37.476576+00:00
1677637,referee,3278,"TEJEDOR MAZARIO, ALVARO ANTONIO",Arbitro principal,https://www.rffm.es/acta-partido/1677637,2026-08-07T07:37:37.481619+00:00
1677637,field_delegate,,"COLLADO GARCIA, SILVIA",delegado_campo,https://www.rffm.es/acta-partido/1677637,2026-08-07T07:37:37.481619+00:00
1677635,referee,3278,"TEJEDOR MAZARIO, ALVARO ANTONIO",Arbitro principal,https://www.rffm.es/acta-partido/1677635,2026-08-07T07:37:37.494413+00:00
1677635,field_delegate,,"CIUDAD OLMEDO, ELVIS FELIPE",delegado_campo,https://www.rffm.es/acta-partido/1677635,2026-08-07T07:37:37.494413+00:00
1677640,referee,1418143,"RIOJA LOPEZ, FERNANDO",Arbitro principal,https://www.rffm.es/acta-partido/1677640,2026-08-07T07:37:37.543949+00:00
1677642,referee,1420939,"SANABRIA ALVAREZ, CARLOS",Arbitro principal,https://www.rffm.es/acta-partido/1677642,2026-08-07T07:37:37.712115+00:00
1677641,referee,1420939,"SANABRIA ALVAREZ, CARLOS",Arbitro principal,https://www.rffm.es/acta-partido/1677641,2026-08-07T07:37:37.717533+00:00
1677641,field_delegate,,"ÁLVAREZ RODRÍGUEZ, DAVID",delegado_campo,https://www.rffm.es/acta-partido/1677641,2026-08-07T07:37:37.717533+00:00
1677649,referee,877545,"ILLANA GAGO, GONZALO",Arbitro principal,https://www.rffm.es/acta-partido/1677649,2026-08-07T07:37:38.506285+00:00
1677649,field_delegate,,"DÍAZ SÁEZ, FRANCISCO",delegado_campo,https://www.rffm.es/acta-partido/1677649,2026-08-07T07:37:38.506285+00:00
1677646,referee,3278,"TEJEDOR MAZARIO, ALVARO ANTONIO",Arbitro principal,https://www.rffm.es/acta-partido/1677646,2026-08-07T07:37:38.518253+00:00
1677651,referee,877545,"ILLANA GAGO, GONZALO",Arbitro principal,https://www.rffm.es/acta-partido/1677651,2026-08-07T07:37:38.522122+00:00
1677651,field_delegate,,"GUTIERREZ PINILLA, FRANCISCO",delegado_campo,https://www.rffm.es/acta-partido/1677651,2026-08-07T07:37:38.522122+00:00
1677647,referee,877545,"ILLANA GAGO, GONZALO",Arbitro principal,https://www.rffm.es/acta-partido/1677647,2026-08-07T07:37:38.541536+00:00
1677652,referee,1420939,"SANABRIA ALVAREZ, CARLOS",Arbitro principal,https://www.rffm.es/acta-partido/1677652,2026-08-07T07:37:38.596537+00:00
1677652,field_delegate,,"GIRALDO ÁLVAREZ, ASTHON",delegado_campo,https://www.rffm.es/acta-partido/1677652,2026-08-07T07:37:38.596537+00:00
1677643,referee,1418143,"RIOJA LOPEZ, FERNANDO",Arbitro principal,https://www.rffm.es/acta-partido/1677643,2026-08-07T07:37:38.601445+00:00
1677648,referee,3278,"TEJEDOR MAZARIO, ALVARO ANTONIO",Arbitro principal,https://www.rffm.es/acta-partido/1677648,2026-08-07T07:37:38.609320+00:00
1677648,field_delegate,,"BENAVENT IBORRA, VICENTE RAMÓN",delegado_campo,https://www.rffm.es/acta-partido/1677648,2026-08-07T07:37:38.609320+00:00
1677654,referee,1420939,"SANABRIA ALVAREZ, CARLOS",Arbitro principal,https://www.rffm.es/acta-partido/1677654,2026-08-07T07:37:38.857665+00:00
1677654,field_delegate,,"CERVANTES TRIGUERO, EDITH",delegado_campo,https://www.rffm.es/acta-partido/1677654,2026-08-07T07:37:38.857665+00:00
