player_id,season,season_id,called_up,starter_appearances,substitute_appearances,matches_played,goals_total,goals_per_match,yellow_cards,red_cards,second_yellow_cards,is_goalkeeper,jersey_number,source_url,scraped_at
10000038,2022-2023,18,13,10,3,13,0,0.0,0,0,1,False,23,https://www.rffm.es/fichajugador/10000038?temporada=18,2026-08-07T08:26:09.210710+00:00
10000591,2022-2023,18,15,6,9,15,2,0.1,0,0,0,False,7,https://www.rffm.es/fichajugador/10000591?temporada=18,2026-08-07T08:26:09.720798+00:00
10000550,2022-2023,18,17,11,6,17,1,0.1,0,0,0,False,84,https://www.rffm.es/fichajugador/10000550?temporada=18,2026-08-07T08:26:09.730821+00:00
10000912,2022-2023,18,21,17,4,21,1,0.0,3,0,0,False,6,https://www.rffm.es/fichajugador/10000912?temporada=18,2026-08-07T08:26:09.782867+00:00
10000655,2022-2023,18,20,7,13,20,0,0.0,0,0,0,False,2,https://www.rffm.es/fichajugador/10000655?temporada=18,2026-08-07T08:26:09.885298+00:00
10000023,2022-2023,18,18,9,9,18,0,0.0,1,0,0,True,25,https://www.rffm.es/fichajugador/10000023?temporada=18,2026-08-07T08:26:09.991818+00:00
10000419,2022-2023,18,24,19,5,24,2,0.1,5,0,0,True,24,https://www.rffm.es/fichajugador/10000419?temporada=18,2026-08-07T08:26:10.255395+00:00
10001017,2022-2023,18,18,11,7,18,1,0.1,0,0,0,False,23,https://www.rffm.es/fichajugador/10001017?temporada=18,2026-08-07T08:26:10.272867+00:00
10000120,2022-2023,18,24,13,11,24,13,0.5,3,0,0,False,11,https://www.rffm.es/fichajugador/10000120?temporada=18,2026-08-07T08:26:10.298646+00:00
10001168,2022-2023,18,12,12,0,12,6,0.5,0,0,0,False,23,https://www.rffm.es/fichajugador/10001168?temporada=18,2026-08-07T08:26:10.307851+00:00
1000121,2022-2023,18,31,18,13,30,1,0.0,4,0,0,False,18,https://www.rffm.es/fichajugador/1000121?temporada=18,2026-08-07T08:26:10.453779+00:00
10001242,2022-2023,18,19,7,12,19,1,0.1,3,0,0,True,9,https://www.rffm.es/fichajugador/10001242?temporada=18,2026-08-07T08:26:10.480220+00:00
1000144,2022-2023,18,25,24,1,25,22,0.9,7,0,1,False,10,https://www.rffm.es/fichajugador/1000144?temporada=18,2026-08-07T08:26:10.550017+00:00
10001482,2022-2023,18,20,14,6,20,0,0.0,7,0,0,False,57,https://www.rffm.es/fichajugador/10001482?temporada=18,2026-08-07T08:26:10.611276+00:00
10001670,2022-2023,18,21,16,5,21,3,0.1,0,0,0,True,14,https://www.rffm.es/fichajugador/10001670?temporada=18,2026-08-07T08:26:10.846133+00:00
10001654,2022-2023,18,19,18,1,19,1,0.1,4,0,0,False,31,https://www.rffm.es/fichajugador/10001654?temporada=18,2026-08-07T08:26:10.998682+00:00
