page_kind,group_id,competition_id,season_id,game_type_id,url,raw_saved_path
calendario,17145883,17145882,19,2,https://www.rffm.es/competicion/calendario?temporada=19&competicion=17145882&grupo=17145883&tipojuego=2,output/raw/rffm/benjamin/2023-2024/calendario/17145883.html
clasificaciones,17145883,17145882,19,2,https://www.rffm.es/competicion/clasificaciones?temporada=19&competicion=17145882&grupo=17145883&tipojuego=2,output/raw/rffm/benjamin/2023-2024/clasificaciones/17145883.html
goleadores,17145883,17145882,19,2,https://www.rffm.es/competicion/goleadores?temporada=19&competicion=17145882&grupo=17145883&tipojuego=2,output/raw/rffm/benjamin/2023-2024/goleadores/17145883.html
calendario,17145884,17145882,19,2,https://www.rffm.es/competicion/calendario?temporada=19&competicion=17145882&grupo=17145884&tipojuego=2,output/raw/rffm/benjamin/2023-2024/calendario/17145884.html
clasificaciones,17145884,17145882,19,2,https://www.rffm.es/competicion/clasificaciones?temporada=19&competicion=17145882&grupo=17145884&tipojuego=2,output/raw/rffm/benjamin/2023-2024/clasificaciones/17145884.html
goleadores,17145884,17145882,19,2,https://www.rffm.es/competicion/goleadores?temporada=19&competicion=17145882&grupo=17145884&tipojuego=2,output/raw/rffm/benjamin/2023-2024/goleadores/17145884.html
calendario,17145885,17145882,19,2,https://www.rffm.es/competicion/calendario?temporada=19&competicion=17145882&grupo=17145885&tipojuego=2,output/raw/rffm/benjamin/2023-2024/calendario/17145885.html
clasificaciones,17145885,17145882,19,2,https://www.rffm.es/competicion/clasificaciones?temporada=19&competicion=17145882&grupo=17145885&tipojuego=2,output/raw/rffm/benjamin/2023-2024/clasificaciones/17145885.html
goleadores,17145885,17145882,19,2,https://www.rffm.es/competicion/goleadores?temporada=19&competicion=17145882&grupo=17145885&tipojuego=2,output/raw/rffm/benjamin/2023-2024/goleadores/17145885.html
calendario,17145886,17145882,19,2,https://www.rffm.es/competicion/calendario?temporada=19&competicion=17145882&grupo=17145886&tipojuego=2,output/raw/rffm/benjamin/2023-2024/calendario/17145886.html
clasificaciones,17145886,17145882,19,2,https://www.rffm.es/competicion/clasificaciones?temporada=19&competicion=17145882&grupo=17145886&tipojuego=2,output/raw/rffm/benjamin/2023-2024/clasificaciones/17145886.html
goleadores,17145886,17145882,19,2,https://www.rffm.es/competicion/goleadores?temporada=19&competicion=17145882&grupo=17145886&tipojuego=2,output/raw/rffm/benjamin/2023-2024/goleadores/17145886.html
calendario,17145887,17145882,19,2,https://www.rffm.es/competicion/calendario?temporada=19&competicion=17145882&grupo=17145887&tipojuego=2,output/raw/rffm/benjamin/2023-2024/calendario/17145887.html
clasificaciones,17145887,17145882,19,2,https://www.rffm.es/competicion/clasificaciones?temporada=19&competicion=17145882&grupo=17145887&tipojuego=2,output/raw/rffm/benjamin/2023-2024/clasificaciones/17145887.html
goleadores,17145887,17145882,19,2,https://www.rffm.es/competicion/goleadores?temporada=19&competicion=17145882&grupo=17145887&tipojuego=2,output/raw/rffm/benjamin/2023-2024/goleadores/17145887.html
calendario,17145888,17145882,19,2,https://www.rffm.es/competicion/calendario?temporada=19&competicion=17145882&grupo=17145888&tipojuego=2,output/raw/rffm/benjamin/2023-2024/calendario/17145888.html
clasificaciones,17145888,17145882,19,2,https://www.rffm.es/competicion/clasificaciones?temporada=19&competicion=17145882&grupo=17145888&tipojuego=2,output/raw/rffm/benjamin/2023-2024/clasificaciones/17145888.html
goleadores,17145888,17145882,19,2,https://www.rffm.es/competicion/goleadores?temporada=19&competicion=17145882&grupo=17145888&tipojuego=2,output/raw/rffm/benjamin/2023-2024/goleadores/17145888.html
calendario,17145889,17145882,19,2,https://www.rffm.es/competicion/calendario?temporada=19&competicion=17145882&grupo=17145889&tipojuego=2,output/raw/rffm/benjamin/2023-2024/calendario/17145889.html
clasificaciones,17145889,17145882,19,2,https://www.rffm.es/competicion/clasificaciones?temporada=19&competicion=17145882&grupo=17145889&tipojuego=2,output/raw/rffm/benjamin/2023-2024/clasificaciones/17145889.html
goleadores,17145889,17145882,19,2,https://www.rffm.es/competicion/goleadores?temporada=19&competicion=17145882&grupo=17145889&tipojuego=2,output/raw/rffm/benjamin/2023-2024/goleadores/17145889.html
calendario,17145890,17145882,19,2,https://www.rffm.es/competicion/calendario?temporada=19&competicion=17145882&grupo=17145890&tipojuego=2,output/raw/rffm/benjamin/2023-2024/calendario/17145890.html
clasificaciones,17145890,17145882,19,2,https://www.rffm.es/competicion/clasificaciones?temporada=19&competicion=17145882&grupo=17145890&tipojuego=2,output/raw/rffm/benjamin/2023-2024/clasificaciones/17145890.html
goleadores,17145890,17145882,19,2,https://www.rffm.es/competicion/goleadores?temporada=19&competicion=17145882&grupo=17145890&tipojuego=2,output/raw/rffm/benjamin/2023-2024/goleadores/17145890.html
calendario,21416691,21416690,19,2,https://www.rffm.es/competicion/calendario?temporada=19&competicion=21416690&grupo=21416691&tipojuego=2,output/raw/rffm/benjamin/2023-2024/calendario/21416691.html
clasificaciones,21416691,21416690,19,2,https://www.rffm.es/competicion/clasificaciones?temporada=19&competicion=21416690&grupo=21416691&tipojuego=2,output/raw/rffm/benjamin/2023-2024/clasificaciones/21416691.html
goleadores,21416691,21416690,19,2,https://www.rffm.es/competicion/goleadores?temporada=19&competicion=21416690&grupo=21416691&tipojuego=2,output/raw/rffm/benjamin/2023-2024/goleadores/21416691.html
calendario,21394240,21394239,19,2,https://www.rffm.es/competicion/calendario?temporada=19&competicion=21394239&grupo=21394240&tipojuego=2,output/raw/rffm/benjamin/2023-2024/calendario/21394240.html
clasificaciones,21394240,21394239,19,2,https://www.rffm.es/competicion/clasificaciones?temporada=19&competicion=21394239&grupo=21394240&tipojuego=2,output/raw/rffm/benjamin/2023-2024/clasificaciones/21394240.html
goleadores,21394240,21394239,19,2,https://www.rffm.es/competicion/goleadores?temporada=19&competicion=21394239&grupo=21394240&tipojuego=2,output/raw/rffm/benjamin/2023-2024/goleadores/21394240.html
calendario,21394241,21394239,19,2,https://www.rffm.es/competicion/calendario?temporada=19&competicion=21394239&grupo=21394241&tipojuego=2,output/raw/rffm/benjamin/2023-2024/calendario/21394241.html
clasificaciones,21394241,21394239,19,2,https://www.rffm.es/competicion/clasificaciones?temporada=19&competicion=21394239&grupo=21394241&tipojuego=2,output/raw/rffm/benjamin/2023-2024/clasificaciones/21394241.html
goleadores,21394241,21394239,19,2,https://www.rffm.es/competicion/goleadores?temporada=19&competicion=21394239&grupo=21394241&tipojuego=2,output/raw/rffm/benjamin/2023-2024/goleadores/21394241.html
calendario,17145677,17145676,19,2,https://www.rffm.es/competicion/calendario?temporada=19&competicion=17145676&grupo=17145677&tipojuego=2,output/raw/rffm/benjamin/2023-2024/calendario/17145677.html
clasificaciones,17145677,17145676,19,2,https://www.rffm.es/competicion/clasificaciones?temporada=19&competicion=17145676&grupo=17145677&tipojuego=2,output/raw/rffm/benjamin/2023-2024/clasificaciones/17145677.html
goleadores,17145677,17145676,19,2,https://www.rffm.es/competicion/goleadores?temporada=19&competicion=17145676&grupo=17145677&tipojuego=2,output/raw/rffm/benjamin/2023-2024/goleadores/17145677.html
calendario,17145678,17145676,19,2,https://www.rffm.es/competicion/calendario?temporada=19&competicion=17145676&grupo=17145678&tipojuego=2,output/raw/rffm/benjamin/2023-2024/calendario/17145678.html
clasificaciones,17145678,17145676,19,2,https://www.rffm.es/competicion/clasificaciones?temporada=19&competicion=17145676&grupo=17145678&tipojuego=2,output/raw/rffm/benjamin/2023-2024/clasificaciones/17145678.html
goleadores,17145678,17145676,19,2,https://www.rffm.es/competicion/goleadores?temporada=19&competicion=17145676&grupo=17145678&tipojuego=2,output/raw/rffm/benjamin/2023-2024/goleadores/17145678.html
calendario,17145679,17145676,19,2,https://www.rffm.es/competicion/calendario?temporada=19&competicion=17145676&grupo=17145679&tipojuego=2,output/raw/rffm/benjamin/2023-2024/calendario/17145679.html
clasificaciones,17145679,17145676,19,2,https://www.rffm.es/competicion/clasificaciones?temporada=19&competicion=17145676&grupo=17145679&tipojuego=2,output/raw/rffm/benjamin/2023-2024/clasificaciones/17145679.html
goleadores,17145679,17145676,19,2,https://www.rffm.es/competicion/goleadores?temporada=19&competicion=17145676&grupo=17145679&tipojuego=2,output/raw/rffm/benjamin/2023-2024/goleadores/17145679.html
calendario,17145680,17145676,19,2,https://www.rffm.es/competicion/calendario?temporada=19&competicion=17145676&grupo=17145680&tipojuego=2,output/raw/rffm/benjamin/2023-2024/calendario/17145680.html
clasificaciones,17145680,17145676,19,2,https://www.rffm.es/competicion/clasificaciones?temporada=19&competicion=17145676&grupo=17145680&tipojuego=2,output/raw/rffm/benjamin/2023-2024/clasificaciones/17145680.html
goleadores,17145680,17145676,19,2,https://www.rffm.es/competicion/goleadores?temporada=19&competicion=17145676&grupo=17145680&tipojuego=2,output/raw/rffm/benjamin/2023-2024/goleadores/17145680.html
calendario,17145681,17145676,19,2,https://www.rffm.es/competicion/calendario?temporada=19&competicion=17145676&grupo=17145681&tipojuego=2,output/raw/rffm/benjamin/2023-2024/calendario/17145681.html
clasificaciones,17145681,17145676,19,2,https://www.rffm.es/competicion/clasificaciones?temporada=19&competicion=17145676&grupo=17145681&tipojuego=2,output/raw/rffm/benjamin/2023-2024/clasificaciones/17145681.html
