match_id,official_kind,official_id,official_name,role_raw,source_url,scraped_at
2000001,referee,100245964,"ALVAREZ JIMENEZ, SAMUEL",Arbitro principal,https://www.rffm.es/acta-partido/2000001,2026-08-06T03:26:19.573038+00:00
2000003,referee,100247472,"GONZÁLEZ ÁLVAREZ, JORGE",Arbitro principal,https://www.rffm.es/acta-partido/2000003,2026-08-06T03:26:19.650147+00:00
2000009,referee,100248377,"PEREZ GOMEZ, JOSE DANIEL",Arbitro principal,https://www.rffm.es/acta-partido/2000009,2026-08-06T03:26:19.984583+00:00
2000010,referee,100248377,"PEREZ GOMEZ, JOSE DANIEL",Arbitro principal,https://www.rffm.es/acta-partido/2000010,2026-08-06T03:26:20.182984+00:00
2000010,field_delegate,,"ASENJO TUDURI, SANTIAGO",delegado_campo,https://www.rffm.es/acta-partido/2000010,2026-08-06T03:26:20.182984+00:00
2000011,referee,100248377,"PEREZ GOMEZ, JOSE DANIEL",Arbitro principal,https://www.rffm.es/acta-partido/2000011,2026-08-06T03:26:20.411218+00:00
2000002,referee,100245964,"ALVAREZ JIMENEZ, SAMUEL",Arbitro principal,https://www.rffm.es/acta-partido/2000002,2026-08-06T03:26:20.456561+00:00
2000004,referee,100247472,"GONZÁLEZ ÁLVAREZ, JORGE",Arbitro principal,https://www.rffm.es/acta-partido/2000004,2026-08-06T03:26:20.513103+00:00
2000006,referee,100246507,"CASTRO VILDA, MARTÍN",Arbitro principal,https://www.rffm.es/acta-partido/2000006,2026-08-06T03:26:20.516653+00:00
2000006,field_delegate,,"LOBON AGUNDEZ, MIGUEL ANGEL",delegado_campo,https://www.rffm.es/acta-partido/2000006,2026-08-06T03:26:20.516653+00:00
2000005,referee,100246493,"CAMACHO GONZÁLEZ, DIEGO",Arbitro principal,https://www.rffm.es/acta-partido/2000005,2026-08-06T03:26:20.598244+00:00
2000013,referee,100245954,"ALVAREZ SANCHEZ, MARCOS",Arbitro principal,https://www.rffm.es/acta-partido/2000013,2026-08-06T03:26:20.674045+00:00
2000018,referee,100247086,"FERNÁNDEZ OCAÑA, MARIO",Arbitro principal,https://www.rffm.es/acta-partido/2000018,2026-08-06T03:26:21.184335+00:00
2000014,referee,100245954,"ALVAREZ SANCHEZ, MARCOS",Arbitro principal,https://www.rffm.es/acta-partido/2000014,2026-08-06T03:26:21.559199+00:00
2000020,referee,100246906,"DEL VILLAR VAZQUEZ, LUCAS",Arbitro principal,https://www.rffm.es/acta-partido/2000020,2026-08-06T03:26:21.568039+00:00
2000012,referee,100245954,"ALVAREZ SANCHEZ, MARCOS",Arbitro principal,https://www.rffm.es/acta-partido/2000012,2026-08-06T03:26:21.573697+00:00
2000012,field_delegate,,"MORENO AGUSTINO, ÁLVARO",delegado_campo,https://www.rffm.es/acta-partido/2000012,2026-08-06T03:26:21.573697+00:00
2000015,referee,100247086,"FERNÁNDEZ OCAÑA, MARIO",Arbitro principal,https://www.rffm.es/acta-partido/2000015,2026-08-06T03:26:21.574240+00:00
2000016,referee,100247086,"FERNÁNDEZ OCAÑA, MARIO",Arbitro principal,https://www.rffm.es/acta-partido/2000016,2026-08-06T03:26:21.588745+00:00
2000017,referee,1698791,"HINJOS SALAS, AITOR",Arbitro principal,https://www.rffm.es/acta-partido/2000017,2026-08-06T03:26:21.593171+00:00
2000019,referee,100246906,"DEL VILLAR VAZQUEZ, LUCAS",Arbitro principal,https://www.rffm.es/acta-partido/2000019,2026-08-06T03:26:21.653201+00:00
2000027,referee,100246698,"COBOS GARCÍA, MARCOS",Arbitro principal,https://www.rffm.es/acta-partido/2000027,2026-08-06T03:26:22.172038+00:00
2000024,referee,100245954,"ALVAREZ SANCHEZ, MARCOS",Arbitro principal,https://www.rffm.es/acta-partido/2000024,2026-08-06T03:26:22.340102+00:00
2000024,field_delegate,,"MARTÍN HERNANZ, JORGE",delegado_campo,https://www.rffm.es/acta-partido/2000024,2026-08-06T03:26:22.340102+00:00
2000026,referee,100247287,"GARCÍA VALENCIA , JAVIER",Arbitro principal,https://www.rffm.es/acta-partido/2000026,2026-08-06T03:26:22.408908+00:00
