match_id,official_kind,official_id,official_name,role_raw,source_url,scraped_at
5125241,referee,4401,"GOMEZ BLAZQUEZ, MIGUEL",Arbitro principal,https://www.rffm.es/acta-partido/5125241,2026-08-06T09:06:09.873659+00:00
5125241,field_delegate,,"GARCIA ALIAGA, ABRAHAM",delegado_campo,https://www.rffm.es/acta-partido/5125241,2026-08-06T09:06:09.873659+00:00
5125242,referee,1112396,"VENTAJA PEINADO, JUAN MANUEL",Arbitro principal,https://www.rffm.es/acta-partido/5125242,2026-08-06T09:06:09.932268+00:00
5125242,referee,1169829,"GARCIA CASADO, ALVARO",Arbitro asistente,https://www.rffm.es/acta-partido/5125242,2026-08-06T09:06:09.932268+00:00
5125242,referee,1112344,"LANZAS GARCIA, MANUEL PEDRO",Arbitro asistente,https://www.rffm.es/acta-partido/5125242,2026-08-06T09:06:09.932268+00:00
5125242,field_delegate,,"HERRERO , JUAN JOSÉ",delegado_campo,https://www.rffm.es/acta-partido/5125242,2026-08-06T09:06:09.932268+00:00
5124684,referee,100995040,"RODRIGUEZ DE CASTRO, MELANIE",Arbitro principal,https://www.rffm.es/acta-partido/5124684,2026-08-06T09:06:10.021173+00:00
5124684,referee,5232013,"TALIDI EL HANNACH, MOUNA",Arbitro principal,https://www.rffm.es/acta-partido/5124684,2026-08-06T09:06:10.021173+00:00
5124684,referee,5194371,"CELIZ MORALES, VICTOR JOSE",Arbitro asistente,https://www.rffm.es/acta-partido/5124684,2026-08-06T09:06:10.021173+00:00
5124162,referee,5001281,"SANCHEZ GARCIA, PEDRO JOSE",Arbitro principal,https://www.rffm.es/acta-partido/5124162,2026-08-06T09:06:10.237749+00:00
5124162,referee,5249551,"MARQUEZ JORGE, RAFAEL",Arbitro asistente,https://www.rffm.es/acta-partido/5124162,2026-08-06T09:06:10.237749+00:00
5124686,referee,5099523,"DE MIGUEL BALLESTEROS, MANUEL",Arbitro principal,https://www.rffm.es/acta-partido/5124686,2026-08-06T09:06:10.243844+00:00
5124686,referee,5172089,"GONZALEZ RUBIO, ADRIAN",Arbitro principal,https://www.rffm.es/acta-partido/5124686,2026-08-06T09:06:10.243844+00:00
5124686,referee,5232013,"TALIDI EL HANNACH, MOUNA",Arbitro asistente,https://www.rffm.es/acta-partido/5124686,2026-08-06T09:06:10.243844+00:00
5124685,referee,100995040,"RODRIGUEZ DE CASTRO, MELANIE",Arbitro principal,https://www.rffm.es/acta-partido/5124685,2026-08-06T09:06:10.342768+00:00
5124685,referee,5232013,"TALIDI EL HANNACH, MOUNA",Arbitro principal,https://www.rffm.es/acta-partido/5124685,2026-08-06T09:06:10.342768+00:00
5124685,referee,5194371,"CELIZ MORALES, VICTOR JOSE",Arbitro asistente,https://www.rffm.es/acta-partido/5124685,2026-08-06T09:06:10.342768+00:00
5125240,referee,883232,"DEZA REVELO, JUAN JOSE",Arbitro principal,https://www.rffm.es/acta-partido/5125240,2026-08-06T09:06:10.440671+00:00
5125240,field_delegate,,"DE LA FUENTE OLIVARES, GONZALO",delegado_campo,https://www.rffm.es/acta-partido/5125240,2026-08-06T09:06:10.440671+00:00
5124163,referee,5144762,"GARRO CASTRO, CRISTIAN",Arbitro principal,https://www.rffm.es/acta-partido/5124163,2026-08-06T09:06:10.529063+00:00
5124163,referee,5175643,"LIU, ZHOUQI",Arbitro principal,https://www.rffm.es/acta-partido/5124163,2026-08-06T09:06:10.529063+00:00
5124163,referee,5198448,"IGLESIAS OTERO, IKER",Arbitro asistente,https://www.rffm.es/acta-partido/5124163,2026-08-06T09:06:10.529063+00:00
5124161,referee,5001281,"SANCHEZ GARCIA, PEDRO JOSE",Arbitro principal,https://www.rffm.es/acta-partido/5124161,2026-08-06T09:06:10.741563+00:00
5124161,referee,5249551,"MARQUEZ JORGE, RAFAEL",Arbitro asistente,https://www.rffm.es/acta-partido/5124161,2026-08-06T09:06:10.741563+00:00
1717690,referee,5001281,"SANCHEZ GARCIA, PEDRO JOSE",Arbitro principal,https://www.rffm.es/acta-partido/1717690,2026-08-06T09:06:10.970307+00:00
