season,season_id,category_base,category_label_raw,is_femenino,division_level,competition,competition_id,phase_label,game_type,game_type_id,source_url,scraped_at
2024-2025,20,OTHER,SEGUNDA FEDERACION,False,SEGUNDA,COPA RFEF FASE AUTONÓMICA,21661439,regular_season,Futbol-11,1,https://www.rffm.es/api/competitions?temporada=20&tipojuego=1,2026-08-02T22:38:12.529831+00:00
2024-2025,20,OTHER,SEGUNDA FEDERACION,False,SEGUNDA,FINAL COPA RFEF FASE AUTONÓMICA,21911601,regular_season,Futbol-11,1,https://www.rffm.es/api/competitions?temporada=20&tipojuego=1,2026-08-02T22:38:12.531580+00:00
2024-2025,20,OTHER,TERCERA FEDERACION,False,TERCERA FEDERACION,PLAY OFF TERCERA FEDERACION,23970451,regular_season,Futbol-11,1,https://www.rffm.es/api/competitions?temporada=20&tipojuego=1,2026-08-02T22:38:12.532881+00:00
2024-2025,20,OTHER,TERCERA FEDERACION,False,TERCERA FEDERACION,TERCERA FEDERACION RFEF,21434284,regular_season,Futbol-11,1,https://www.rffm.es/api/competitions?temporada=20&tipojuego=1,2026-08-02T22:38:12.536156+00:00
2024-2025,20,AFICIONADO,PRIMERA DIVISION AUTONOMICA AFICIONADO,False,PRIMERA DIVISION AUTONOMICA,COPA RFFM PRIMERA DIVISION AUTONOMICA AFICIONADOS,21661375,regular_season,Futbol-11,1,https://www.rffm.es/api/competitions?temporada=20&tipojuego=1,2026-08-02T22:38:12.536980+00:00
2024-2025,20,AFICIONADO,PRIMERA DIVISION AUTONOMICA AFICIONADO,False,PRIMERA DIVISION AUTONOMICA,FASE FINAL COPA DE AFICIONADOS RFFM TEMP 2024/25,23878660,phase fase final,Futbol-11,1,https://www.rffm.es/api/competitions?temporada=20&tipojuego=1,2026-08-02T22:38:12.538411+00:00
2024-2025,20,AFICIONADO,PRIMERA DIVISION AUTONOMICA AFICIONADO,False,PRIMERA DIVISION AUTONOMICA,FINAL COPA PRIMERA DIVISION AUTONOMICA AFICIONADO RFFM,22132206,regular_season,Futbol-11,1,https://www.rffm.es/api/competitions?temporada=20&tipojuego=1,2026-08-02T22:38:12.539497+00:00
2024-2025,20,AFICIONADO,PRIMERA DIVISION AUTONOMICA AFICIONADO,False,PRIMERA DIVISION AUTONOMICA,PRIMERA DIVISION AUTONOMICA AFICIONADO,21433676,regular_season,Futbol-11,1,https://www.rffm.es/api/competitions?temporada=20&tipojuego=1,2026-08-02T22:38:12.540110+00:00
2024-2025,20,AFICIONADO,PREFERENTE AFICIONADO,False,PREFERENTE,PREFERENTE AFICIONADO,21433679,regular_season,Futbol-11,1,https://www.rffm.es/api/competitions?temporada=20&tipojuego=1,2026-08-02T22:38:12.540999+00:00
2024-2025,20,AFICIONADO,PRIMERA AFICIONADO,False,PRIMERA,PRIMERA AFICIONADO,21433684,regular_season,Futbol-11,1,https://www.rffm.es/api/competitions?temporada=20&tipojuego=1,2026-08-02T22:38:12.543900+00:00
2024-2025,20,AFICIONADO,SEGUNDA AFICIONADO,False,SEGUNDA,COPA DE AFICIONADOS RFFM TEMP 24/25,22863784,regular_season,Futbol-11,1,https://www.rffm.es/api/competitions?temporada=20&tipojuego=1,2026-08-02T22:38:17.443493+00:00
2024-2025,20,AFICIONADO,SEGUNDA AFICIONADO,False,SEGUNDA,SEGUNDA AFICIONADO,21433693,regular_season,Futbol-11,1,https://www.rffm.es/api/competitions?temporada=20&tipojuego=1,2026-08-02T22:38:18.760559+00:00
2024-2025,20,JUVENIL,LIGA NACIONAL JUVENIL,False,LIGA NACIONAL,NACIONAL JUVENIL,21434175,regular_season,Futbol-11,1,https://www.rffm.es/api/competitions?temporada=20&tipojuego=1,2026-08-02T22:38:22.382331+00:00
2024-2025,20,JUVENIL,PRIMERA DIVISION AUTONOMICA JUVENIL,False,PRIMERA DIVISION AUTONOMICA,FINAL CAMPEON PRIMERA DIVISION AUTONOMICA JUVENIL,24001282,regular_season,Futbol-11,1,https://www.rffm.es/api/competitions?temporada=20&tipojuego=1,2026-08-02T22:38:22.462373+00:00
2024-2025,20,JUVENIL,PRIMERA DIVISION AUTONOMICA JUVENIL,False,PRIMERA DIVISION AUTONOMICA,PRIMERA DIVISION AUTONOMICA JUVENIL,21433714,regular_season,Futbol-11,1,https://www.rffm.es/api/competitions?temporada=20&tipojuego=1,2026-08-02T22:38:23.123991+00:00
2024-2025,20,JUVENIL,PREFERENTE JUVENIL,False,PREFERENTE,PREFERENTE JUVENIL,21433717,regular_season,Futbol-11,1,https://www.rffm.es/api/competitions?temporada=20&tipojuego=1,2026-08-02T22:38:23.281534+00:00
2024-2025,20,JUVENIL,PRIMERA JUVENIL,False,PRIMERA,PRIMERA JUVENIL,21433723,regular_season,Futbol-11,1,https://www.rffm.es/api/competitions?temporada=20&tipojuego=1,2026-08-02T22:38:24.445023+00:00
2024-2025,20,JUVENIL,SEGUNDA JUVENIL,False,SEGUNDA,SEGUNDA JUVENIL,21433734,regular_season,Futbol-11,1,https://www.rffm.es/api/competitions?temporada=20&tipojuego=1,2026-08-02T22:38:27.049419+00:00
2024-2025,20,CADETE,SUPERLIGA CADETE,False,SUPERLIGA,SUPERLIGA CADETE,21434098,regular_season,Futbol-11,1,https://www.rffm.es/api/competitions?temporada=20&tipojuego=1,2026-08-02T22:38:57.665327+00:00
