match_id,team_id,player_id,minute,minute_raw,goal_type_raw
5143289,12,10912148,8,8,100
5143289,12,10702755,12,12,100
5143289,12,14479294,15,15,100
5143289,12,10912148,17,17,100
5143289,12,10702755,20,20,100
5143289,12,10702755,23,23,100
5143289,12,10702755,25,25,100
5143289,12,10912148,27,27,100
5143289,12,21857246,29,29,100
5143289,12,13233941,32,32,100
5143289,12,13207944,37,37,100
5143289,12,11080081,40,40,100
5143289,12,14605634,44,44,100
5143289,12,14605634,57,57,100
5143289,302,14246059,41,41,102
5143293,846961,11438909,2,2,100
5143293,846961,13249865,8,8,100
5143293,846961,11400671,16,16,100
5143293,846961,16234400,19,19,100
5143293,846961,10506686,41,41,100
5143293,846961,13249865,45,45,100
5143292,3356322,2792333,25,25,100
5143292,3356322,11768234,47,47,100
5143292,3356322,13489696,59,59,100
5143296,33,10912098,17,17,100
5143296,33,21480155,19,19,100
5143296,33,10430138,21,21,100
5143296,33,13678227,25,25,100
5143296,33,13229335,31,31,100
5143296,33,12834468,45,45,100
5143296,33,11878527,50,50,100
5143296,33,11878527,52,52,100
5143296,33,13678227,57,57,100
5143296,33,12834468,59,59,100
5143295,65,11924476,50,50,101
5143294,80,13148948,14,14,100
5143290,680430,14827652,50,50,100
5143290,680430,11883493,59,59,101
5143290,300414,12673559,48,48,100
5143298,12,10912148,7,7,100
5143298,12,10702755,18,18,100
5143298,12,14605634,23,23,100
5143298,12,10341193,28,28,100
5143298,12,10395326,45,45,100
5143302,846961,10897840,20,20,100
5143302,846961,11713616,41,41,100
5143302,846961,11713616,46,46,100
5143302,846961,16234400,57,57,100
5143299,2137,13204046,50,50,100
5143299,680430,11878440,41,41,100
5143303,65,13137178,5,5,100
5143303,65,11739716,15,15,100
5143303,65,11554539,20,20,100
5143300,576,11359095,43,43,101
5143297,33,21480155,17,17,100
5143297,33,13631188,22,22,100
5143297,33,13631188,27,27,100
5143297,33,12095902,35,35,100
5143297,33,13678227,41,41,100
5143297,33,12834468,56,56,100
5143297,33,11878527,59,59,100
5143301,636,2805298,45,45,100
5143301,3356322,14580143,10,10,100
5143301,3356322,14580143,47,47,100
5143301,3356322,12718423,70,70,100
5143304,2739618,11739972,59,59,100
5143304,1606,10738110,49,49,100
5143308,576,10912313,6,6,100
5143308,576,10912275,38,38,100
5143308,576,10340848,48,48,100
5143308,576,13615847,49,49,100
5143308,636,16565097,28,28,100
5143309,3356322,2792333,28,28,100
5143309,80,11179074,55,55,100
5143312,33,10351562,3,3,100
5143312,33,13678227,18,18,100
5143312,33,10430138,21,21,100
5143312,33,21480155,31,31,100
5143306,12,10702755,40,40,100
5143306,12,11507999,42,42,101
5143306,12,10702755,43,43,100
5143306,12,11507999,50,50,101
5143306,12,11884099,59,59,100
5143305,302,11716829,5,5,100
5143305,300414,13283715,41,41,100
5143310,846961,11713616,59,59,100
5143310,65,2795612,31,31,100
5143310,65,14554327,44,44,100
5143310,65,13137178,50,50,100
5143307,102,11775326,27,27,100
5143307,102,13864024,35,35,100
5143307,102,11879188,52,52,100
5143311,851327,11160755,26,26,100
5143317,80,13186376,43,43,100
5143317,576,19398550,29,29,100
5143317,576,10912275,48,48,100
5143317,576,11884800,59,59,100
5143315,12,11507999,2,2,100
5143315,12,10341193,18,18,100
5143315,12,10912148,25,25,100
5143313,33,12834468,1,1,100
5143313,33,11878527,18,18,100
5143313,33,11257138,56,56,100
5143316,680430,10506763,7,7,100
5143316,680430,14514017,22,22,100
5143316,680430,11327483,54,54,100
5143316,680430,12718651,56,56,100
5143320,1606,11885114,18,18,100
5143320,1606,10912379,39,39,100
5143320,1606,13367432,54,54,100
5143320,1606,13367432,59,59,100
5143319,846961,11713616,5,5,100
5143319,846961,11438909,6,6,100
5143319,846961,11713616,41,41,100
5143314,2137,11322882,5,5,100
5143314,2137,13204046,28,28,100
5143314,2137,10875177,45,45,100
5143314,302,11942340,10,10,101
5143318,65,13137178,18,18,100
5143318,65,11554539,57,57,100
5143318,3356322,12718423,24,24,100
5143325,576,22266874,27,27,100
5143325,576,13615847,54,54,100
5143325,65,2795612,33,33,100
5143325,65,13312711,47,47,100
5143328,33,12095902,7,7,100
5143328,33,10430138,15,15,100
5143328,33,10430138,21,21,100
5143322,102,10912613,16,16,100
5143322,102,11082247,50,50,100
5143322,102,13958568,58,58,100
5143323,12,10702755,1,1,100
5143323,12,10702755,2,2,100
5143323,12,21801949,12,12,100
5143323,12,10702755,16,16,100
5143323,12,11507999,26,26,100
5143323,12,11507999,28,28,100
5143323,12,19501275,29,29,100
5143323,12,21802602,33,33,100
5143323,12,11080081,40,40,100
5143323,12,13233941,48,48,100
5143323,12,10702755,51,51,100
5143323,12,14479294,55,55,100
5143323,12,14479294,59,59,100
5143323,636,14170146,16,16,102
5143326,3356322,13489696,60,60,100
5143327,846961,13249865,52,52,100
5143324,680430,11601082,27,27,100
5143324,80,21822194,18,18,100
5143324,80,21822194,40,40,100
5143324,80,21821908,49,49,100
5143321,300414,13283715,7,7,100
5143321,2137,10875177,39,39,100
5143321,2137,11369199,60,60,100
5143330,102,10912613,9,9,100
5143333,65,13137178,38,38,100
5143333,65,14057228,39,39,100
5143333,65,10430542,50,50,100
5143333,680430,11930982,56,56,100
5143329,33,13631188,25,25,100
5143329,33,11878527,44,44,101
5143329,33,17254591,59,59,100
5143332,80,21822194,46,46,100
5143332,80,21821908,50,50,100
5143332,12,11507999,9,9,101
5143332,12,10702755,11,11,100
5143332,12,13233941,16,16,100
5143332,12,21802602,44,44,100
5143332,12,11080081,59,59,100
5143334,2739618,14665236,43,43,100
5143334,576,11815205,9,9,100
5143334,576,22266874,21,21,100
5143334,576,22266874,52,52,100
5143335,3356322,14580143,52,52,100
5143331,636,13325872,33,33,100
5143331,636,16565097,48,48,101
5143331,302,11942340,4,4,101
5143336,846961,11713616,5,5,100
5143336,846961,11713616,14,14,100
5143336,846961,10506686,16,16,100
5143336,846961,13249865,26,26,100
5143336,846961,16234400,36,36,100
5143342,576,13615847,45,45,100
5143343,3356322,13152480,15,15,100
5143343,3356322,14580143,55,55,100
5143344,33,13631188,11,11,100
5143344,33,10909649,29,29,100
5143344,33,11257138,39,39,100
