match_id,official_kind,official_id,official_name,role_raw
5143291,referee,768,"PUERTA SANCHEZ, BASILIO",Arbitro principal
5143291,field_delegate,,"POSTIGO PASCUAL, RAMÓN",delegado_campo
5143289,referee,1183764,"ANTON ALCALDE, JAVIER",Arbitro principal
5143289,field_delegate,,"GARCIA GIL GUERRA, EMILIO",delegado_campo
5143293,referee,1552912,"GONZALO ROMERO, HERNAN GREGORIO",Arbitro principal
5143293,field_delegate,,"IZQUIERDO ALVARO, MIGUEL ANGEL",delegado_campo
5143292,referee,742344,"FERRERO LOZANO, SERGIO",Arbitro principal
5143292,field_delegate,,"DEL PINO OROPESA, ÁLVARO",delegado_campo
5143296,referee,1743049,"HORCAJO ADRADA, SAMUEL",Arbitro principal
5143296,field_delegate,,"NAVARRO PARRA, ENRIQUE",delegado_campo
5143295,referee,100220658,"DE LUCAS MUÑOZ, ABEL",Arbitro principal
5143295,field_delegate,,"DEL PESO BARROSO, SERGIO",delegado_campo
5143294,referee,1215543,"LLUESMA TORROELLA, POL",Arbitro principal
5143290,referee,1264193,"RAMOS LAZARO, ALEJANDRO",Arbitro principal
5143290,field_delegate,,"ALONSO CELEMIN, IGNACIO",delegado_campo
5143298,referee,1419152,"GARCIA LERENA, LUIS",Arbitro principal
5143302,referee,2691113,"SÁNCHEZ MUNICIO, ALEJANDRO",Arbitro principal
5143299,referee,2909,"DE LA IGLESIA DE LA IGLESIA, ALVARO",Arbitro principal
5143299,field_delegate,,"VELÁZQUEZ GALIANA, DIEGO",delegado_campo
5143303,referee,1940470,"CORREAL TORO, ALEJANDRO",Arbitro principal
5143303,field_delegate,,"DIAZ MASEDA, ALBERTO",delegado_campo
5143300,referee,4434,"CASASOLA DIAZ, ADRIAN",Arbitro principal
5143300,field_delegate,,"GÓMEZ CERRILLO, PABLO",delegado_campo
5143297,referee,986894,"MUÑOZ OTERO, SERGIO",Arbitro principal
5143301,referee,1697799,"CRISTOBAL VARGAS, MARCOS",Arbitro principal
5143301,field_delegate,,"FERNÁNDEZ GARROTE, MARCOS",delegado_campo
5143304,referee,2146,"ALONSO CAMPOS, LUIS",Arbitro principal
5143304,field_delegate,,"RODRIGUEZ MEDINA, ROBERTO",delegado_campo
5143308,referee,1403316,"PINILLA SERRANO, OSCAR",Arbitro principal
5143308,field_delegate,,"POSTIGO PASCUAL, RAMÓN",delegado_campo
5143309,referee,1698398,"GARCIA ARLANZON, RODRIGO",Arbitro principal
5143309,field_delegate,,"DEL PINO OROPESA, ÁLVARO",delegado_campo
5143312,referee,883232,"DEZA REVELO, JUAN JOSE",Arbitro principal
5143312,field_delegate,,"NAVARRO PARRA, ENRIQUE",delegado_campo
5143306,referee,591084,"RODRIGUEZ GIRALDO, IVAN",Arbitro principal
5143306,field_delegate,,"GARCIA GIL GUERRA, EMILIO",delegado_campo
5143305,referee,883232,"DEZA REVELO, JUAN JOSE",Arbitro principal
5143310,referee,100246900,"DÍEZ BENLLOCH, MIGUEL",Arbitro principal
5143310,field_delegate,,"IZQUIERDO ALVARO, MIGUEL ANGEL",delegado_campo
5143307,referee,100246900,"DÍEZ BENLLOCH, MIGUEL",Arbitro principal
5143307,field_delegate,,"ALONSO CELEMIN, IGNACIO",delegado_campo
5143311,referee,100247888,"MARTIN CASTRO, DANIEL",Arbitro principal
5143317,referee,4673,"BROTONS ROMERO DE AVILA, JORGE",Arbitro principal
5143315,referee,822731,"CABERO VALLE, IGNACIO JOSE",Arbitro principal
5143315,field_delegate,,"GÓMEZ CERRILLO, PABLO",delegado_campo
5143313,referee,1216226,"ARNEDO MUÑOZ, ANTONIO",Arbitro principal
5143316,referee,100222061,"BERMUDEZ LOPEZ, NOELIA",Arbitro principal
5143316,field_delegate,,"FERNÁNDEZ GARROTE, MARCOS",delegado_campo
5143320,referee,1676309,"SANCHEZ FERNANDEZ, JAVIER",Arbitro principal
5143320,field_delegate,,"DEL PESO BARROSO, SERGIO",delegado_campo
5143319,referee,100247454,"GRECIANO GONZÁLEZ , HÉCTOR",Arbitro principal
5143314,referee,1696806,"ARANZANA CARRASCO, FRAN",Arbitro principal
5143314,field_delegate,,"VELÁZQUEZ GALIANA, DIEGO",delegado_campo
5143318,referee,1419152,"GARCIA LERENA, LUIS",Arbitro principal
5143318,field_delegate,,"DIAZ MASEDA, ALBERTO",delegado_campo
5143325,referee,768,"PUERTA SANCHEZ, BASILIO",Arbitro principal
5143325,field_delegate,,"RESTREPO, SANTIAGO",delegado_campo
5143328,referee,3454,"ARANZANA CARPINTERO, RICARDO",Arbitro principal
5143328,field_delegate,,"NAVARRO PARRA, ENRIQUE",delegado_campo
5143322,referee,1084170,"CHARLE LLAMAS, MATEO",Arbitro principal
5143323,referee,1940892,"SAGASETA RUBIO, MANUEL",Arbitro principal
5143323,field_delegate,,"SANCHO MARTIN DE VIDALES, JUAN ANTONIO",delegado_campo
5143326,referee,1698952,"KHERIBICH CHETOUI, OMAR",Arbitro principal
5143326,field_delegate,,"DEL PINO OROPESA, ÁLVARO",delegado_campo
5143327,referee,1850652,"HERRERA LOAYZA, CARLOS DANIEL",Arbitro principal
5143327,field_delegate,,"MIRAVALLES CABERO, JORGE MANUEL",delegado_campo
5143324,referee,1419236,"ILLANA GAGO, ALONSO",Arbitro principal
5143324,field_delegate,,"ALONSO CELEMIN, IGNACIO",delegado_campo
5143321,referee,1940892,"SAGASETA RUBIO, MANUEL",Arbitro principal
5143330,referee,665709,"SANCHEZ DUEÑAS, ANTONIO",Arbitro principal
5143330,field_delegate,,"GÓMEZ CERRILLO, PABLO",delegado_campo
5143333,referee,3812,"FERNANDEZ HURTADO, JOSE LUIS",Arbitro principal
5143333,field_delegate,,"DIAZ MASEDA, ALBERTO",delegado_campo
5143329,referee,1391708,"AZARIOUH ELKOSTALLY, HAMEZA",Arbitro principal
5143329,field_delegate,,"VELÁZQUEZ GALIANA, DIEGO",delegado_campo
5143332,referee,1383026,"RODRIGUEZ QUISMONDO, AITOR",Arbitro principal
5143332,field_delegate,,"CID GARCIA, MARIO",delegado_campo
5143334,referee,1925027,"ARANCE ORTIZ, FERNANDO",Arbitro principal
5143334,field_delegate,,"RODRIGUEZ MEDINA, ROBERTO",delegado_campo
5143335,referee,1927232,"VALDES SANCHEZ , MARIO",Arbitro principal
5143335,field_delegate,,"DEL PESO BARROSO, SERGIO",delegado_campo
5143331,referee,1906320,"RENILLA CALLE, JAIME",Arbitro principal
5143331,field_delegate,,"FERNÁNDEZ GARROTE, MARCOS",delegado_campo
5143336,referee,665595,"PINILLA SERRANO, ADRIAN",Arbitro principal
5143342,referee,1391708,"AZARIOUH ELKOSTALLY, HAMEZA",Arbitro principal
5143342,field_delegate,,"RESTREPO, SANTIAGO",delegado_campo
5143343,referee,1183764,"ANTON ALCALDE, JAVIER",Arbitro principal
