match_id,official_kind,official_id,official_name,role_raw,source_url,scraped_at
5330083,referee,101724580,"GARCIA FERRER, ALEJANDRO",Arbitro principal,https://www.rffm.es/acta-partido/5330083,2026-08-05T02:06:26.796798+00:00
5330083,field_delegate,,"BUENDIA ALBACETE, PAULA",delegado_campo,https://www.rffm.es/acta-partido/5330083,2026-08-05T02:06:26.796798+00:00
5330078,referee,101727403,"MERCHAN DE LA TORRE, BELTRAN",Arbitro principal,https://www.rffm.es/acta-partido/5330078,2026-08-05T02:06:26.988893+00:00
5330057,referee,101725327,"GONZALEZ CARRION, FERNANDO",Arbitro principal,https://www.rffm.es/acta-partido/5330057,2026-08-05T02:06:27.085296+00:00
5330082,referee,101713892,"ABAD MARTÍN, RUBEN",Arbitro principal,https://www.rffm.es/acta-partido/5330082,2026-08-05T02:06:27.087594+00:00
5330076,referee,101727403,"MERCHAN DE LA TORRE, BELTRAN",Arbitro principal,https://www.rffm.es/acta-partido/5330076,2026-08-05T02:06:27.090977+00:00
5330076,field_delegate,,"ZAMBRANA , CARLOS",delegado_campo,https://www.rffm.es/acta-partido/5330076,2026-08-05T02:06:27.090977+00:00
5330084,referee,101713892,"ABAD MARTÍN, RUBEN",Arbitro principal,https://www.rffm.es/acta-partido/5330084,2026-08-05T02:06:27.093273+00:00
5330084,field_delegate,,"BUENDIA ALBACETE, PAULA",delegado_campo,https://www.rffm.es/acta-partido/5330084,2026-08-05T02:06:27.093273+00:00
5330087,referee,101727403,"MERCHAN DE LA TORRE, BELTRAN",Arbitro principal,https://www.rffm.es/acta-partido/5330087,2026-08-05T02:06:27.097431+00:00
5330053,referee,101732530,"SANTOS PIÑEIRO, JORGE",Arbitro principal,https://www.rffm.es/acta-partido/5330053,2026-08-05T02:06:27.220945+00:00
5330088,referee,101713892,"ABAD MARTÍN, RUBEN",Arbitro principal,https://www.rffm.es/acta-partido/5330088,2026-08-05T02:06:27.582240+00:00
5330091,referee,101727403,"MERCHAN DE LA TORRE, BELTRAN",Arbitro principal,https://www.rffm.es/acta-partido/5330091,2026-08-05T02:06:27.878991+00:00
5330092,referee,101727403,"MERCHAN DE LA TORRE, BELTRAN",Arbitro principal,https://www.rffm.es/acta-partido/5330092,2026-08-05T02:06:28.360738+00:00
5330096,referee,101713892,"ABAD MARTÍN, RUBEN",Arbitro principal,https://www.rffm.es/acta-partido/5330096,2026-08-05T02:06:28.423858+00:00
5330095,referee,101727403,"MERCHAN DE LA TORRE, BELTRAN",Arbitro principal,https://www.rffm.es/acta-partido/5330095,2026-08-05T02:06:28.425464+00:00
5330148,referee,101727387,"MELGAR ZAMORANO, PABLO",Arbitro principal,https://www.rffm.es/acta-partido/5330148,2026-08-05T02:06:28.638010+00:00
5330149,referee,101727403,"MERCHAN DE LA TORRE, BELTRAN",Arbitro principal,https://www.rffm.es/acta-partido/5330149,2026-08-05T02:06:28.830852+00:00
5330151,referee,101727387,"MELGAR ZAMORANO, PABLO",Arbitro principal,https://www.rffm.es/acta-partido/5330151,2026-08-05T02:06:28.877846+00:00
5332421,referee,101727403,"MERCHAN DE LA TORRE, BELTRAN",Arbitro principal,https://www.rffm.es/acta-partido/5332421,2026-08-05T02:06:29.119580+00:00
5332421,field_delegate,,"CANA TRIGO, ISMAEL",delegado_campo,https://www.rffm.es/acta-partido/5332421,2026-08-05T02:06:29.119580+00:00
5295068,referee,100246672,"CHEHREGOSHA POLLÁN, DANIEL",Arbitro principal,https://www.rffm.es/acta-partido/5295068,2026-08-05T02:06:29.421534+00:00
5295068,field_delegate,,"VALERO ALBERRUCHE, ADRIAN",delegado_campo,https://www.rffm.es/acta-partido/5295068,2026-08-05T02:06:29.421534+00:00
5332424,referee,101727403,"MERCHAN DE LA TORRE, BELTRAN",Arbitro principal,https://www.rffm.es/acta-partido/5332424,2026-08-05T02:06:29.499617+00:00
5330153,referee,101727387,"MELGAR ZAMORANO, PABLO",Arbitro principal,https://www.rffm.es/acta-partido/5330153,2026-08-05T02:06:29.503802+00:00
5330158,referee,101727403,"MERCHAN DE LA TORRE, BELTRAN",Arbitro principal,https://www.rffm.es/acta-partido/5330158,2026-08-05T02:06:29.506142+00:00
5295069,referee,100254617,"SILVA VANEGAS, MIGUEL ALEXANDER",Arbitro principal,https://www.rffm.es/acta-partido/5295069,2026-08-05T02:06:29.815845+00:00
5295070,referee,100246672,"CHEHREGOSHA POLLÁN, DANIEL",Arbitro principal,https://www.rffm.es/acta-partido/5295070,2026-08-05T02:06:29.912470+00:00
5295070,field_delegate,,"CASTRO LÓPEZ, PEDRO",delegado_campo,https://www.rffm.es/acta-partido/5295070,2026-08-05T02:06:29.912470+00:00
5295071,referee,100254617,"SILVA VANEGAS, MIGUEL ALEXANDER",Arbitro principal,https://www.rffm.es/acta-partido/5295071,2026-08-05T02:06:30.551249+00:00
5295073,referee,100254617,"SILVA VANEGAS, MIGUEL ALEXANDER",Arbitro principal,https://www.rffm.es/acta-partido/5295073,2026-08-05T02:06:30.577812+00:00
5295078,referee,100248170,"MORENO CUEVAS, PEDRO",Arbitro principal,https://www.rffm.es/acta-partido/5295078,2026-08-05T02:06:30.578326+00:00
5295078,field_delegate,,"MUÑOZ FERNANDEZ, JOSE ANGEL",delegado_campo,https://www.rffm.es/acta-partido/5295078,2026-08-05T02:06:30.578326+00:00
5295077,referee,100248417,"ORDIZ NEUMANN, MIGUEL",Arbitro principal,https://www.rffm.es/acta-partido/5295077,2026-08-05T02:06:30.581246+00:00
