cod_temporada,nombre,fecha_inicio,fecha_fin
22,2026-2027,2026-07-01,2027-09-01
21,2025-2026,2025-07-01,2026-06-30
20,2024-2025,2024-07-01,2025-06-30
19,2023-2024,2023-06-29,2024-06-30
18,2022-2023,2022-06-30,2023-06-28
17,2021-2022,2021-07-01,2022-06-29
16,2020-2021,2020-06-30,2021-06-30
15,2019-2020,2019-06-27,2020-06-29
14,2018-2019,2018-06-29,2019-06-26
13,2017-2018,2017-06-27,2018-06-28
12,2016-2017,2016-06-28,2017-06-26
11,2015-2016,2015-06-29,2016-06-27
10,2014-2015,2014-06-27,2015-06-28
9,2013-2014,2013-06-26,2014-06-26
8,2012-2013,2012-06-27,2013-06-25
7,2011-2012,2011-06-24,2012-06-26
6,2010-2011,2010-06-29,2011-06-23
5,2009-2010,2009-06-30,2010-06-28
4,2008-2009,2008-06-28,2009-06-29
3,2007-2008,2007-06-30,2008-06-27
