season,season_id,category_base,category_label_raw,competition,competition_id,phase_label,game_type,game_type_id,source_url,scraped_at
2025-2026,21,TERCERA FEDERACION,TERCERA FEDERACION,COPA RFEF FASE AUTONOMICA,24206667,regular_season,Futbol-11,1,https://www.rffm.es/api/competitions?temporada=21&tipojuego=1,2026-08-02T15:49:08.749652+00:00
2025-2026,21,TERCERA FEDERACION,TERCERA FEDERACION,FINAL COPA RFEF FASE AUTONÓMICA,24605960,regular_season,Futbol-11,1,https://www.rffm.es/api/competitions?temporada=21&tipojuego=1,2026-08-02T15:49:13.397640+00:00
2025-2026,21,TERCERA FEDERACION,TERCERA FEDERACION,PLAY OFF TERCERA FEDERACION,26665407,regular_season,Futbol-11,1,https://www.rffm.es/api/competitions?temporada=21&tipojuego=1,2026-08-02T15:49:15.925138+00:00
2025-2026,21,TERCERA FEDERACION,TERCERA FEDERACION,TERCERA FEDERACION RFEF,24038099,regular_season,Futbol-11,1,https://www.rffm.es/api/competitions?temporada=21&tipojuego=1,2026-08-02T15:49:26.811905+00:00
2025-2026,21,PRIMERA DIVISION AUTONOMICA AFICIONADO,PRIMERA DIVISION AUTONOMICA AFICIONADO,COPA DE AFICIONADOS RFFM 2025/2026,26067232,regular_season,Futbol-11,1,https://www.rffm.es/api/competitions?temporada=21&tipojuego=1,2026-08-02T15:49:30.983359+00:00
2025-2026,21,PRIMERA DIVISION AUTONOMICA AFICIONADO,PRIMERA DIVISION AUTONOMICA AFICIONADO,FINAL COPA PRIMERA DIVISION AUTONOMICA AFICIONADO,26699350,regular_season,Futbol-11,1,https://www.rffm.es/api/competitions?temporada=21&tipojuego=1,2026-08-02T15:49:51.941268+00:00
2025-2026,21,PRIMERA DIVISION AUTONOMICA AFICIONADO,PRIMERA DIVISION AUTONOMICA AFICIONADO,PRIMERA DIVISION AUTONOMICA AFICIONADO,24037453,regular_season,Futbol-11,1,https://www.rffm.es/api/competitions?temporada=21&tipojuego=1,2026-08-02T15:49:54.350083+00:00
2025-2026,21,PREFERENTE AFICIONADO,PREFERENTE AFICIONADO,PREFERENTE AFICIONADO,24037456,regular_season,Futbol-11,1,https://www.rffm.es/api/competitions?temporada=21&tipojuego=1,2026-08-02T15:49:59.914644+00:00
2025-2026,21,PRIMERA AFICIONADO,PRIMERA AFICIONADO,PRIMERA AFICIONADO,24037461,regular_season,Futbol-11,1,https://www.rffm.es/api/competitions?temporada=21&tipojuego=1,2026-08-02T15:50:15.063782+00:00
2025-2026,21,SEGUNDA AFICIONADO,SEGUNDA AFICIONADO,SEGUNDA AFICIONADO,24762963,regular_season,Futbol-11,1,https://www.rffm.es/api/competitions?temporada=21&tipojuego=1,2026-08-02T15:50:39.158525+00:00
2025-2026,21,LIGA NACIONAL JUVENIL,LIGA NACIONAL JUVENIL,NACIONAL JUVENIL,24037993,regular_season,Futbol-11,1,https://www.rffm.es/api/competitions?temporada=21&tipojuego=1,2026-08-02T15:51:45.138702+00:00
2025-2026,21,PRIMERA DIVISION AUTONOMICA JUVENIL,PRIMERA DIVISION AUTONOMICA JUVENIL,FINAL COPA PRIMERA DIVISION AUTONOMICA JUVENIL,26699354,regular_season,Futbol-11,1,https://www.rffm.es/api/competitions?temporada=21&tipojuego=1,2026-08-02T15:51:48.218141+00:00
