match_id,team_id,player_id,minute,minute_raw,card_type_raw,card_type_label,is_second_yellow
5524481,13549961,10296921,28,28,100,amarilla,False
5524611,345232,9812132,15,15,100,amarilla,False
5524646,418816,23157040,28,28,101,roja,False
5524646,467119,25952438,4,4,100,amarilla,False
5524709,10677669,25990250,999,999,100,amarilla,False
5524971,385,20925958,33,33,100,amarilla,False
5524971,385,23038584,33,33,100,amarilla,False
5524731,10677669,25990250,35,35,100,amarilla,False
5524737,10677669,25990208,40,40,100,amarilla,False
5524821,1031839,25957530,38,38,100,amarilla,False
5524870,334355,22310256,11,11,100,amarilla,False
5524889,334355,22490683,40,40,100,amarilla,False
5524888,1700,25956394,39,39,100,amarilla,False
5524888,1700,25956394,39,39,101,roja,False
5524960,13571350,20486162,34,34,101,roja,False
5524960,3038,25688891,30,30,100,amarilla,False
5524968,1665,25996254,35,35,100,amarilla,False
5524968,300394,26121825,15,15,100,amarilla,False
5551323,6821043,21827,35,35,100,amarilla,False
5551322,1753,21902895,27,27,100,amarilla,False
5551322,345236,26064875,11,11,100,amarilla,False
5551340,345236,26064875,5,5,100,amarilla,False
5551345,6821043,21827,25,25,100,amarilla,False
5551348,24235531,8727429,0,0,101,roja,False
5551352,1059937,25398144,32,32,100,amarilla,False
5558074,2278892,25984299,35,35,100,amarilla,False
5558120,2047,16554757,30,30,100,amarilla,False
5551405,6813377,26192649,20,20,100,amarilla,False
5551405,6813377,26192649,30,30,100,amarilla,True
5551464,680650,20377357,34,34,100,amarilla,False
5552631,10659996,25464477,34,34,100,amarilla,False
5552634,1613,2371969,25,25,100,amarilla,False
5551599,334355,22310256,32,32,100,amarilla,False
5551610,334355,22310256,10,10,100,amarilla,False
5551610,334355,22310256,10,10,100,amarilla,False
5551610,334355,22490683,10,10,100,amarilla,False
5551638,331,26081705,37,37,100,amarilla,False
5551638,331,26081705,37,37,100,amarilla,False
5551649,1665,25927924,35,35,100,amarilla,False
5551658,15287537,22720862,17,17,100,amarilla,False
5551658,15287537,22720862,17,17,100,amarilla,False
5551662,2147,23248820,30,30,100,amarilla,False
5551667,2147,15391639,39,39,100,amarilla,False
5551684,10664123,16796248,20,20,100,amarilla,False
5551684,10664123,16796248,20,20,100,amarilla,False
5551695,10664123,16796248,39,39,100,amarilla,False
5510880,680672,25822308,40,40,100,amarilla,False
5510884,8966788,21767305,14,14,100,amarilla,False
5528980,2273310,14757596,14,14,100,amarilla,False
5511129,334602,26013675,20,20,100,amarilla,False
5511140,334602,26013675,34,34,100,amarilla,False
5525864,21592740,23101621,36,36,100,amarilla,False
5525881,21592740,22019252,22,22,100,amarilla,False
5525898,21592740,14774852,28,28,100,amarilla,False
5511327,2511,25842173,36,36,100,amarilla,False
5511364,1862,25885839,37,37,100,amarilla,False
5525509,21386061,23506255,35,35,101,roja,False
5511411,13613979,26058335,5,5,100,amarilla,False
5511462,21420658,23648257,999,999,100,amarilla,False
5511474,680644,25198750,38,38,100,amarilla,False
5558216,21414191,6511056,18,18,100,amarilla,False
5558237,2278644,25681752,35,35,100,amarilla,False
5556403,6821028,25523787,30,30,100,amarilla,False
5556419,8966788,21767305,37,37,100,amarilla,False
5556425,8966788,25396383,20,20,100,amarilla,False
5556457,300465,25176118,32,32,100,amarilla,False
5551715,846809,23051030,3,3,100,amarilla,False
5551730,17202273,17256925,35,35,100,amarilla,False
5552690,334356,25984940,35,35,100,amarilla,False
5552689,1337,21712814,3,3,100,amarilla,False
5552689,1337,24543544,3,3,100,amarilla,False
5552723,1415,26022520,4,4,100,amarilla,False
5552811,2791,22987409,0,0,100,amarilla,False
5552819,21429627,4633613,11,11,100,amarilla,False
5552829,334602,26013675,999,999,101,roja,False
5556508,15269854,22638891,34,34,100,amarilla,False
5551969,21592740,14774852,30,30,100,amarilla,False
5551995,12413055,25920236,38,38,100,amarilla,False
5552001,846801,25905537,30,30,100,amarilla,False
5556852,17145085,20609660,27,27,100,amarilla,False
5556911,1666,25861900,37,37,100,amarilla,False
5556610,1862,22828663,32,32,100,amarilla,False
5556616,1577,25046436,15,15,100,amarilla,False
5556616,1577,25212995,16,16,100,amarilla,False
5556617,1862,20404427,24,24,101,roja,False
5556617,1862,25885839,29,29,100,amarilla,False
5556629,1862,25885839,24,24,100,amarilla,False
5556593,13613979,26058335,12,12,100,amarilla,False
5552014,680644,1047552,35,35,100,amarilla,False
5528252,17134366,20642914,20,20,100,amarilla,False
5528252,17134366,22185097,38,38,100,amarilla,False
5520379,13952826,2311077,12,12,100,amarilla,False
5520385,13952826,2311077,5,5,100,amarilla,False
5526778,300453,24550609,32,32,100,amarilla,False
5527765,17127900,26036364,36,36,100,amarilla,False
5527765,17127900,26036364,36,36,101,roja,False
5522029,680628,25977752,32,32,100,amarilla,False
5522054,1079502,23914088,28,28,100,amarilla,False
5523464,1123,24946743,20,20,100,amarilla,False
5522341,22388474,19913793,30,30,100,amarilla,False
5522351,17136449,10242945,4,4,100,amarilla,False
5522369,22388474,26164578,38,38,100,amarilla,False
5522470,680680,21150538,6,6,100,amarilla,False
5522470,680680,21150538,6,6,100,amarilla,False
5522508,20710503,26025194,14,14,100,amarilla,False
5522508,20710503,26025194,34,34,100,amarilla,True
5522608,929,20664752,30,30,100,amarilla,False
5522748,8966818,25451334,999,999,101,roja,False
5528419,21426858,14163748,38,38,100,amarilla,False
5523195,680787,9832033,35,35,101,roja,False
5521943,17136355,2777515,29,29,100,amarilla,False
5521960,17136355,2777515,26,26,101,roja,False
5528758,15288987,26055763,32,32,100,amarilla,False
5526338,332,14754950,5,5,100,amarilla,False
5526358,13613981,25250053,34,34,100,amarilla,False
5526366,846874,23945406,26,26,100,amarilla,False
5526371,13613980,25450174,17,17,100,amarilla,False
5526379,24025094,16680177,30,30,100,amarilla,False
5526385,846874,25808002,33,33,100,amarilla,False
5526385,846874,25826795,33,33,100,amarilla,False
5526390,681006,24683181,36,36,101,roja,False
5526390,681006,24775020,36,36,100,amarilla,False
5521529,2318722,26018103,34,34,101,roja,False
5521351,10662759,25315487,36,36,100,amarilla,False
5521393,15288218,22424357,30,30,100,amarilla,False
5521155,14139573,22385773,45,45,100,amarilla,False
5521185,4944598,24940317,35,35,100,amarilla,False
5520845,345237,25833372,27,27,100,amarilla,False
5552940,300395,26121854,13,13,100,amarilla,False
5552948,12483813,2307143,20,20,101,roja,False
5553073,24011509,25354053,14,14,100,amarilla,False
5553192,17116322,25290544,7,7,100,amarilla,False
5553230,20513126,25687260,27,27,100,amarilla,False
5553251,2604,14273141,32,32,100,amarilla,False
5553250,14351133,26035944,999,999,100,amarilla,False
5553307,691828,26284899,7,7,100,amarilla,False
5553412,24011739,25590884,29,29,100,amarilla,False
5553412,24015786,24203489,23,23,100,amarilla,False
5553467,1079502,23914088,999,999,100,amarilla,False
5553467,1079502,23914088,999,999,100,amarilla,False
5553507,846810,22658970,33,33,100,amarilla,False
5553522,846810,26296304,19,19,100,amarilla,False
5553538,1032367,25926231,29,29,100,amarilla,False
5553543,467120,22380397,27,27,100,amarilla,False
5553612,402875,14966162,26,26,100,amarilla,False
5553612,402875,14966162,26,26,100,amarilla,False
5553612,402875,24973737,26,26,100,amarilla,False
5553629,21413814,26171162,19,19,100,amarilla,False
5553627,21396288,25995519,35,35,100,amarilla,False
5553658,15289224,25214419,38,38,100,amarilla,False
5553681,17136449,22339877,18,18,100,amarilla,False
5553722,8963680,25788096,32,32,100,amarilla,False
5555232,467079,14888663,38,38,100,amarilla,False
5553826,304540,22949453,9,9,101,roja,False
5553873,2730028,24697709,40,40,100,amarilla,False
5553935,145,10191844,28,28,100,amarilla,False
5553939,555316,26328087,10,10,100,amarilla,False
5553939,555316,26328087,999,999,100,amarilla,True
5553941,3714649,25750299,17,17,100,amarilla,False
5553979,21426858,14163748,30,30,100,amarilla,False
5553979,21426858,14163748,31,31,101,roja,False
5554039,680787,9832033,35,35,100,amarilla,False
5554039,3342553,19693023,38,38,100,amarilla,False
5554039,3342553,19693023,38,38,100,amarilla,False
5554039,3342553,26089716,38,38,100,amarilla,False
5554058,680788,26269844,37,37,100,amarilla,False
5554088,693484,26024675,39,39,100,amarilla,False
5554147,15288915,23619020,40,40,100,amarilla,False
5554158,3365537,25864692,34,34,100,amarilla,False
5554171,2366041,11907303,18,18,100,amarilla,False
5554291,17122519,26404604,31,31,100,amarilla,False
5554318,17146724,24804695,36,36,100,amarilla,False
5554473,300447,25551184,30,30,101,roja,False
5554485,17146163,25546159,35,35,100,amarilla,False
5556165,2733745,20731431,17,17,100,amarilla,False
5556238,17136355,26021473,999,999,100,amarilla,False
5556238,846803,16814906,15,15,100,amarilla,False
5556246,17136355,16843785,999,999,100,amarilla,False
5556362,17138352,24764354,24,24,100,amarilla,False
5556374,13614242,24428580,999,999,100,amarilla,False
5556377,13614242,24428580,40,40,100,amarilla,False
5556384,13614242,24428580,26,26,100,amarilla,False
5554601,681006,24683181,46,46,100,amarilla,False
5554601,681006,24775020,46,46,100,amarilla,False
5554687,13564040,23459275,38,38,101,roja,False
5554687,13613927,24756115,38,38,101,roja,False
5554756,4944597,25893715,14,14,100,amarilla,False
5554759,968,26058345,34,34,101,roja,False
5554770,300476,25912204,26,26,100,amarilla,False
5554770,300476,25912204,26,26,100,amarilla,False
5554817,4944598,25265809,39,39,100,amarilla,False
5554817,4944598,24940317,999,999,100,amarilla,False
5555117,680652,11457300,36,36,100,amarilla,False
5555167,1031239,20267723,35,35,100,amarilla,False
5568874,12529173,9865408,11,11,100,amarilla,False
5506598,18378836,22129720,36,36,100,amarilla,False
5564885,22100245,24314593,14,14,100,amarilla,False
5459988,18378836,21594735,33,33,100,amarilla,False
5459992,18310481,25628572,46,46,100,amarilla,False
5460009,21432391,25393470,49,49,100,amarilla,False
5460033,18310481,25628572,23,23,100,amarilla,False
5460043,18310481,25628421,36,36,100,amarilla,False
5460043,21432391,25435196,34,34,100,amarilla,False
5460052,25212803,25257708,43,43,100,amarilla,False
