match_id,team_id,player_id,minute,minute_raw,goal_type_raw
5524443,24235531,23284338,11,11,100
5524443,13549961,16406075,7,7,100
5524443,13549961,22269124,23,23,100
5524443,13549961,16406075,25,25,100
5524443,13549961,24788806,30,30,100
5524444,1753,17068671,1,1,100
5524444,1753,17068671,7,7,100
5524444,1753,20607081,9,9,100
5524444,1753,21009417,13,13,100
5524444,1753,20607081,14,14,100
5524444,1753,21773697,19,19,100
5524444,1753,17068671,22,22,100
5524444,1753,16620650,24,24,100
5524444,1753,16620650,31,31,100
5524444,1753,17068671,31,31,100
5524444,1753,20607081,36,36,100
5524444,2274797,22913156,13,13,100
5524445,4934956,23531367,5,5,100
5524445,4934956,20822940,11,11,100
5524445,4934956,20255082,14,14,100
5524445,4934956,23079932,23,23,100
5524445,4934956,20255082,34,34,100
5524445,4934956,23079932,36,36,100
5524445,4934956,23531367,37,37,100
5524445,4934956,20742230,40,40,100
5524445,4934956,20822940,40,40,100
5524446,6821043,20842383,6,6,100
5524446,6821043,20842383,8,8,100
5524446,6821043,20842383,9,9,100
5524446,6821043,22797509,22,22,100
5524446,6821043,16726723,23,23,100
5524446,6821043,20880756,36,36,100
5524446,6821043,20842383,37,37,100
5524446,15305818,22267470,7,7,100
5524448,308,22616724,6,6,100
5524448,308,22655148,19,19,100
5524448,308,16674631,29,29,100
5524448,308,22616724,30,30,100
5524448,308,20743928,38,38,100
5524448,13551112,22998989,13,13,101
5524448,13551112,22998989,17,17,100
5524448,13551112,24108637,39,39,100
5524447,345236,20863885,2,2,100
5524447,345236,16873238,5,5,100
5524447,345236,16873238,6,6,100
5524447,345236,20863885,8,8,100
5524447,345236,21891334,12,12,100
5524447,345236,25880535,13,13,100
5524447,345236,16625664,15,15,100
5524447,345236,25880535,19,19,100
5524447,345236,21892286,25,25,100
5524447,345236,20863885,27,27,100
5524447,345236,16625664,31,31,100
5524447,345236,16014951,36,36,100
5524452,15305818,19320802,30,30,100
5524452,4934956,20255082,10,10,100
5524452,4934956,23531367,15,15,100
5524452,4934956,20452330,16,16,100
5524452,4934956,20822940,20,20,100
5524452,4934956,20452330,24,24,100
5524452,4934956,23531367,33,33,100
5524452,4934956,20255082,37,37,100
5524452,4934956,20255082,38,38,100
5524452,4934956,20255082,39,39,100
5524453,6821043,20842383,15,15,100
5524453,6821043,16726723,17,17,100
5524453,6821043,20842383,19,19,100
5524453,6821043,16726723,24,24,100
5524453,6821043,23169006,29,29,100
5524453,6821043,20842383,32,32,100
5524453,6821043,22797509,35,35,100
5524453,6821043,20842383,37,37,100
5524449,13549961,16406075,26,26,100
5524449,13549961,24788806,30,30,100
5524449,13549961,16406075,35,35,100
5524449,13549961,24788806,38,38,100
5524449,308,22655148,1,1,100
5524449,308,22655148,6,6,100
5524449,308,16674631,10,10,100
5524450,2274797,25981231,15,15,100
5524450,24235531,23589161,28,28,100
5524450,24235531,23168415,32,32,100
5524450,24235531,23168415,36,36,100
5524454,13551112,22998989,3,3,100
5524454,13551112,24108637,25,25,100
5524454,13551112,22311067,32,32,100
5524454,345236,16645997,1,1,100
5524454,345236,16645997,13,13,100
5524454,345236,21892286,14,14,100
5524454,345236,21892286,18,18,100
5524454,345236,16015037,20,20,100
5524454,345236,21892286,23,23,100
5524454,345236,21892286,24,24,100
5524454,345236,21892286,28,28,100
5524454,345236,21891334,38,38,100
5524451,1059937,23167674,19,19,100
5524451,1059937,25759201,38,38,100
5524451,1753,17068671,1,1,100
5524451,1753,20607081,37,37,100
5524451,1753,17068671,40,40,100
5524456,24235531,23284646,5,5,100
5524456,1059937,22940249,16,16,100
5524456,1059937,22939077,21,21,100
5524460,308,21052629,2,2,100
5524460,308,22616724,8,8,100
5524460,345236,16645997,11,11,100
5524460,345236,16645997,14,14,100
5524460,345236,25880535,15,15,100
5524460,345236,25880535,16,16,100
5524460,345236,25880535,18,18,100
5524460,345236,16645997,28,28,100
5524457,1753,20607081,10,10,100
5524457,1753,20607081,11,11,100
5524457,1753,20607081,21,21,100
5524457,1753,20607081,23,23,100
5524457,1753,21773697,28,28,100
5524457,1753,17068671,29,29,100
5524457,1753,17068671,33,33,100
5524457,15305818,19320802,2,2,100
5524457,15305818,19320802,15,15,100
5524458,4934956,20452330,1,1,100
5524458,4934956,20822940,2,2,100
5524458,4934956,20452330,3,3,100
5524458,4934956,20822940,5,5,100
5524458,4934956,20807187,7,7,100
5524458,4934956,20452330,9,9,100
5524458,4934956,20452330,10,10,100
5524458,4934956,23079932,12,12,100
5524458,4934956,23079932,18,18,100
5524458,4934956,20452330,21,21,100
5524458,4934956,20255082,26,26,100
5524458,4934956,20452330,30,30,100
5524458,4934956,23531367,32,32,100
5524458,4934956,20822940,34,34,100
5524458,4934956,23079932,35,35,100
5524458,4934956,23079932,38,38,100
5524458,4934956,23531367,40,40,100
5524458,12521866,25999358,19,19,100
5524455,13549961,19656206,13,13,100
5524455,13549961,24788806,13,13,100
5524455,13549961,19656206,15,15,100
5524455,13549961,16406075,18,18,100
5524455,13549961,16406075,21,21,100
5524455,13549961,16406075,24,24,100
5524455,13549961,16406075,26,26,100
5524455,13549961,22268406,32,32,100
5524455,13549961,24788862,40,40,100
5524455,2274797,22913156,29,29,100
5524459,6821043,20842383,16,16,100
5524459,6821043,20842383,24,24,100
5524459,6821043,20876928,26,26,100
5524459,6821043,20876928,28,28,100
5524459,6821043,16726723,30,30,100
5524459,6821043,23169006,38,38,100
5524461,2274797,25956711,28,28,100
5524461,2274797,23162359,33,33,100
5524461,308,21052629,2,2,100
5524461,308,20743928,7,7,100
5524461,308,25951314,19,19,100
5524461,308,25951314,24,24,100
5524461,308,25951314,25,25,100
5524461,308,25951314,30,30,100
5524461,308,21052629,31,31,100
5524461,308,22655148,39,39,100
5524465,13551112,16050330,25,25,100
5524465,4934956,24098690,5,5,100
5524465,4934956,20822940,12,12,100
5524465,4934956,22797859,13,13,100
5524465,4934956,20255082,21,21,100
5524462,1059937,22940249,13,13,100
5524462,1059937,23167674,23,23,100
5524462,1059937,22939077,35,35,100
5524462,13549961,24788806,6,6,100
5524462,13549961,24788806,18,18,100
5524462,13549961,24788806,25,25,100
5524466,345236,16625664,19,19,100
5524466,345236,16014951,29,29,100
5524466,345236,16645997,33,33,100
5524466,6821043,20842383,8,8,100
5524466,6821043,20876951,20,20,100
5524466,6821043,16726723,40,40,101
5524463,15305818,19320802,23,23,100
5524463,15305818,22877672,28,28,100
5524463,15305818,19320802,31,31,100
5524463,15305818,19320802,35,35,100
5524463,15305818,20629094,39,39,100
5524463,24235531,23284347,20,20,100
5524464,1753,16495793,7,7,100
5524464,1753,16495793,9,9,100
5524464,1753,20607081,10,10,100
5524464,1753,16620650,17,17,100
5524464,1753,20607081,25,25,100
5524464,1753,17068671,26,26,100
5524464,1753,16620650,35,35,100
5524464,1753,20607081,37,37,100
5524464,1753,20607081,38,38,100
5524464,1753,21009417,39,39,100
5524464,1753,20607081,40,40,100
5524468,13549961,24788806,11,11,100
5524468,13549961,19656206,25,25,100
5524468,13549961,19656206,27,27,100
5524468,13549961,16406075,40,40,100
5524468,15305818,20629094,15,15,100
5524468,15305818,19320802,17,17,100
5524468,15305818,22877672,29,29,100
5524468,15305818,22267470,34,34,100
5524472,308,21052629,5,5,102
5524472,308,22616724,36,36,100
5524472,6821043,16726723,2,2,100
5524472,6821043,23169006,8,8,100
5524472,6821043,16726723,12,12,100
5524472,6821043,20842383,17,17,100
5524472,6821043,16726723,22,22,100
5524472,6821043,16726723,27,27,100
5524472,6821043,20880756,29,29,100
5524472,6821043,16704540,33,33,100
5524469,24235531,23284646,2,2,100
5524469,24235531,23284687,4,4,100
5524469,24235531,23284687,7,7,100
5524469,24235531,23284646,10,10,100
5524469,24235531,23284646,22,22,100
5524469,24235531,23284646,24,24,100
5524469,24235531,23168415,25,25,100
5524469,24235531,23168415,37,37,100
5524469,24235531,23589161,39,39,100
5524469,12521866,16694680,19,19,100
5524469,12521866,16681195,36,36,100
5524470,1753,21009417,4,4,100
5524470,1753,16495793,7,7,100
5524470,1753,17068671,9,9,100
5524470,1753,20607081,13,13,100
5524470,1753,21009417,23,23,100
5524470,1753,21009417,27,27,100
5524470,1753,17068671,34,34,100
5524470,1753,16495793,38,38,100
5524470,13551112,24109007,16,16,100
5524470,13551112,22998989,32,32,100
5524467,1059937,22940459,12,12,100
5524467,1059937,22939077,20,20,100
5524467,1059937,25759201,22,22,100
5524467,1059937,22939750,36,36,100
5524467,1059937,22939750,39,39,100
5524471,4934956,20452330,6,6,100
5524471,4934956,23079932,13,13,100
5524471,4934956,20742230,18,18,100
5524471,4934956,20255082,24,24,100
5524471,4934956,23531367,33,33,100
5524471,345236,25880535,36,36,100
5524475,12521866,16681749,6,6,100
5524475,12521866,23171909,8,8,100
5524475,12521866,23171909,27,27,100
5524475,13549961,16406075,9,9,100
5524475,13549961,24788806,14,14,100
5524475,13549961,16406075,20,20,100
5524475,13549961,24788806,34,34,100
5524477,345236,16645997,14,14,100
5524477,1753,17068671,7,7,100
5524473,1059937,22939077,11,11,100
5524473,1059937,22940249,36,36,100
5524473,308,20743928,7,7,100
5524473,308,22653644,22,22,100
5524473,308,21052629,32,32,100
5524474,15305818,16688077,5,5,100
5524474,15305818,20629094,7,7,100
5524474,15305818,20629094,8,8,100
5524474,15305818,19320802,9,9,100
5524474,15305818,19320802,13,13,100
5524474,15305818,19320802,14,14,100
5524474,15305818,22267470,17,17,100
5524474,15305818,24166998,20,20,100
5524474,15305818,24075271,24,24,100
5524474,15305818,19310993,26,26,100
5524474,15305818,22267470,29,29,100
5524474,15305818,16688077,30,30,100
5524474,15305818,16688077,35,35,100
5524474,15305818,16688077,39,39,100
5524474,15305818,20629094,40,40,100
5524476,13551112,22311067,1,1,100
5524476,13551112,16050330,19,19,100
5524476,13551112,22998989,35,35,100
5524478,4934956,20255082,2,2,100
5524478,4934956,20807187,5,5,100
5524478,4934956,20452330,20,20,100
5524478,4934956,23079932,24,24,100
5524478,4934956,20255082,34,34,100
5524478,4934956,20742230,36,36,101
5524484,308,22655148,5,5,100
5524484,4934956,20255082,6,6,100
5524484,4934956,20452330,14,14,100
5524484,4934956,20742230,27,27,100
5524484,4934956,20822940,33,33,100
5524484,4934956,23531367,35,35,100
5524480,2274797,25956711,27,27,100
5524480,12521866,16694680,33,33,100
5524479,1059937,23221636,13,13,100
5524479,1059937,22940459,33,33,100
5524479,1059937,22940249,40,40,100
5524479,15305818,19320802,5,5,100
5524479,15305818,20629094,7,7,100
5524479,15305818,19320802,16,16,100
5524479,15305818,22267470,18,18,100
5524479,15305818,22267470,26,26,100
5524479,15305818,22267470,27,27,100
5524479,15305818,19320802,28,28,100
5524479,15305818,19320802,39,39,100
5524482,24235531,23284646,22,22,100
5524482,345236,25880535,7,7,100
5524482,345236,16625664,13,13,100
5524482,345236,16873238,14,14,100
5524482,345236,16873238,20,20,100
5524482,345236,16873238,28,28,100
5524482,345236,16014951,37,37,100
5524482,345236,16645997,39,39,100
5524482,345236,25880535,40,40,100
5524481,13549961,24788862,4,4,100
5524481,13549961,24788778,14,14,100
5524481,13549961,16406075,23,23,100
5524481,13549961,24788806,25,25,100
5524481,13549961,24788806,29,29,100
5524481,13551112,22998989,2,2,100
5524481,13551112,22998989,5,5,100
5524481,13551112,16050330,9,9,100
5524481,13551112,24109007,12,12,100
5524481,13551112,24109007,13,13,100
5524481,13551112,22998989,28,28,100
5524481,13551112,22998989,33,33,100
5524483,1753,16495793,16,16,100
5524483,1753,16620650,21,21,100
5524483,1753,17068671,22,22,100
5524483,6821043,20842383,1,1,100
5524487,13551112,24107929,1,1,100
5524487,13551112,24107517,4,4,100
5524487,13551112,24107929,5,5,100
5524487,13551112,24108637,20,20,100
5524487,13551112,24108637,35,35,100
5524487,2274797,25956711,33,33,102
5524489,6821043,16726723,21,21,100
5524489,6821043,20876928,38,38,100
5524489,6821043,20842383,39,39,100
5524488,345236,16645997,2,2,100
5524488,345236,16015037,9,9,100
5524488,345236,16645997,10,10,100
5524488,345236,16873238,16,16,100
5524488,345236,16873238,20,20,100
5524488,345236,25880535,26,26,100
5524488,345236,25880535,27,27,100
5524488,345236,16645997,29,29,100
5524488,345236,16015037,37,37,100
5524488,345236,16645997,38,38,100
5524488,13549961,24788806,8,8,100
5524488,13549961,16406075,20,20,100
5524488,13549961,16406075,22,22,100
5524490,4934956,20822940,31,31,100
5524490,4934956,20807187,35,35,100
5524490,1753,17068671,30,30,100
5524485,15305818,24166998,13,13,100
5524485,15305818,19320802,14,14,100
5524485,15305818,22877672,20,20,100
5524485,15305818,22267470,30,30,100
5524485,15305818,22267470,34,34,100
5524485,15305818,24166998,40,40,100
5524485,15305818,22877672,56,56,100
5524485,308,22655148,11,11,100
5524485,308,22655148,16,16,101
5524485,308,20743928,18,18,100
5524485,308,20743928,22,22,100
5524485,308,22518728,34,34,102
5524486,1059937,22939077,4,4,100
5524486,1059937,22941715,16,16,100
5524486,1059937,22939750,23,23,100
5524486,1059937,22940459,35,35,100
5524486,1059937,23221636,36,36,100
5524492,1059937,22940249,2,2,100
5524492,1059937,22940249,6,6,100
5524492,13551112,24106845,3,3,100
5524492,13551112,24107929,30,30,100
5524492,13551112,16050330,38,38,100
5524495,4934956,20822940,3,3,100
5524495,4934956,20452330,5,5,100
5524495,4934956,23079932,6,6,100
5524495,4934956,20452330,7,7,100
5524495,4934956,20452330,10,10,100
5524495,4934956,20452330,11,11,100
5524495,4934956,20452330,15,15,100
5524495,4934956,20822940,31,31,100
5524495,4934956,20822940,34,34,100
5524495,4934956,20807187,36,36,100
5524495,4934956,20255082,39,39,101
5524491,15305818,19320802,2,2,100
5524491,15305818,22877672,12,12,100
5524491,15305818,21773652,15,15,100
5524491,15305818,22267470,16,16,100
5524491,15305818,22267470,17,17,100
5524491,15305818,22877672,37,37,100
5524491,15305818,22877672,38,38,100
5524491,15305818,22267470,40,40,100
5524491,12521866,16680105,10,10,100
5524491,12521866,16680105,14,14,100
5524493,345236,16645997,18,18,100
5524493,345236,16015037,19,19,100
5524493,345236,16645997,22,22,100
5524493,345236,21892286,27,27,100
5524493,345236,16873238,31,31,100
5524494,13549961,16406075,1,1,100
5524494,13549961,24788806,34,34,100
5524494,13549961,24788806,37,37,100
5524494,6821043,20842383,3,3,100
5524494,6821043,20842383,4,4,100
5524494,6821043,20876928,7,7,100
5524494,6821043,23169006,8,8,100
5524494,6821043,20842383,15,15,100
5524494,6821043,22797509,17,17,100
5524494,6821043,16704540,24,24,100
5524494,6821043,20876928,26,26,100
5524494,6821043,16726723,31,31,100
5524494,6821043,16726723,35,35,100
5524496,1753,21773697,3,3,100
5524496,1753,21773697,11,11,100
5524496,1753,20607081,16,16,100
5524496,1753,20607081,19,19,100
5524496,1753,16620650,22,22,100
5524496,1753,21009417,25,25,100
5524496,1753,16620650,30,30,101
5524496,1753,21773697,34,34,100
5524496,1753,20607081,36,36,100
5524498,13551112,22998989,17,17,100
5524498,15305818,20629094,3,3,100
5524498,15305818,19320802,7,7,100
5524498,15305818,19320802,15,15,100
5524498,15305818,22267470,24,24,100
5524498,15305818,20629094,30,30,100
5524498,15305818,19320802,32,32,100
5524498,15305818,19320802,37,37,100
5524498,15305818,22267470,39,39,100
5524499,345236,16645997,8,8,100
5524499,345236,16014951,22,22,100
5524499,345236,25880535,30,30,100
5524499,345236,16645997,33,33,100
5524499,345236,21892286,40,40,100
5524499,1059937,22939750,9,9,100
5524497,308,21052629,8,8,100
5524497,308,22616724,25,25,100
5524497,308,22655148,25,25,100
5524497,12521866,23171909,5,5,100
5524500,6821043,20842383,4,4,100
5524500,6821043,16726723,9,9,100
5524500,6821043,16726723,12,12,100
5524500,6821043,20842383,13,13,100
5524500,6821043,20876951,16,16,100
5524500,6821043,16726723,23,23,100
5524500,6821043,16726723,33,33,100
5524500,6821043,20880756,35,35,100
5524500,6821043,20842383,38,38,100
5524500,6821043,20876928,40,40,100
5524500,2274797,25981231,20,20,102
5524501,4934956,23531367,19,19,100
5524501,4934956,23079932,25,25,100
5524501,4934956,23531367,32,32,100
5524501,4934956,20822940,35,35,100
5524501,4934956,23531367,37,37,100
5524501,13549961,22268406,33,33,100
5524502,1753,20607081,4,4,100
5524502,1753,17068671,13,13,100
5524502,1753,21773697,16,16,100
5524502,1753,17068671,24,24,100
5524502,1753,16620650,26,26,100
5524502,1753,16620650,31,31,100
5524502,1753,20607081,32,32,100
5524502,1753,20607081,38,38,100
5524507,13549961,24791277,11,11,100
5524507,13549961,24788862,38,38,100
5524507,1753,20607081,4,4,100
5524507,1753,16495793,13,13,100
5524507,1753,20607081,21,21,100
5524507,1753,17068671,29,29,100
5524508,308,22616724,11,11,100
5524508,308,22655148,37,37,100
5524508,308,22655148,38,38,100
5524503,12521866,23171909,35,35,100
5524503,13551112,22311067,4,4,100
5524503,13551112,24109007,6,6,100
5524503,13551112,16050330,9,9,100
5524503,13551112,22998989,24,24,100
5524503,13551112,22311067,25,25,100
5524503,13551112,22998989,27,27,100
5524503,13551112,16050330,34,34,100
5524503,13551112,16050330,37,37,100
5524505,6821043,22797509,1,1,100
5524505,6821043,23169006,4,4,100
5524505,6821043,20880756,19,19,100
5524505,6821043,16726723,26,26,100
5524504,15305818,19320802,3,3,100
5524504,345236,21891334,8,8,100
5524504,345236,16645997,11,11,100
5524504,345236,25880535,13,13,100
5524504,345236,21891334,15,15,100
5524504,345236,16645997,16,16,100
5524504,345236,16645997,20,20,100
5524504,345236,16645997,21,21,100
5524504,345236,16015037,32,32,100
5524506,4934956,20742230,6,6,100
5524506,4934956,20742230,10,10,100
5524506,4934956,20822940,15,15,100
5524506,4934956,20742230,17,17,100
5524506,4934956,20822940,19,19,100
5524506,4934956,20814748,23,23,100
5524506,4934956,20822940,25,25,100
5524506,4934956,20255082,29,29,100
5524506,4934956,23531367,35,35,100
5524506,4934956,22797859,38,38,100
5524506,4934956,20452330,39,39,100
5524509,220,21898188,13,13,100
5524509,220,21899337,30,30,100
5524509,223,21984584,3,3,100
5524509,223,21984896,15,15,100
5524510,846844,20765345,16,16,100
5524510,846844,16723560,22,22,100
5524510,846844,16734053,28,28,100
5524510,846844,23147180,37,37,100
5524511,2182,20338288,29,29,100
5524512,15291523,23324153,7,7,100
5524512,15291523,21040889,9,9,100
5524512,15291523,21040889,11,11,100
5524512,15291523,21040889,18,18,100
5524512,15291523,21040889,30,30,100
5524512,15291523,19746717,32,32,100
5524512,15291523,21040864,34,34,100
5524512,15291523,21865781,36,36,100
5524513,3002,23170220,12,12,100
5524513,3002,23155589,22,22,100
5524513,3002,23170372,26,26,100
5524513,3002,23155589,30,30,100
5524513,3002,23170080,34,34,100
5524513,2278892,23146012,3,3,100
5524513,2278892,23146012,5,5,100
5524513,2278892,25886269,17,17,100
5524513,2278892,23671874,25,25,100
5524514,555336,23141307,13,13,100
5524514,2590,21750781,2,2,100
5524514,2590,22136576,5,5,100
5524514,2590,21750514,15,15,100
5524514,2590,22433146,23,23,100
5524514,2590,21750514,29,29,100
5524518,15291523,21040864,22,22,100
5524518,15291523,19746717,28,28,100
5524518,15291523,21040889,34,34,100
5524518,680671,23170834,6,6,100
5524518,680671,16635163,30,30,100
5524519,2278892,23146012,6,6,100
5524519,2278892,23146012,15,15,100
5524519,2278892,23146012,18,18,100
5524519,2278892,23671874,37,37,100
5524519,2047,20761245,36,36,100
5524515,223,21984584,1,1,100
5524515,223,21984896,12,12,100
5524515,223,21984347,22,22,100
5524515,223,21984896,26,26,100
5524515,223,21984584,38,38,100
5524515,223,22735931,39,39,100
5524515,555336,23140940,5,5,100
5524515,555336,23142388,9,9,100
5524516,846845,23133406,2,2,100
5524516,846845,20844106,10,10,100
5524516,846845,23133459,12,12,100
5524516,846845,20838648,21,21,100
5524516,846845,23133406,37,37,100
5524516,846845,20838648,38,38,100
5524516,220,21898364,16,16,100
5524517,846844,16734053,18,18,100
5524517,846844,16734053,31,31,100
5524520,3002,23155589,13,13,100
5524520,3002,23170080,22,22,100
5524520,3002,23155284,32,32,100
5524520,3002,23170080,39,39,100
5524520,3002,23170080,40,40,100
5524522,2182,20764353,10,10,100
5524522,2182,21690564,15,15,100
5524526,3002,23170372,7,7,100
5524526,3002,23170080,17,17,100
5524526,3002,23170372,18,18,100
5524526,3002,23170297,19,19,100
5524526,3002,23169968,20,20,100
5524526,3002,23155689,25,25,100
5524523,846844,23133081,11,11,100
5524523,846844,23133081,17,17,100
5524523,15291523,15870225,30,30,100
5524523,15291523,15870225,31,31,100
5524523,15291523,15870225,37,37,100
5524524,680671,23120413,18,18,100
5524524,680671,23120413,22,22,100
5524524,680671,20234756,30,30,100
5524524,680671,23120413,40,40,100
5524524,2278892,23143154,8,8,100
5524524,2278892,23143154,35,35,100
5524521,223,22735931,2,2,100
5524521,223,22735931,6,6,100
5524521,223,22746608,17,17,100
5524521,223,21985426,22,22,100
5524521,223,21984584,25,25,100
5524521,223,22746698,32,32,100
5524525,2047,20756762,36,36,100
5524525,2590,22433146,5,5,100
5524525,2590,21721026,21,21,100
5524525,2590,21750514,30,30,100
5524525,2590,21721026,40,40,100
5524527,846845,20838648,1,1,100
5524527,846845,23133459,8,8,100
5524527,846845,23133459,13,13,100
5524527,846845,20844106,20,20,102
5524527,846845,23133459,23,23,100
5524527,846845,23141137,30,30,100
5524527,846845,23133459,31,31,100
5524527,846845,19315247,36,36,100
5524527,555336,26099197,18,18,100
5524527,555336,23140940,24,24,100
5524527,555336,23140940,28,28,100
5524531,2590,21750984,31,31,100
5524531,680671,20234756,3,3,100
5524531,680671,16635163,4,4,100
5524531,680671,20750772,38,38,100
5524528,2182,21689402,9,9,100
5524528,2182,21689402,22,22,100
5524528,2182,24754895,40,40,100
5524532,3002,23443338,5,5,100
5524532,3002,23155284,27,27,100
5524532,3002,23170297,32,32,100
5524532,3002,23443338,36,36,100
5524532,3002,23155689,40,40,100
5524532,2047,20756762,16,16,100
5524532,2047,21317894,19,19,100
5524532,2047,20756762,34,34,100
5524529,15291523,24740216,17,17,100
5524529,15291523,21865781,23,23,100
5524530,2278892,23671874,13,13,100
5524530,2278892,23146012,22,22,100
5524530,2278892,23143154,27,27,100
5524530,2278892,23146012,37,37,100
5524530,846844,23147180,3,3,100
5524530,846844,23147180,9,9,100
5524530,846844,16734053,33,33,100
5524530,846844,23147180,38,38,100
5524534,223,22735931,28,28,100
5524534,15291523,19746717,5,5,100
5524534,15291523,21040889,8,8,100
5524534,15291523,21865781,19,19,100
5524534,15291523,19746717,27,27,100
5524534,15291523,15870225,37,37,100
5524534,15291523,15870225,39,39,100
5524538,555336,20746503,5,5,100
5524538,2047,21330476,1,1,100
5524538,2047,20761245,9,9,100
5524538,2047,20756762,23,23,100
5524535,220,22474509,29,29,100
5524535,2278892,23143154,3,3,100
5524535,2278892,23144703,10,10,100
5524535,2278892,25886269,16,16,100
5524535,2278892,23146012,20,20,100
5524535,2278892,23144703,28,28,100
5524535,2278892,23172165,30,30,100
5524535,2278892,23671874,35,35,100
5524535,2278892,23144703,38,38,100
5524535,2278892,23671874,40,40,100
5524536,846844,23147180,6,6,100
5524536,846844,20844089,39,39,100
5524536,2590,22273291,10,10,100
5524536,2590,22272086,25,25,102
5524533,846845,21548616,13,13,100
5524533,2182,21690564,24,24,102
5524537,680671,23120413,5,5,100
5524537,680671,20238905,13,13,100
5524537,680671,16635163,18,18,100
5524537,680671,23120413,22,22,100
5524537,3002,23168785,38,38,100
5524541,2278892,25886269,3,3,100
5524541,2278892,25886269,10,10,100
5524541,2278892,23671874,28,28,100
5524541,2278892,23146012,33,33,100
5524541,223,22735931,16,16,100
5524543,3002,23170080,2,2,100
5524543,3002,23170080,25,25,100
5524543,846844,23133081,21,21,100
5524539,2182,20749183,2,2,100
5524539,2182,21691054,5,5,100
5524539,2182,20338288,14,14,100
5524539,2182,20338288,35,35,100
5524540,15291523,19746717,8,8,100
5524540,15291523,21040889,15,15,100
5524540,15291523,21040889,29,29,100
5524540,15291523,21865781,33,33,100
5524540,846845,20838648,11,11,100
5524542,2590,21721026,10,10,100
5524542,2590,22273291,13,13,100
5524542,2590,21750514,18,18,100
5524542,2590,22272086,25,25,100
5524542,2590,22072786,28,28,100
5524542,2590,22433146,33,33,100
5524542,2590,22136576,38,38,100
5524542,220,22474509,13,13,100
5524542,220,22474509,19,19,100
5524542,220,21899337,32,32,100
5524542,220,22474509,39,39,100
5524544,2047,25612105,4,4,100
5524544,680671,23257836,5,5,100
5524544,680671,23257836,12,12,100
5524544,680671,16635163,14,14,100
5524544,680671,23170834,19,19,100
5524544,680671,23170834,33,33,100
5524544,680671,23120413,38,38,100
5524544,680671,16736051,39,39,100
5524545,2182,20338288,2,2,100
5524545,15291523,15870225,3,3,100
5524545,15291523,15870225,7,7,100
5524545,15291523,15870225,14,14,100
5524546,846845,23141137,26,26,100
5524546,2278892,23671874,13,13,100
5524546,2278892,23146012,14,14,100
5524546,2278892,23671874,27,27,100
5524546,2278892,23143154,29,29,100
5524546,2278892,23671874,39,39,100
5524547,223,22735931,5,5,100
5524547,223,21984584,19,19,100
5524547,2590,22072786,2,2,100
5524547,2590,21721026,3,3,100
5524547,2590,22072786,6,6,100
5524548,3002,23155589,13,13,100
5524548,3002,23155589,15,15,100
5524548,3002,23170372,27,27,100
5524548,3002,23155689,34,34,100
5524548,3002,23170080,39,39,100
5524549,846844,16734053,3,3,100
5524549,846844,16723560,11,11,100
5524549,846844,20765345,31,31,100
5524549,846844,20765345,33,33,100
5524549,846844,20765345,35,35,101
5524549,846844,23147180,37,37,100
5524549,2047,20756762,40,40,101
5524550,680671,23133025,12,12,100
5524550,680671,16635163,16,16,100
5524550,680671,20238905,19,19,100
5524550,680671,23170834,22,22,100
5524550,680671,16635163,24,24,100
5524550,680671,16736051,39,39,100
5546593,15291523,15870225,24,24,100
5546593,15291523,15870225,28,28,100
5546593,15291523,21040889,34,34,100
5546593,15291523,21040889,35,35,100
5546593,15291523,21040864,36,36,100
5546593,555336,23140940,13,13,100
5546593,555336,23140940,18,18,100
5546593,555336,23140940,39,39,100
5546592,680671,20234756,11,11,100
5546592,680671,23120413,24,24,100
5546592,680671,16635163,30,30,100
5546592,680671,16635163,33,33,100
5546592,680671,23170834,38,38,100
5546592,846844,23147180,4,4,100
5546592,846844,20765345,25,25,100
5546592,846844,20844089,26,26,100
5556702,3002,23170080,6,6,100
5556702,3002,23169968,14,14,100
5556702,3002,23169968,18,18,100
5556702,3002,23169968,19,19,100
5556702,3002,23170220,21,21,100
5556702,3002,23170372,34,34,100
5556702,223,22746398,30,30,100
5556704,2278892,23671874,2,2,100
5556704,2278892,23146012,6,6,100
5556704,2278892,23146012,35,35,100
5556704,2182,24754895,11,11,100
5556704,2182,21689384,12,12,100
5556704,2182,21690061,17,17,100
5556704,2182,24754895,30,30,100
5556704,2182,24754895,31,31,100
5556704,2182,19315673,39,39,100
5556703,2590,22072786,4,4,100
5556703,2590,21750514,22,22,100
5556703,2590,22433146,27,27,100
5556703,2590,21750425,32,32,102
5556703,846845,21548616,24,24,100
5524558,2182,21690061,17,17,100
5524558,2182,21690061,20,20,100
5524558,2182,21690061,22,22,100
5524558,2182,24754025,36,36,100
5524558,2182,21690502,40,40,100
5524558,2590,21750514,27,27,100
5524561,220,21898188,29,29,102
5524561,680671,16635163,4,4,100
5524561,680671,20238905,38,38,100
5524557,15291523,24740216,2,2,100
5524557,15291523,15870225,17,17,100
5524557,15291523,21040864,23,23,100
