match_id,official_kind,official_id,official_name,role_raw
5334825,referee,101731058,"RODRIGUEZ DE SEPÚLVEDA GARCIA, PEDRO",Arbitro principal
5334825,field_delegate,,"MARTINEZ DAIMIEL, DAMIAN",delegado_campo
5334826,referee,101731058,"RODRIGUEZ DE SEPÚLVEDA GARCIA, PEDRO",Arbitro principal
5334827,referee,101731058,"RODRIGUEZ DE SEPÚLVEDA GARCIA, PEDRO",Arbitro principal
5334827,field_delegate,,"SERRANO ALCANTARA, FEDERICO",delegado_campo
5334828,referee,1381789,"ARRIBAS DE BLAS, ALVARO",Arbitro principal
5334828,field_delegate,,"SERRANO GONZALEZ, IKER",delegado_campo
5334829,referee,1381789,"ARRIBAS DE BLAS, ALVARO",Arbitro principal
5334829,field_delegate,,"FERNANDEZ MEJIAS, IGNACIO",delegado_campo
5334830,referee,1381789,"ARRIBAS DE BLAS, ALVARO",Arbitro principal
5334830,field_delegate,,"DÍAZ CHOCERO, ANDRÉS",delegado_campo
5334834,referee,1381789,"ARRIBAS DE BLAS, ALVARO",Arbitro principal
5334832,referee,1381789,"ARRIBAS DE BLAS, ALVARO",Arbitro principal
5334833,referee,1381789,"ARRIBAS DE BLAS, ALVARO",Arbitro principal
5334837,referee,101710716,"PADERO CAMBRA, ALBA",Arbitro principal
5334837,field_delegate,,"MANSO OLIVA, PATRICIO",delegado_campo
5334835,referee,101710716,"PADERO CAMBRA, ALBA",Arbitro principal
5334836,referee,101710716,"PADERO CAMBRA, ALBA",Arbitro principal
5334836,field_delegate,,"ALCON MERINO, MARCOS",delegado_campo
5334842,referee,1700922,"SANCHEZ GASANZ, ANGEL",Arbitro principal
5334842,field_delegate,,"SERRANO ALCANTARA, FEDERICO",delegado_campo
5334840,referee,1700922,"SANCHEZ GASANZ, ANGEL",Arbitro principal
5334840,field_delegate,,"MARTINEZ DAIMIEL, DAMIAN",delegado_campo
5334841,referee,1700922,"SANCHEZ GASANZ, ANGEL",Arbitro principal
5334841,field_delegate,,"PARGA MORCILLO, VICTOR",delegado_campo
5334839,referee,974044,"JUAREZ RODRIGUEZ, DANIEL",Arbitro principal
5334843,referee,974044,"JUAREZ RODRIGUEZ, DANIEL",Arbitro principal
5334845,referee,974044,"JUAREZ RODRIGUEZ, DANIEL",Arbitro principal
5334848,referee,1700922,"SANCHEZ GASANZ, ANGEL",Arbitro principal
5334850,referee,1700922,"SANCHEZ GASANZ, ANGEL",Arbitro principal
5334850,field_delegate,,"MANSO OLIVA, PATRICIO",delegado_campo
5334852,referee,1700922,"SANCHEZ GASANZ, ANGEL",Arbitro principal
5334852,field_delegate,,"ESCONDRILLAS GARCIA, DIEGO",delegado_campo
5334849,referee,103159942,"MANEA, GEORGE RAZVAN",Arbitro principal
5334849,field_delegate,,"ALCON MERINO, MARCOS",delegado_campo
5334847,referee,103159942,"MANEA, GEORGE RAZVAN",Arbitro principal
5334846,referee,103159942,"MANEA, GEORGE RAZVAN",Arbitro principal
5334858,referee,101724542,"FERNÁNDEZ MONTES, ALEX",Arbitro principal
5334854,referee,101724542,"FERNÁNDEZ MONTES, ALEX",Arbitro principal
5334855,referee,101724542,"FERNÁNDEZ MONTES, ALEX",Arbitro principal
