match_id,official_kind,official_id,official_name,role_raw
5524443,referee,103172378,"GARCIA ZARRIELLO, ADRIAN",Arbitro principal
5524443,field_delegate,,"CONTRERAS COGORRO, ALBERTO",delegado_campo
5524444,referee,103176032,"UDIAS MEDIAVILLA, CARLA",Arbitro principal
5524444,field_delegate,,"SERRANO SANCHO, MANUEL",delegado_campo
5524445,referee,103172378,"GARCIA ZARRIELLO, ADRIAN",Arbitro principal
5524446,referee,103172376,"GALINDO MARTINEZ, PABLO",Arbitro principal
5524446,field_delegate,,"MARTINEZ RUIZ, PEDRO",delegado_campo
5524448,referee,103172376,"GALINDO MARTINEZ, PABLO",Arbitro principal
5524447,referee,103176032,"UDIAS MEDIAVILLA, CARLA",Arbitro principal
5524447,field_delegate,,"PALMA CABALLO, RUBÉN",delegado_campo
5524452,referee,103176036,"VEGA DE SEOANE RUIZ-GIMENEZ, ADRIAN",Arbitro principal
5524452,field_delegate,,"MESA ALBALADEJO, ALEJANDRO",delegado_campo
5524453,referee,103176032,"UDIAS MEDIAVILLA, CARLA",Arbitro principal
5524449,referee,103174743,"ORTEGA MENDOZA, HUGO",Arbitro principal
5524449,field_delegate,,"JUEZ SALGADO, VICTOR",delegado_campo
5524450,referee,103176032,"UDIAS MEDIAVILLA, CARLA",Arbitro principal
5524454,referee,103176036,"VEGA DE SEOANE RUIZ-GIMENEZ, ADRIAN",Arbitro principal
5524451,referee,103174743,"ORTEGA MENDOZA, HUGO",Arbitro principal
5524451,field_delegate,,"ALONSO BARROS, PEDRO",delegado_campo
5524456,referee,103175374,"SÁNCHEZ LUCEÑO, MARIO",Arbitro principal
5524460,referee,103171607,"CONDE MARTIN , CÉSAR",Arbitro principal
5524457,referee,103173565,"MAROTO GONZALEZ, DANIEL",Arbitro principal
5524458,referee,103171607,"CONDE MARTIN , CÉSAR",Arbitro principal
5524458,field_delegate,,"RODRIGUEZ RODRIGUEZ, HUGO",delegado_campo
5524455,referee,103173565,"MAROTO GONZALEZ, DANIEL",Arbitro principal
5524455,field_delegate,,"JUEZ SALGADO, VICTOR",delegado_campo
5524459,referee,103175374,"SÁNCHEZ LUCEÑO, MARIO",Arbitro principal
5524461,referee,103172979,"HERNÁNDEZ ALBARRAN, ALEX",Arbitro principal
5524465,referee,103174765,"ROBLES RÍOS, PABLO",Arbitro principal
5524465,field_delegate,,"VELA ALVAREZ, SANDRA",delegado_campo
5524462,referee,103174765,"ROBLES RÍOS, PABLO",Arbitro principal
5524466,referee,103175376,"SAN VALENTÍN COVES, CARLOS ALEJANDRO",Arbitro principal
5524463,referee,103175376,"SAN VALENTÍN COVES, CARLOS ALEJANDRO",Arbitro principal
5524463,field_delegate,,"MAYORAL CASTILLO, DIEGO",delegado_campo
5524464,referee,103172979,"HERNÁNDEZ ALBARRAN, ALEX",Arbitro principal
5524468,referee,103176556,"ZORZO AYALA, GONZALO",Arbitro principal
5524468,field_delegate,,"JUEZ SALGADO, VICTOR",delegado_campo
5524472,referee,103173533,"LÓPEZ CABALLERO, ADRIÁN",Arbitro principal
5524469,referee,103176556,"ZORZO AYALA, GONZALO",Arbitro principal
5524470,referee,103173533,"LÓPEZ CABALLERO, ADRIÁN",Arbitro principal
5524467,referee,103176556,"ZORZO AYALA, GONZALO",Arbitro principal
5524471,referee,103173533,"LÓPEZ CABALLERO, ADRIÁN",Arbitro principal
5524471,field_delegate,,"RODRIGUEZ RODRIGUEZ, HUGO",delegado_campo
5524475,referee,103176548,"ZAZO FERNÁNDEZ, HUGO",Arbitro principal
5524477,referee,103173623,"MAROTO CRESPO, DANIEL",Arbitro principal
5524473,referee,103176548,"ZAZO FERNÁNDEZ, HUGO",Arbitro principal
5524473,field_delegate,,"GARCIA FERNANDEZ, JAVIER",delegado_campo
5524474,referee,103173623,"MAROTO CRESPO, DANIEL",Arbitro principal
5524476,referee,103176548,"ZAZO FERNÁNDEZ, HUGO",Arbitro principal
5524476,field_delegate,,"VELA ALVAREZ, SANDRA",delegado_campo
5524478,referee,103173623,"MAROTO CRESPO, DANIEL",Arbitro principal
5524484,referee,1183827,"EL HAMMOUCHI HAMOUCH, SAID",Arbitro principal
5524480,referee,103172165,"DEL POZO MORENO, ISMAEL",Arbitro principal
5524479,referee,103171525,"BRAVO APARICIO, EDUARDO",Arbitro principal
5524482,referee,103172165,"DEL POZO MORENO, ISMAEL",Arbitro principal
5524481,referee,103171525,"BRAVO APARICIO, EDUARDO",Arbitro principal
5524481,field_delegate,,"JUEZ SALGADO, VICTOR",delegado_campo
5524483,referee,103172165,"DEL POZO MORENO, ISMAEL",Arbitro principal
5524487,referee,103170710,"AGUILERA BUJ, CARLOS",Arbitro principal
