match_id,team_id,role_kind,role_raw,person_id,person_name
5334825,586,head_coach,head_coach,7375746,"LOPEZ LOPEZ, ALEJANDRO"
5334825,586,other_staff,ENCARGADO DE MATERIAL,21764697,"SODDU IGUALADO, ARIAN"
5334825,587,head_coach,head_coach,12342931,"GARCIA BLANCAS, JOSE MANUEL"
5334825,587,team_delegate,team_delegate,,"GARCIA LOPEZ, MANUEL"
5334826,6821040,head_coach,head_coach,25375102,"RAMIREZ OLARTE, ALEJANDRO"
5334826,305,head_coach,head_coach,25866606,"DÍAZ PÉREZ, IGNACIO"
5334826,305,other_staff,ENCARGADO DE MATERIAL,20765597,"DIAZ PEREZ, PABLO"
5334827,334123,head_coach,head_coach,25783989,"SERRANO ALCANTARA, FEDERICO"
5334827,334123,team_delegate,team_delegate,,"SERRANO ALCANTARA, FEDERICO"
5334827,2216,head_coach,head_coach,2480112,"SANCHEZ PAVON, JOSE RAMON"
5334827,2216,team_delegate,team_delegate,,"FERNANDEZ VAZQUEZ, CARLOS"
5334828,15305816,head_coach,head_coach,15530369,"SANTAMARTA MOLINA, GONZALO"
5334828,15305816,other_staff,EPR,24878406,"SERRANO GONZALEZ, IKER"
5334828,14,head_coach,head_coach,11961546,"RUBIDO VIDAL, JOSE LUIS"
5334828,14,assistant_coach,assistant_coach,2528111,"JIMENEZ SALAZAR, DAVID"
5334828,14,team_delegate,team_delegate,,"VALLS ALONSO, FERNANDO PEDRO"
5334828,14,other_staff,AYUDANTE TECNICO SANITARIO,23026,"RODRIGUEZ MORENO, ABRAHAM"
5334829,846733,head_coach,head_coach,15025787,"FERNÁNDEZ DE PEDRO, ISMAEL"
5334829,846733,team_delegate,team_delegate,,"FERNANDEZ MEJIAS, IGNACIO"
5334829,2141,head_coach,head_coach,11468751,"GOMEZ ROMERO, HECTOR"
5334829,2141,team_delegate,team_delegate,,"ALCON MERINO, MARCOS"
5334830,300164,head_coach,head_coach,148038,"GARCIA ALIAGA, ABRAHAM"
5334830,3035,head_coach,head_coach,3306424,"MANSO OLIVA, PATRICIO"
5334834,2216,head_coach,head_coach,2480112,"SANCHEZ PAVON, JOSE RAMON"
5334834,2216,team_delegate,team_delegate,,"FERNANDEZ VAZQUEZ, CARLOS"
5334834,6821040,head_coach,head_coach,25375102,"RAMIREZ OLARTE, ALEJANDRO"
5334834,6821040,team_delegate,team_delegate,,"PARGA MORCILLO, VICTOR"
5334832,587,head_coach,head_coach,12342931,"GARCIA BLANCAS, JOSE MANUEL"
5334832,587,team_delegate,team_delegate,,"GARCIA LOPEZ, MANUEL"
5334832,435,head_coach,head_coach,104399,"MARTIN UGALDEA, ANTONIO"
5334832,435,team_delegate,team_delegate,,"GABALDON ESTEBAN, DIEGO"
5334833,305,head_coach,head_coach,25866606,"DÍAZ PÉREZ, IGNACIO"
5334833,305,other_staff,ENCARGADO DE MATERIAL,20765597,"DIAZ PEREZ, PABLO"
5334833,586,head_coach,head_coach,7375746,"LOPEZ LOPEZ, ALEJANDRO"
5334833,586,team_delegate,team_delegate,,"MARTINEZ DAIMIEL, DAMIAN"
5334833,586,other_staff,ENCARGADO DE MATERIAL,21764697,"SODDU IGUALADO, ARIAN"
5334837,3035,head_coach,head_coach,3306424,"MANSO OLIVA, PATRICIO"
5334837,3035,team_delegate,team_delegate,,"MANSO OLIVA, PATRICIO"
5334837,846733,head_coach,head_coach,15025787,"FERNÁNDEZ DE PEDRO, ISMAEL"
5334837,846733,team_delegate,team_delegate,,"FERNANDEZ MEJIAS, IGNACIO"
5334835,14,head_coach,head_coach,11961546,"RUBIDO VIDAL, JOSE LUIS"
5334835,14,assistant_coach,assistant_coach,2528111,"JIMENEZ SALAZAR, DAVID"
5334835,14,team_delegate,team_delegate,,"VALLS ALONSO, FERNANDO PEDRO"
5334835,14,other_staff,AYUDANTE TECNICO SANITARIO,23026,"RODRIGUEZ MORENO, ABRAHAM"
5334835,334123,head_coach,head_coach,25783989,"SERRANO ALCANTARA, FEDERICO"
5334835,334123,team_delegate,team_delegate,,"SERRANO ALCANTARA, FEDERICO"
5334836,2141,head_coach,head_coach,11468751,"GOMEZ ROMERO, HECTOR"
5334836,2141,team_delegate,team_delegate,,"ALCON MERINO, MARCOS"
5334836,15305816,head_coach,head_coach,15530369,"SANTAMARTA MOLINA, GONZALO"
5334836,15305816,team_delegate,team_delegate,,"SERRANO GONZALEZ, IKER"
5334836,15305816,other_staff,EPR,24878406,"SERRANO GONZALEZ, IKER"
5334842,334123,head_coach,head_coach,25783989,"SERRANO ALCANTARA, FEDERICO"
5334842,334123,team_delegate,team_delegate,,"REQUENA KETOLA, AXEL EDUARDO"
5334842,2141,head_coach,head_coach,11468751,"GOMEZ ROMERO, HECTOR"
5334842,2141,team_delegate,team_delegate,,"ALCON MERINO, MARCOS"
5334840,586,head_coach,head_coach,7375746,"LOPEZ LOPEZ, ALEJANDRO"
5334840,586,team_delegate,team_delegate,,"MARTINEZ DAIMIEL, DAMIAN"
5334840,2216,head_coach,head_coach,2480112,"SANCHEZ PAVON, JOSE RAMON"
5334840,2216,team_delegate,team_delegate,,"FERNANDEZ VAZQUEZ, CARLOS"
5334841,6821040,head_coach,head_coach,25375102,"RAMIREZ OLARTE, ALEJANDRO"
5334841,6821040,team_delegate,team_delegate,,"PARGA MORCILLO, VICTOR"
5334841,6821040,other_staff,ENTRENADOR AUXILIAR,24700395,"VILLARO SANCHEZ, JAVIER"
5334841,14,head_coach,head_coach,11961546,"RUBIDO VIDAL, JOSE LUIS"
5334841,14,assistant_coach,assistant_coach,2528111,"JIMENEZ SALAZAR, DAVID"
5334841,14,team_delegate,team_delegate,,"VALLS ALONSO, FERNANDO PEDRO"
5334841,14,other_staff,AYUDANTE TECNICO SANITARIO,23026,"RODRIGUEZ MORENO, ABRAHAM"
5334839,587,head_coach,head_coach,12342931,"GARCIA BLANCAS, JOSE MANUEL"
5334839,587,team_delegate,team_delegate,,"GARCIA LOPEZ, MANUEL"
5334839,305,head_coach,head_coach,25866606,"DÍAZ PÉREZ, IGNACIO"
5334843,15305816,head_coach,head_coach,15530369,"SANTAMARTA MOLINA, GONZALO"
5334843,15305816,team_delegate,team_delegate,,"SERRANO GONZALEZ, IKER"
5334843,15305816,other_staff,EPR,24878406,"SERRANO GONZALEZ, IKER"
5334843,3035,head_coach,head_coach,3306424,"MANSO OLIVA, PATRICIO"
5334843,3035,team_delegate,team_delegate,,"MANSO OLIVA, PATRICIO"
5334845,435,head_coach,head_coach,25802021,"GABALDON ESTEBAN, DIEGO"
5334845,300164,head_coach,head_coach,148038,"GARCIA ALIAGA, ABRAHAM"
5334845,300164,team_delegate,team_delegate,,"DÍAZ CHOCERO, ANDRÉS"
5334848,14,head_coach,head_coach,11961546,"RUBIDO VIDAL, JOSE LUIS"
5334848,14,assistant_coach,assistant_coach,2528111,"JIMENEZ SALAZAR, DAVID"
5334848,14,team_delegate,team_delegate,,"VALLS ALONSO, FERNANDO PEDRO"
5334848,14,other_staff,AYUDANTE TECNICO SANITARIO,23026,"RODRIGUEZ MORENO, ABRAHAM"
5334848,586,head_coach,head_coach,7375746,"LOPEZ LOPEZ, ALEJANDRO"
5334848,586,team_delegate,team_delegate,,"MARTINEZ DAIMIEL, DAMIAN"
5334848,586,other_staff,ENCARGADO DE MATERIAL,21764697,"SODDU IGUALADO, ARIAN"
5334850,3035,head_coach,head_coach,3306424,"MANSO OLIVA, PATRICIO"
5334850,3035,team_delegate,team_delegate,,"MANSO OLIVA, PATRICIO"
5334850,334123,head_coach,head_coach,25783989,"SERRANO ALCANTARA, FEDERICO"
5334850,334123,team_delegate,team_delegate,,"SERRANO ALCANTARA, FEDERICO"
5334852,300164,team_delegate,team_delegate,,"DÍAZ CHOCERO, ANDRÉS"
5334852,846733,head_coach,head_coach,15025787,"FERNÁNDEZ DE PEDRO, ISMAEL"
5334849,2141,head_coach,head_coach,11468751,"GOMEZ ROMERO, HECTOR"
5334849,2141,team_delegate,team_delegate,,"ALCON MERINO, MARCOS"
5334849,6821040,head_coach,head_coach,25375102,"RAMIREZ OLARTE, ALEJANDRO"
5334849,6821040,team_delegate,team_delegate,,"PARGA MORCILLO, VICTOR"
5334847,2216,head_coach,head_coach,2480112,"SANCHEZ PAVON, JOSE RAMON"
5334847,2216,team_delegate,team_delegate,,"FERNANDEZ VAZQUEZ, CARLOS"
5334847,587,head_coach,head_coach,12342931,"GARCIA BLANCAS, JOSE MANUEL"
5334847,587,team_delegate,team_delegate,,"GARCIA LOPEZ, MANUEL"
5334846,305,head_coach,head_coach,25866606,"DÍAZ PÉREZ, IGNACIO"
5334846,305,other_staff,ENCARGADO DE MATERIAL,20765597,"DIAZ PEREZ, PABLO"
