match_id,team_id,role_kind,role_raw,person_id,person_name
5524443,24235531,head_coach,head_coach,19914514,"SANTOS NEVADO, RUBÉN"
5524443,24235531,team_delegate,team_delegate,,"CONTRERAS COGORRO, ALBERTO"
5524443,13549961,head_coach,head_coach,25161937,"JUEZ SALGADO, VICTOR"
5524443,13549961,team_delegate,team_delegate,,"JUEZ SALGADO, VICTOR"
5524444,1753,head_coach,head_coach,25980911,"MADERO GIL, RODRIGO"
5524444,1753,team_delegate,team_delegate,,"SERRANO SANCHO, MANUEL"
5524444,2274797,head_coach,head_coach,9222184,"MARTINEZ DE GUINEA ALVAREZ, IGNACIO"
5524445,4934956,head_coach,head_coach,20828662,"MAGARZO MONTERO, ADRIÁN"
5524445,4934956,team_delegate,team_delegate,,"RODRIGUEZ RODRIGUEZ, HUGO"
5524445,1059937,head_coach,head_coach,25398144,"BILBAO AGUAYO, GORKA"
5524445,1059937,team_delegate,team_delegate,,"GARCIA FERNANDEZ, JAVIER"
5524446,6821043,head_coach,head_coach,21827,"MARTINEZ RUIZ, PEDRO"
5524446,6821043,other_staff,EPR,25888594,"MARTINEZ JIMENEZ, DARIO"
5524446,15305818,head_coach,head_coach,24720323,"OTERO CALVO, ISRAEL"
5524446,15305818,team_delegate,team_delegate,,"MESA ALBALADEJO, ALEJANDRO"
5524448,308,head_coach,head_coach,13213596,"ESQUILAS RIVAS, RICARDO BORJA"
5524448,308,other_staff,EPR,25999645,"VALENZUELA SAAVEDRA, ALEJANDRO"
5524448,13551112,head_coach,head_coach,23648942,"POYATO DELGADO, LUIS MARIA"
5524448,13551112,team_delegate,team_delegate,,"VELA ALVAREZ, SANDRA"
5524447,345236,team_delegate,team_delegate,,"PALMA CABALLO, RUBÉN"
5524447,12521866,team_delegate,team_delegate,,"GONZALEZ ROBISCO, FRANCISCO JOSE"
5524452,15305818,head_coach,head_coach,24720323,"OTERO CALVO, ISRAEL"
5524452,15305818,team_delegate,team_delegate,,"MESA ALBALADEJO, ALEJANDRO"
5524452,4934956,head_coach,head_coach,20828662,"MAGARZO MONTERO, ADRIÁN"
5524452,4934956,team_delegate,team_delegate,,"RODRIGUEZ RODRIGUEZ, HUGO"
5524453,12521866,team_delegate,team_delegate,,"GONZALEZ ROBISCO, FRANCISCO JOSE"
5524453,6821043,head_coach,head_coach,21827,"MARTINEZ RUIZ, PEDRO"
5524453,6821043,other_staff,EPR,25888594,"MARTINEZ JIMENEZ, DARIO"
5524449,13549961,head_coach,head_coach,25161937,"JUEZ SALGADO, VICTOR"
5524449,13549961,team_delegate,team_delegate,,"JUEZ SALGADO, VICTOR"
5524449,308,head_coach,head_coach,13213596,"ESQUILAS RIVAS, RICARDO BORJA"
5524449,308,other_staff,EPR,25999645,"VALENZUELA SAAVEDRA, ALEJANDRO"
5524450,2274797,head_coach,head_coach,26102478,"IGLESIAS GONZALEZ, MARCO"
5524450,24235531,head_coach,head_coach,19914514,"SANTOS NEVADO, RUBÉN"
5524450,24235531,team_delegate,team_delegate,,"CONTRERAS COGORRO, ALBERTO"
5524454,13551112,head_coach,head_coach,23648942,"POYATO DELGADO, LUIS MARIA"
5524454,13551112,team_delegate,team_delegate,,"VELA ALVAREZ, SANDRA"
5524454,345236,head_coach,head_coach,26064875,"PALMA CABALLO, RUBÉN"
5524454,345236,team_delegate,team_delegate,,"PALMA CABALLO, RUBÉN"
5524451,1059937,head_coach,head_coach,25398144,"BILBAO AGUAYO, GORKA"
5524451,1059937,team_delegate,team_delegate,,"ALONSO BARROS, PEDRO"
5524451,1753,head_coach,head_coach,25980911,"MADERO GIL, RODRIGO"
5524451,1753,team_delegate,team_delegate,,"SERRANO SANCHO, MANUEL"
5524456,24235531,head_coach,head_coach,21100398,"VALERO SANTANDREU, PABLO"
5524456,24235531,team_delegate,team_delegate,,"CONTRERAS COGORRO, ALBERTO"
5524456,1059937,head_coach,head_coach,25398144,"BILBAO AGUAYO, GORKA"
5524456,1059937,team_delegate,team_delegate,,"GARCIA OLIVA BENITO, CESAR"
5524460,308,head_coach,head_coach,26006774,"ESQUILAS RIVAS, RICARDO BORJA"
5524460,308,other_staff,EPR,25999645,"VALENZUELA SAAVEDRA, ALEJANDRO"
5524460,345236,head_coach,head_coach,26064875,"PALMA CABALLO, RUBÉN"
5524460,345236,team_delegate,team_delegate,,"GOMEZ GAMEZ, DARIO"
5524457,1753,head_coach,head_coach,25980911,"MADERO GIL, RODRIGO"
5524457,1753,team_delegate,team_delegate,,"SERRANO SANCHO, MANUEL"
5524457,1753,other_staff,EPR,25915667,"SERRANO SANCHO, MANUEL"
5524457,15305818,head_coach,head_coach,24720323,"OTERO CALVO, ISRAEL"
5524457,15305818,team_delegate,team_delegate,,"MESA ALBALADEJO, ALEJANDRO"
5524458,4934956,head_coach,head_coach,20828662,"MAGARZO MONTERO, ADRIÁN"
5524458,4934956,team_delegate,team_delegate,,"RODRIGUEZ RODRIGUEZ, HUGO"
5524458,12521866,team_delegate,team_delegate,,"GONZALEZ ROBISCO, FRANCISCO JOSE"
5524455,13549961,head_coach,head_coach,25161937,"JUEZ SALGADO, VICTOR"
5524455,13549961,team_delegate,team_delegate,,"JUEZ SALGADO, VICTOR"
5524455,2274797,head_coach,head_coach,26102478,"IGLESIAS GONZALEZ, MARCO"
5524459,6821043,head_coach,head_coach,21827,"MARTINEZ RUIZ, PEDRO"
5524459,13551112,head_coach,head_coach,23648942,"POYATO DELGADO, LUIS MARIA"
5524459,13551112,team_delegate,team_delegate,,"VELA ALVAREZ, SANDRA"
5524461,2274797,head_coach,head_coach,26102478,"IGLESIAS GONZALEZ, MARCO"
