season,competition_id,group_id,team_id,player_name,goals,source_url,scraped_at
2025-2026,24038500,24040228,14,"CÁRDENAS MARTÍN, ANDRÉS",52,https://www.rffm.es/competicion/goleadores?temporada=21&competicion=24038500&grupo=24040228&tipojuego=2,2026-07-31T11:28:31.567430+00:00
2025-2026,24038500,24040228,14,"GONZALEZ ORTEGA, DANIEL",27,https://www.rffm.es/competicion/goleadores?temporada=21&competicion=24038500&grupo=24040228&tipojuego=2,2026-07-31T11:28:31.567430+00:00
2025-2026,24038500,24040228,586,"SILVAN ESPINAº, HUGO",26,https://www.rffm.es/competicion/goleadores?temporada=21&competicion=24038500&grupo=24040228&tipojuego=2,2026-07-31T11:28:31.567430+00:00
2025-2026,24038500,24040228,14,"WATHLANAFA AMOS, AARON ADIJU",25,https://www.rffm.es/competicion/goleadores?temporada=21&competicion=24038500&grupo=24040228&tipojuego=2,2026-07-31T11:28:31.567430+00:00
2025-2026,24038500,24040228,14,"ZAZO SANZ, HUGO",23,https://www.rffm.es/competicion/goleadores?temporada=21&competicion=24038500&grupo=24040228&tipojuego=2,2026-07-31T11:28:31.567430+00:00
2025-2026,24038500,24040228,586,"TORIJANO SANTOS, DANIEL",23,https://www.rffm.es/competicion/goleadores?temporada=21&competicion=24038500&grupo=24040228&tipojuego=2,2026-07-31T11:28:31.567430+00:00
2025-2026,24038500,24040228,586,"RUÍZ GARCÍA, IKER",21,https://www.rffm.es/competicion/goleadores?temporada=21&competicion=24038500&grupo=24040228&tipojuego=2,2026-07-31T11:28:31.567430+00:00
2025-2026,24038500,24040228,15305816,"CAMAVINGA, CELIO JUNIOR",20,https://www.rffm.es/competicion/goleadores?temporada=21&competicion=24038500&grupo=24040228&tipojuego=2,2026-07-31T11:28:31.567430+00:00
2025-2026,24038500,24040228,2216,"FERNANDEZ RICO, HUGO",20,https://www.rffm.es/competicion/goleadores?temporada=21&competicion=24038500&grupo=24040228&tipojuego=2,2026-07-31T11:28:31.567430+00:00
2025-2026,24038500,24040228,15305816,"DJENE, POUGNOUPO NOLAN",19,https://www.rffm.es/competicion/goleadores?temporada=21&competicion=24038500&grupo=24040228&tipojuego=2,2026-07-31T11:28:31.567430+00:00
