category,metric,top_tier_n,top_tier_median,other_n,other_median,ratio,p_value
ALEVIN,matches_played,347,114.0,35047,44.0,2.59,0.0
ALEVIN,goals_total,347,40.0,35047,5.0,8.0,0.0
ALEVIN,goals_from_acta,347,41.0,35047,6.0,6.83,0.0
ALEVIN,win_rate,346,0.57,33749,0.43,1.34,0.0
ALEVIN,seasons_count,347,5.0,35047,2.0,2.5,0.0
ALEVIN,captain_appearances,347,6.0,35047,1.0,6.0,0.0
INFANTIL,matches_played,376,134.0,41613,46.0,2.91,0.0
INFANTIL,goals_total,376,34.0,41613,4.0,8.5,0.0
INFANTIL,goals_from_acta,376,33.0,41613,4.0,8.25,0.0
INFANTIL,win_rate,376,0.55,41612,0.41,1.36,0.0
INFANTIL,seasons_count,376,6.0,41613,2.0,3.0,0.0
INFANTIL,captain_appearances,376,4.0,41613,0.0,,0.0
CADETE,matches_played,405,158.0,45008,56.0,2.82,0.0
CADETE,goals_total,405,22.0,45008,4.0,5.5,0.0
CADETE,goals_from_acta,405,22.0,45008,4.0,5.5,0.0
CADETE,win_rate,405,0.52,45008,0.41,1.27,0.0
CADETE,seasons_count,405,7.0,45008,3.0,2.33,0.0
CADETE,captain_appearances,405,4.0,45008,0.0,,0.0
JUVENIL,matches_played,3531,122.0,87314,71.0,1.72,0.0
JUVENIL,goals_total,3531,10.0,87314,5.0,2.0,0.0
JUVENIL,goals_from_acta,3531,10.0,87314,5.0,2.0,0.0
JUVENIL,win_rate,3531,0.47,87314,0.43,1.09,0.0
JUVENIL,seasons_count,3531,6.0,87314,4.0,1.5,0.0
JUVENIL,captain_appearances,3531,1.0,87314,0.0,,0.0
