club_id,club_name,crest_url,delegacion,comarca,cif,registered_address,registered_locality,registered_province,registered_postal_code,correspondence_address,correspondence_locality,correspondence_province,correspondence_postal_code,correspondence_titular,correspondence_tratamiento,correspondence_email,portal_web,twitter,facebook,linkedin,instagram,telefonos,fax,fecha_fundacion,presidente,source_url,scraped_at
1011,ARAVACA C.F.,/pnfg/pimg/Clubes/00100_0012083236_logo.png,DELEGACIÓN COTORRUELO,,G81529984,"Pº NTRA. SRA. DEL BUEN CAMINO, 8 (CAF. LARA)",Madrid,Madrid,28023,"CINABRIO, 6 (Chalet)",Madrid,Madrid,28023,EMILIANO DE LA CAL DE LA CAL,D.,,aravacacf.ffmadrid.org,,,,,608507126,913573012,,EMILIANO DE LA CAL DE LA CAL,https://www.rffm.es/fichaclub/1011,2026-08-19T06:45:26.725496+00:00
1014,REAL ARANJUEZ C.F.,/pnfg/pimg/Clubes/00100_0011872721_escudo_raranjuez.jpg,DELEGACIÓN DE ARANJUEZ,,G28564334,"Pº EL DELEITE, S/N",Aranjuez,Madrid,28300,"Pº EL DELEITE, S/N",Aranjuez,Madrid,28300,,,admin@realaranjuezcf.com,www.realaranjuezcf.es,,,,,695394646 - 687550355,,,PEDRO JAVIER DE LA HOZ LOPEZ,https://www.rffm.es/fichaclub/1014,2026-08-19T06:45:26.845526+00:00
1010,C.D. LEGANES S.A.D.,/pnfg/pimg/Clubes/00100_0000052639_escudoleganes.JPG,DELEGACIÓN DE LEGANÉS,,A28526010,"ARQUITECTURA, S/N",Leganés,Madrid,28914,"ARQUITECTURA, S/N",Leganés,Madrid,28914,,,futbolbase@cdleganes.com,www.cdleganes.com,,,,,916888629,916887159,,EDUARDO COSIN DE CARVAJAL,https://www.rffm.es/fichaclub/1010,2026-08-19T06:45:27.049335+00:00
1019,C.D. BARAJAS,/pnfg/pimg/Clubes/00100_0000042740_ESCUDO%20BARAJAS.jpg,DELEGACIÓN DE ALCOBENDAS,,G79905725,"AYERBE, 16",Madrid,Madrid,28042,"AYERBE, 16",Madrid,Madrid,28042,C.D. BARAJAS,,cd.barajas@hotmail.es,www.cdbarajas.com,,Escuela de Futbol CD Barajas,,,913292218 - 606217604&nbsp;-&nbsp;&nbsp;699707552,913292218,,JUAN MUÑOZ SEVILLANO,https://www.rffm.es/fichaclub/1019,2026-08-19T06:45:27.053734+00:00
1004,CLUB A.D. FERROVIARIA,/pnfg/pimg/Clubes/00100_0011008144_Escudo_Agrupaci_n_Deportiva_Ferroviaria.jpg,DELEGACIÓN VALDEBERNARDO,,G79625125,"Paseo Delicias, 61 (Bajo A)",Madrid,Madrid,28045,Paseo de las Delicias 61 bajo,Madrid,Madrid,28045,JAVIER PUIG MARTÍNEZ,D.,info@adferroviaria.org,www.adferroviaria.org,,,,,635478716 - 680647070,,,JAVIER PUIG MARTINEZ,https://www.rffm.es/fichaclub/1004,2026-08-19T06:45:27.106027+00:00
1026,A.D. CALA POZUELO,/pnfg/pimg/Clubes/00100_0000101074_AD_CALASANZ_POZUELO.jpg,DELEGACIÓN DE ALCORCÓN,,G79197653,"CAMINO DE LAS HUERTAS, S/N (PVO. MPAL. EL PRADILLO)",Pozuelo De Alarcón,Madrid,28223,"ZARZA, 4 2º-B",Madrid,Madrid,28023,JOSE VICENTE BONET MARCO,D.,,,,,,,678440786 - 913518518,,,RAFAEL LEOPOLDO GOMEZ ARAGON,https://www.rffm.es/fichaclub/1026,2026-08-19T06:45:27.552269+00:00
1032514,CDE TONI KROOS ACADEMY,/pnfg/pimg/Clubes/00100_0011745802_tony_kroos.png,DELEGACIÓN DE ALCORCÓN,,B83495101,"Club Las Encinas, Carretera Pozuelo a Boadilla km 4,600",Boadilla Del Monte,Madrid,28660,"Club Las Encinas Boadilla, Carretera Pozuelo a Boadilla km 4,6",Boadilla Del Monte,Madrid,28660,TONI KROOS,,madrid@tonikroos-academy.com,https://www.tonikroos-academy.es/,,,,https://www.instagram.com/toni.kr8s_academy_madrid/?hl=es,694241649,,,TONI KROOS,https://www.rffm.es/fichaclub/1032514,2026-08-19T06:45:27.787200+00:00
1008,C.D. COLONIA MOSCARDO,/pnfg/pimg/Clubes/00100_0011589039_MOSCARDO.png,DELEGACIÓN COTORRUELO,,G28492833,"ANDRES ARTEAGA, 1 .",Madrid,Madrid,28026,"C/ ANDRES ARTEAGA, 1 - ESTADIO ROMAN VALERO",Madrid,Madrid,28026,Arturo Ignacio Siso Sosa,D.,cantera@cdcmoscardo.es,www.cdcmoscardo.es,,,,,618288422 - 620450061 - 638203372,,,ARTURO IGNACIO SISO SOSA,https://www.rffm.es/fichaclub/1008,2026-08-19T06:45:27.792354+00:00
1032516,C.D. ESC. FUT. HORRILLO DE LEGANES,/pnfg/pimg/Clubes/00100_0000056140_4868_E.F._HORRILLO.jpg,DELEGACIÓN DE LEGANÉS,,G84403625,C/ LOS PEDROCHES 38 3º A,Leganés,Madrid,28915,"C/ LOS PEDROCHES, 38 3ºA",Leganés,Madrid,28915,Bonifacio Horrillo Calvo,D.,escuelafbl@terra.es,escuelahorrillo@gmail.com,,,,,687296019 - 649619611,,,BONIFACIO HORRILLO CALVO,https://www.rffm.es/fichaclub/1032516,2026-08-19T06:45:28.367352+00:00
1032532,C.D. ATLETICO ALUCHE C.F.,/pnfg/pimg/Clubes/00100_0000056794_ATLETICO_ALUCHE.jpg,DELEGACIÓN COTORRUELO,,G88461819,"C/ Aldeanueva de la Vera, 28 2ºD",Madrid,Madrid,28044,"CALLE TEMBLEQUE 105, 28025 MADRID",Madrid,Madrid,28024,GONZALO GARCIA AVILES,D.,coordinacioncdatleticoaluche@gmail.com,,,,,,619780107 - 660463746,,,GONZALO GARCIA AVILES,https://www.rffm.es/fichaclub/1032532,2026-08-19T06:45:28.451754+00:00
