season,season_id,category_base,stage,status,targets_total,targets_completed,targets_failed,started_at,last_updated_at,completed_at,notes,gh_run_id,gh_run_branch
2018-2019,14,ALL,core,complete,426,426,0,2026-08-05T01:33:31.154125+00:00,2026-08-05T01:39:00.479093+00:00,2026-08-05T01:39:00.476782+00:00,,30966593768,crawl/core--2018-2019-20260805T013316Z
2019-2020,15,ALL,core,complete,366,366,0,2026-08-05T01:23:43.948050+00:00,2026-08-05T01:28:12.617568+00:00,2026-08-05T01:28:12.615538+00:00,,30966141381,crawl/core--2019-2020-20260805T012332Z
2020-2021,16,ALL,core,complete,517,517,0,2026-08-05T01:13:26.931918+00:00,2026-08-05T01:18:53.280954+00:00,2026-08-05T01:18:53.278921+00:00,,30965638510,crawl/core--2020-2021-20260805T011314Z
2021-2022,17,AFICIONADO,acta_partido,complete,10119,10119,0,2026-08-08T01:00:14.085267+00:00,2026-08-08T01:26:57.203734+00:00,2026-08-08T01:26:57.201114+00:00,,31231226604,crawl/acta_partido-AFICIONADO-2021-2022-20260808T010001Z
2021-2022,17,ALEVIN,acta_partido,complete,14916,14916,0,2026-08-07T21:28:34.324358+00:00,2026-08-07T22:08:30.712128+00:00,2026-08-07T22:08:30.709482+00:00,,31219637040,crawl/acta_partido-ALEVIN-2021-2022-20260807T212817Z
2021-2022,17,BENJAMIN,acta_partido,complete,12019,12019,0,2026-08-07T20:38:54.614344+00:00,2026-08-07T21:11:25.384055+00:00,2026-08-07T21:11:25.381256+00:00,,31216032919,crawl/acta_partido-BENJAMIN-2021-2022-20260807T203835Z
2021-2022,17,CADETE,acta_partido,complete,11773,11773,0,2026-08-07T23:17:26.876838+00:00,2026-08-07T23:49:34.137993+00:00,2026-08-07T23:49:34.135320+00:00,,31226178709,crawl/acta_partido-CADETE-2021-2022-20260807T231711Z
2021-2022,17,INFANTIL,acta_partido,complete,12860,12860,0,2026-08-07T22:25:36.444321+00:00,2026-08-07T23:00:42.963284+00:00,2026-08-07T23:00:42.960767+00:00,,31223271476,crawl/acta_partido-INFANTIL-2021-2022-20260807T222523Z
2021-2022,17,JUVENIL,acta_partido,complete,13662,13662,0,2026-08-08T00:06:02.780165+00:00,2026-08-08T00:42:14.507791+00:00,2026-08-08T00:42:14.505234+00:00,,31228712646,crawl/acta_partido-JUVENIL-2021-2022-20260808T000548Z
2021-2022,17,PREBENJAMIN,acta_partido,complete,7255,7255,0,2026-08-07T20:00:55.769505+00:00,2026-08-07T20:20:43.568147+00:00,2026-08-07T20:20:43.565525+00:00,,31213265857,crawl/acta_partido-PREBENJAMIN-2021-2022-20260807T200042Z
2021-2022,17,SENIOR,acta_partido,complete,95,95,0,2026-08-08T01:44:27.529614+00:00,2026-08-08T01:44:46.463622+00:00,2026-08-08T01:44:46.461237+00:00,,31233014246,crawl/acta_partido-SENIOR-2021-2022-20260808T014413Z
2021-2022,17,UNIVERSITARIO,acta_partido,complete,121,121,0,2026-08-08T02:19:42.328459+00:00,2026-08-08T02:20:04.669482+00:00,2026-08-08T02:20:04.667099+00:00,,31234396564,crawl/acta_partido-UNIVERSITARIO-2021-2022-20260808T021928Z
2021-2022,17,VETERANOS,acta_partido,complete,52,52,0,2026-08-08T02:02:07.208759+00:00,2026-08-08T02:02:19.743153+00:00,2026-08-08T02:02:19.740762+00:00,,31233697733,crawl/acta_partido-VETERANOS-2021-2022-20260808T020152Z
2021-2022,17,ALL,clubs,complete_with_failures,971,971,85,2026-08-07T19:40:06.512618+00:00,2026-08-07T19:42:40.756144+00:00,2026-08-07T19:42:40.754121+00:00,,31211857708,crawl/clubs--2021-2022-20260807T193953Z
2021-2022,17,ALL,core,complete,730,730,0,2026-08-05T00:59:59.548834+00:00,2026-08-05T01:08:53.683243+00:00,2026-08-05T01:08:53.681156+00:00,,30964951210,crawl/core--2021-2022-20260805T005946Z
2021-2022,17,PREBENJAMIN,fichajugador,partial,113211,11000,0,2026-08-08T02:38:06.552385+00:00,2026-08-08T03:07:17.538259+00:00,,,31235065595,crawl/fichajugador-PREBENJAMIN-2021-2022-20260808T023751Z
2022-2023,18,AFICIONADO,acta_partido,complete,10468,10468,0,2026-08-07T06:53:16.451269+00:00,2026-08-07T07:21:38.027638+00:00,2026-08-07T07:21:38.025071+00:00,,31155091331,crawl/acta_partido-AFICIONADO-2022-2023-20260807T065259Z
2022-2023,18,ALEVIN,acta_partido,complete,16651,16651,0,2026-08-07T03:24:19.909850+00:00,2026-08-07T04:08:26.612966+00:00,2026-08-07T04:08:26.610425+00:00,,31143868465,crawl/acta_partido-ALEVIN-2022-2023-20260807T032405Z
2022-2023,18,BENJAMIN,acta_partido,complete,13212,13212,0,2026-08-07T02:35:06.282842+00:00,2026-08-07T03:10:22.578371+00:00,2026-08-07T03:10:22.575859+00:00,,31141303322,crawl/acta_partido-BENJAMIN-2022-2023-20260807T023450Z
2022-2023,18,CADETE,acta_partido,complete,12985,12985,0,2026-08-07T05:15:37.616515+00:00,2026-08-07T05:50:08.794928+00:00,2026-08-07T05:50:08.793030+00:00,,31149536837,crawl/acta_partido-CADETE-2022-2023-20260807T051523Z
2022-2023,18,INFANTIL,acta_partido,complete,14041,14041,0,2026-08-07T04:22:19.498708+00:00,2026-08-07T04:59:57.105744+00:00,2026-08-07T04:59:57.103096+00:00,,31146843581,crawl/acta_partido-INFANTIL-2022-2023-20260807T042203Z
2022-2023,18,JUVENIL,acta_partido,complete,12349,12349,0,2026-08-07T06:04:31.689382+00:00,2026-08-07T06:38:10.791843+00:00,2026-08-07T06:38:10.789391+00:00,,31152290969,crawl/acta_partido-JUVENIL-2022-2023-20260807T060411Z
2022-2023,18,PREBENJAMIN,acta_partido,complete,7942,7942,0,2026-08-04T23:35:09.019167+00:00,2026-08-04T23:35:15.842680+00:00,2026-08-04T23:35:15.840331+00:00,,30960434517,crawl/acta_partido-PREBENJAMIN-2022-2023-20260804T233455Z
2022-2023,18,SENIOR,acta_partido,complete,138,138,0,2026-08-07T07:37:35.287602+00:00,2026-08-07T07:38:01.503088+00:00,2026-08-07T07:38:01.500854+00:00,,31157866960,crawl/acta_partido-SENIOR-2022-2023-20260807T073718Z
2022-2023,18,UNIVERSITARIO,acta_partido,complete,130,130,0,2026-08-07T08:10:01.910471+00:00,2026-08-07T08:10:28.263206+00:00,2026-08-07T08:10:28.260835+00:00,,31160027448,crawl/acta_partido-UNIVERSITARIO-2022-2023-20260807T080941Z
2022-2023,18,VETERANOS,acta_partido,complete,52,52,0,2026-08-07T07:53:53.342659+00:00,2026-08-07T07:54:05.913239+00:00,2026-08-07T07:54:05.911072+00:00,,31158921901,crawl/acta_partido-VETERANOS-2022-2023-20260807T075333Z
2022-2023,18,ALL,clubs,complete_with_failures,1014,1014,120,2026-08-07T02:18:53.810532+00:00,2026-08-07T02:21:33.034221+00:00,2026-08-07T02:21:33.032561+00:00,,31140473799,crawl/clubs--2022-2023-20260807T021841Z
2022-2023,18,ALL,core,complete,879,879,0,2026-08-05T00:47:01.715059+00:00,2026-08-05T00:55:56.087160+00:00,2026-08-05T00:55:56.085231+00:00,,30964282542,crawl/core--2022-2023-20260805T004648Z
2022-2023,18,AFICIONADO,fichajugador,complete,123504,123504,0,2026-08-07T18:11:24.307266+00:00,2026-08-07T18:11:24.668143+00:00,2026-08-07T18:11:24.665578+00:00,,31204864927,crawl/fichajugador-AFICIONADO-2022-2023-20260807T181107Z
2022-2023,18,ALEVIN,fichajugador,complete,123504,123504,0,2026-08-07T15:46:13.498226+00:00,2026-08-07T15:46:14.181681+00:00,2026-08-07T15:46:14.179285+00:00,,31193581791,crawl/fichajugador-ALEVIN-2022-2023-20260807T154556Z
2022-2023,18,BENJAMIN,fichajugador,complete,123504,123504,0,2026-08-07T15:29:36.910707+00:00,2026-08-07T15:29:37.130888+00:00,2026-08-07T15:29:37.128524+00:00,,31189279968,crawl/fichajugador-BENJAMIN-2022-2023-20260807T152917Z
2022-2023,18,CADETE,fichajugador,complete,123504,123504,0,2026-08-07T17:00:24.453894+00:00,2026-08-07T17:00:24.496281+00:00,2026-08-07T17:00:24.493835+00:00,,31196467426,crawl/fichajugador-CADETE-2022-2023-20260807T170006Z
