season,season_id,category,competition,competition_id,group,group_id,group_label_raw,subgroup_label,source_url,scraped_at
2025-2026,21,BENJAMIN,DIVISIÓN DE HONOR BENJAMÍN F-7,24038500,Grupo 1,24040228,Grupo 1,,https://www.rffm.es/api/groups?competicion=24038500,2026-07-31T11:28:26.648837+00:00
2025-2026,21,BENJAMIN,DIVISIÓN DE HONOR BENJAMÍN F-7,24038500,Grupo 2,24040229,Grupo 2,,https://www.rffm.es/api/groups?competicion=24038500,2026-07-31T11:28:31.568267+00:00
2025-2026,21,BENJAMIN,DIVISIÓN DE HONOR BENJAMÍN F-7,24038500,Grupo 3,24040230,Grupo 3,,https://www.rffm.es/api/groups?competicion=24038500,2026-07-31T11:28:34.404340+00:00
2025-2026,21,BENJAMIN,DIVISIÓN DE HONOR BENJAMÍN F-7,24038500,Grupo 4,24040231,Grupo 4,,https://www.rffm.es/api/groups?competicion=24038500,2026-07-31T11:28:36.947773+00:00
2025-2026,21,BENJAMIN,T. CAMPEONES DIV. DE HONOR BENJAMÍN F7,26687942,FASE FINAL,26687943,FASE FINAL,,https://www.rffm.es/api/groups?competicion=26687942,2026-07-31T11:28:40.069923+00:00
2025-2026,21,BENJAMIN,PRIMERA DIVISION AUTONOMICA BENJAMÍN F-7,24038021,Grupo 1,24038022,Grupo 1,,https://www.rffm.es/api/groups?competicion=24038021,2026-07-31T11:28:43.104784+00:00
2025-2026,21,BENJAMIN,PRIMERA DIVISION AUTONOMICA BENJAMÍN F-7,24038021,Grupo 2,24038023,Grupo 2,,https://www.rffm.es/api/groups?competicion=24038021,2026-07-31T11:28:46.438629+00:00
2025-2026,21,BENJAMIN,PRIMERA DIVISION AUTONOMICA BENJAMÍN F-7,24038021,Grupo 3,24038024,Grupo 3,,https://www.rffm.es/api/groups?competicion=24038021,2026-07-31T11:28:49.283333+00:00
2025-2026,21,BENJAMIN,PRIMERA DIVISION AUTONOMICA BENJAMÍN F-7,24038021,Grupo 4,24038025,Grupo 4,,https://www.rffm.es/api/groups?competicion=24038021,2026-07-31T11:28:53.274680+00:00
2025-2026,21,BENJAMIN,PRIMERA DIVISION AUTONOMICA BENJAMÍN F-7,24038021,Grupo 5,24038026,Grupo 5,,https://www.rffm.es/api/groups?competicion=24038021,2026-07-31T11:28:56.443348+00:00
2025-2026,21,BENJAMIN,PRIMERA DIVISION AUTONOMICA BENJAMÍN F-7,24038021,Grupo 6,24038027,Grupo 6,,https://www.rffm.es/api/groups?competicion=24038021,2026-07-31T11:28:59.067720+00:00
