name,method,path,required_params,optional_params,notes
seasons,GET,/api/seasons,,delegacion,List of all seasons with cod_temporada/nombre/fecha_inicio/fecha_fin.
game_types,GET,/api/game-types,,delegacion,List of game types (Futbol-11/Futbol-7/Futsal/Futbol-5/Futbol-Playa).
competitions,GET,/api/competitions,"temporada,tipojuego",delegacion,"Competitions for a season+game type, with NombreCategoria used for category filtering."
groups,GET,/api/groups,competicion,delegacion,"Groups within a competition, incl. total_jornadas/total_equipos/clasificacion_goleadores flags."
results (not used),GET,/api/results,"idGroup,round",delegacion,Returns a SINGLE round's matches - would require iterating jornada 1..N per group. The calendario page below is used instead since it returns the whole season in one request.
calendario_page,GET,/competicion/calendario,"temporada,competicion,grupo,jornada,tipojuego",,Server-rendered page; __NEXT_DATA__.props.pageProps.calendar.rounds contains ALL jornadas for the group regardless of the jornada query value. Primary source for matches/fixtures.
clasificaciones_page,GET,/competicion/clasificaciones,"temporada,competicion,grupo,tipojuego",,__NEXT_DATA__.props.pageProps.standings.clasificacion - standings incl. puntos_sancion.
goleadores_page,GET,/competicion/goleadores,"temporada,competicion,grupo,tipojuego",,__NEXT_DATA__.props.pageProps.scorers.goles - top scorers list.
acta_partido_page,GET,/acta-partido/<match_id>,,,"Match report enrichment (goal scorers/minutes, venue, referee-adjacent fields). robots.txt: Disallow /acta-partido/ - fetched only if enrichment.fetch_acta_partido=true."
fichaequipo_page,GET,/fichaequipo/<team_id>,,,"Team metadata enrichment (club contact info, kit colours). robots.txt: Disallow /fichaequipo/ - fetched only if enrichment.fetch_fichaequipo=true."
