club_id,category,cohort_season,n,horizon_years,retained_in_club,retained_in_club_pct,retained_in_football,retained_in_football_pct,club_name
1008,PREBENJAMIN,2021-2022,14,1,9,64.28571428571429,10,71.42857142857143,C.D. COLONIA MOSCARDO
1010,PREBENJAMIN,2021-2022,12,1,11,91.66666666666666,12,100.0,C.D. LEGANES S.A.D.
1011,PREBENJAMIN,2021-2022,51,1,36,70.58823529411765,40,78.43137254901961,ARAVACA C.F.
1014,PREBENJAMIN,2021-2022,16,1,9,56.25,11,68.75,REAL ARANJUEZ C.F.
1019,PREBENJAMIN,2021-2022,29,1,24,82.75862068965517,25,86.20689655172413,C.D. BARAJAS
1033,PREBENJAMIN,2021-2022,16,1,9,56.25,13,81.25,VALLECAS C.F.
1037,PREBENJAMIN,2021-2022,16,1,12,75.0,14,87.5,ALCOBENDAS C.F.
1038,PREBENJAMIN,2021-2022,24,1,21,87.5,24,100.0,A.D. ALCORCON S.A.D.
1051,PREBENJAMIN,2021-2022,29,1,24,82.75862068965517,25,86.20689655172413,C.D. UNION DE ARAVACA
1054,PREBENJAMIN,2021-2022,35,1,28,80.0,30,85.71428571428571,CLUB ESCUELA DE FUTBOL CONCEPCION
1070,PREBENJAMIN,2021-2022,32,1,20,62.5,28,87.5,U.D. SAN SEBASTIAN DE LOS REYES S.A.D.
1071,PREBENJAMIN,2021-2022,20,1,16,80.0,16,80.0,C.D. VILLA DEL PRADO
1072,PREBENJAMIN,2021-2022,32,1,30,93.75,30,93.75,A.D. VILLAVICIOSA DE ODON
1077,PREBENJAMIN,2021-2022,54,1,44,81.48148148148148,46,85.18518518518519,C.D. GALAPAGAR
1083,PREBENJAMIN,2021-2022,32,1,26,81.25,28,87.5,C.D. SAN ROQUE E.F.F.
1084,PREBENJAMIN,2021-2022,58,1,48,82.75862068965517,49,84.48275862068965,CLUB SAN AGUSTIN
1085,PREBENJAMIN,2021-2022,27,1,23,85.18518518518519,23,85.18518518518519,C.D. EL ALAMO
1091,PREBENJAMIN,2021-2022,15,1,12,80.0,12,80.0,UNION DEPORTIVA SAN LORENZO
1104,PREBENJAMIN,2021-2022,53,1,37,69.81132075471697,45,84.90566037735849,C.D. CANILLAS
1120,PREBENJAMIN,2021-2022,58,1,51,87.93103448275862,51,87.93103448275862,C.F. ATLETICO VALDEIGLESIAS
1134,PREBENJAMIN,2021-2022,15,1,10,66.66666666666666,14,93.33333333333333,CAMARMA C.F.
1135,PREBENJAMIN,2021-2022,23,1,13,56.52173913043478,18,78.26086956521739,ESC. MPAL. DE FUT. AGUILAS DE MORATALAZ
1156,PREBENJAMIN,2021-2022,49,1,38,77.55102040816327,41,83.6734693877551,A.D. SPORTING HORTALEZA
1168,PREBENJAMIN,2021-2022,49,1,39,79.59183673469387,44,89.79591836734694,C.D. VICALVARO
1179,PREBENJAMIN,2021-2022,34,1,28,82.35294117647058,29,85.29411764705883,C.D. AVANCE
1186,PREBENJAMIN,2021-2022,58,1,52,89.65517241379311,54,93.10344827586206,ESCUELA DEPORTIVA MORATALAZ
1194,PREBENJAMIN,2021-2022,37,1,29,78.37837837837837,32,86.48648648648648,A.D. PIQUEÑAS
1200,PREBENJAMIN,2021-2022,43,1,35,81.3953488372093,36,83.72093023255815,C.D. DOSA
1205,PREBENJAMIN,2021-2022,57,1,36,63.1578947368421,50,87.71929824561403,ESC.FUT.AT. CASARRUBUELOS
1218,PREBENJAMIN,2021-2022,13,1,8,61.53846153846154,8,61.53846153846154,MORALZARZAL C.F.
1223,PREBENJAMIN,2021-2022,37,1,32,86.48648648648648,36,97.2972972972973,AGRUPACION C.D. LUCERO LINCES
1242,PREBENJAMIN,2021-2022,20,1,19,95.0,19,95.0,NTRA. SRA. DEL BUEN CONSEJO
1254,PREBENJAMIN,2021-2022,14,1,11,78.57142857142857,14,100.0,ATLETICO ALCALA
1268,PREBENJAMIN,2021-2022,14,1,8,57.14285714285714,9,64.28571428571429,C.D. SANTA EUGENIA 1976
1276,PREBENJAMIN,2021-2022,15,1,11,73.33333333333333,12,80.0,A.D. HENARES D.IV
1330,PREBENJAMIN,2021-2022,55,1,50,90.9090909090909,52,94.54545454545455,C.D. ALZOLA-HALCONES
1363,PREBENJAMIN,2021-2022,46,1,38,82.6086956521739,40,86.95652173913044,A.D. ARGANDA CLUB DE FUTBOL
1368,PREBENJAMIN,2021-2022,23,1,20,86.95652173913044,21,91.30434782608695,A.D. VILLA ROSA
1376,PREBENJAMIN,2021-2022,14,1,7,50.0,8,57.14285714285714,C.D. SAN VIATOR
1469,PREBENJAMIN,2021-2022,30,1,23,76.66666666666667,26,86.66666666666667,CELTIC CASTILLA C.F.
1526,PREBENJAMIN,2021-2022,13,1,10,76.92307692307693,10,76.92307692307693,CLUB TORRELODONES C.F.
1580,PREBENJAMIN,2021-2022,13,1,5,38.46153846153847,10,76.92307692307693,
1600,PREBENJAMIN,2021-2022,15,1,13,86.66666666666667,13,86.66666666666667,ESCUELA DEPORTIVA ALMUDENA
1611,PREBENJAMIN,2021-2022,17,1,13,76.47058823529412,14,82.35294117647058,C.D. SPARTAC DE MANOTERAS
1657,PREBENJAMIN,2021-2022,41,1,35,85.36585365853658,35,85.36585365853658,A.D. ESPERANZA
1670,PREBENJAMIN,2021-2022,11,1,10,90.9090909090909,11,100.0,LA MUTUAL JUAN XXIII
1675,PREBENJAMIN,2021-2022,26,1,21,80.76923076923077,24,92.3076923076923,A.D. ORCASITAS
1679,PREBENJAMIN,2021-2022,11,1,10,90.9090909090909,11,100.0,C.D. GRIÑON
1696,PREBENJAMIN,2021-2022,25,1,20,80.0,22,88.0,ESCUELA FUTBOL JUVENTUD MADRID
1727,PREBENJAMIN,2021-2022,11,1,6,54.54545454545454,8,72.72727272727273,ESCUELAS DEPORTIVAS DE PINTO
1756,PREBENJAMIN,2021-2022,53,1,53,100.0,53,100.0,FEPE GETAFE III
1795,PREBENJAMIN,2021-2022,32,1,0,0.0,31,96.875,
1798,PREBENJAMIN,2021-2022,23,1,23,100.0,23,100.0,CLUB VILLACONEJOS
1799,PREBENJAMIN,2021-2022,12,1,11,91.66666666666666,12,100.0,CLUB SECCION DEPORTIVA DEL POZO
1888,PREBENJAMIN,2021-2022,26,1,23,88.46153846153845,25,96.15384615384616,C.D. ALPEDRETE
1897,PREBENJAMIN,2021-2022,30,1,18,60.0,24,80.0,C.D. CARRANZA
1965,PREBENJAMIN,2021-2022,25,1,18,72.0,22,88.0,AD A.TOLEDO OLIVOS C.F.
1966,PREBENJAMIN,2021-2022,23,1,14,60.86956521739131,20,86.95652173913044,ESC. FUT. A.V. LA CHIMENEA
1974,PREBENJAMIN,2021-2022,36,1,25,69.44444444444444,33,91.66666666666666,A.D. NAYA
2122,PREBENJAMIN,2021-2022,21,1,14,66.66666666666666,16,76.19047619047619,A.J.D.C. LA MANCHA
2135,PREBENJAMIN,2021-2022,22,1,15,68.18181818181817,18,81.81818181818183,ESCUELA DE FUTBOL DE VICALVARO
2145,PREBENJAMIN,2021-2022,76,1,52,68.42105263157895,65,85.52631578947368,ATLETICO CHOPERA ALCOBENDAS 04
2157,PREBENJAMIN,2021-2022,15,1,8,53.333333333333336,10,66.66666666666666,C.D. MECO
