season,competition_id,category_base,category_label_raw,competition,game_type,phase_label,matches
2020-2021,18717051,ALEVIN,ALEVIN FEMENINO SALA,Alevín Femenina - F.S.,Fútbol Sala,regular_season,36
2020-2021,18876480,ALEVIN,ALEVIN FEMENINO SALA,Copa Alevín Femenina - F.S.,Fútbol Sala,regular_season,12
2020-2021,18875905,ALEVIN,ALEVIN FEMENINO SALA,Alevín Femenina Play Off - F.S.,Fútbol Sala,regular_season,3
2020-2021,18877320,ALEVIN,ALEVIN FEMENINO SALA,Copa Alevín Femenina Semifinales y Final - F.S.,Fútbol Sala,regular_season,3
2020-2021,18832577,BENJAMIN,BENJAMIN FEMENINO SALA,Benjamín Femenina - F.S.,Fútbol Sala,regular_season,18
2020-2021,18876478,BENJAMIN,BENJAMIN FEMENINO SALA,Copa Benjamín Femenina - F.S.,Fútbol Sala,regular_season,5
2021-2022,18977571,ALEVIN,ALEVIN SALA,Alevin - F.S.,Fútbol Sala,regular_season,455
2021-2022,18991162,ALEVIN,ALEVIN FEMENINO SALA,Alevín Femenina - F.S.,Fútbol Sala,regular_season,91
2021-2022,19051516,ALEVIN,ALEVIN SALA,Copa Alevín grupos - F.S.,Fútbol Sala,regular_season,90
2021-2022,19054102,ALEVIN,ALEVIN FEMENINO SALA,TORNEO ALEVIN FEMENINO GETAFE - F.S.,Fútbol Sala,regular_season,18
2021-2022,19052891,ALEVIN,ALEVIN SALA,Copa Alevin Eliminatorias - F.S.,Fútbol Sala,regular_season,15
2021-2022,19052684,ALEVIN,ALEVIN FEMENINO SALA,Copa Alevín Femenina - F.S.,Fútbol Sala,regular_season,12
2021-2022,19052720,ALEVIN,ALEVIN SALA,Copa Alevín PREVIA - F.S.,Fútbol Sala,regular_season,7
2021-2022,18973231,BENJAMIN,BENJAMIN SALA,Benjamin - F.S.,Fútbol Sala,regular_season,314
2021-2022,19051536,BENJAMIN,BENJAMIN SALA,Copa Benjamin - F.S.,Fútbol Sala,regular_season,84
2021-2022,19027127,BENJAMIN,BENJAMIN FEMENINO SALA,Benjamín Femenina - F.S.,Fútbol Sala,regular_season,24
2021-2022,19052965,BENJAMIN,BENJAMIN SALA,Copa Benjamín Eliminatorias - F.S.,Fútbol Sala,regular_season,15
2021-2022,19052893,BENJAMIN,BENJAMIN SALA,Copa Benjamin Previa - F.S.,Fútbol Sala,regular_season,6
2021-2022,19053458,BENJAMIN,BENJAMIN FEMENINO SALA,Copa Benjamín Femenina - F.S.,Fútbol Sala,regular_season,6
2022-2023,19197161,ALEVIN,ALEVIN SALA,Alevin 1ª Fase - F.S.,Fútbol Sala,regular_season,224
2022-2023,19229418,ALEVIN,ALEVIN SALA,Copa Alevín mixto - F.S.,Fútbol Sala,regular_season,63
2022-2023,19202931,ALEVIN,ALEVIN FEMENINO SALA,Alevín Femenina 1ª Fase - F.S.,Fútbol Sala,regular_season,56
2022-2023,19245941,ALEVIN,ALEVIN FEMENINO SALA,Copa alevín femenina - F.S.,Fútbol Sala,regular_season,15
