season,competition_id,competition,group_id,group,calendar_url
2021-2022,13564949,DEBUTANTE,14904349,Grupo 16,https://www.rffm.es/competicion/calendario?temporada=17&competicion=13564949&grupo=14904349&tipojuego=4
2021-2022,13564949,DEBUTANTE,14904350,Grupo 17,https://www.rffm.es/competicion/calendario?temporada=17&competicion=13564949&grupo=14904350&tipojuego=4
2022-2023,15293080,DEBUTANTE,16666470,Grupo 16,https://www.rffm.es/competicion/calendario?temporada=18&competicion=15293080&grupo=16666470&tipojuego=4
2022-2023,15293080,DEBUTANTE,16666478,Grupo 17,https://www.rffm.es/competicion/calendario?temporada=18&competicion=15293080&grupo=16666478&tipojuego=4
2023-2024,17145766,DEBUTANTE,17145780,Grupo 15,https://www.rffm.es/competicion/calendario?temporada=19&competicion=17145766&grupo=17145780&tipojuego=4
2023-2024,17145766,DEBUTANTE,17145781,Grupo 16,https://www.rffm.es/competicion/calendario?temporada=19&competicion=17145766&grupo=17145781&tipojuego=4
2024-2025,21434080,DEBUTANTE,21434094,Grupo 15,https://www.rffm.es/competicion/calendario?temporada=20&competicion=21434080&grupo=21434094&tipojuego=4
2024-2025,23974109,III FIESTA DEL FÚTBOL DEBUTANTE,23974110,PRIMER TURNO - GRUPO 1,https://www.rffm.es/competicion/calendario?temporada=20&competicion=23974109&grupo=23974110&tipojuego=2
2024-2025,23974109,III FIESTA DEL FÚTBOL DEBUTANTE,23974117,PRIMER TURNO - GRUPO 8,https://www.rffm.es/competicion/calendario?temporada=20&competicion=23974109&grupo=23974117&tipojuego=2
2024-2025,23873341,SEGUNDA FASE DEBUTANTE,23873377,GRUPO 15A,https://www.rffm.es/competicion/calendario?temporada=20&competicion=23873341&grupo=23873377&tipojuego=4
2024-2025,23873341,SEGUNDA FASE DEBUTANTE,23873378,GRUPO 15B,https://www.rffm.es/competicion/calendario?temporada=20&competicion=23873341&grupo=23873378&tipojuego=4
2024-2025,23474206,TORNEO DEBUTANTE NAVIDAD 2024,23476968,SEGUNDO TURNO - GRUPO 1,https://www.rffm.es/competicion/calendario?temporada=20&competicion=23474206&grupo=23476968&tipojuego=4
2024-2025,23474206,TORNEO DEBUTANTE NAVIDAD 2024,23476971,SEGUNDO TURNO - GRUPO 2,https://www.rffm.es/competicion/calendario?temporada=20&competicion=23474206&grupo=23476971&tipojuego=4
2025-2026,24037891,DEBUTANTE,24037904,Grupo 15,https://www.rffm.es/competicion/calendario?temporada=21&competicion=24037891&grupo=24037904&tipojuego=4
2025-2026,24037891,DEBUTANTE,24037905,Grupo 16,https://www.rffm.es/competicion/calendario?temporada=21&competicion=24037891&grupo=24037905&tipojuego=4
