club_name_raw,weeks_played,missing_weeks_inside_span,matches
C.D. CARRANZA,18,0,18
JUVENTUD SANSE,18,0,60
JUVENTUD SANSE TRINITY COLLEGE,18,0,34
C.D. UNION EUROPA SANSE,19,2,20
C.D.E. ACADEMIA DE FUTBOL ALCOBENDAS,19,2,44
EE PP SAN FERNANDO ESCOLAPIOS POZUELO,19,2,61
U.D. SAN SEBASTIAN DE LOS REYES S.A.D.,19,2,36
ALCOBENDAS C.F.,20,3,46
C.D. MOSTOLES U.R.J.C.,20,3,37
C.D.E. AMISTAD ALCORCON,20,3,36
CDE ARROW SPORTS,20,3,38
RAYO CIUDAD ALCOBENDAS C.F.,20,3,36
S.A.D. FUNDACION C.D. LEGANES,20,3,70
U.D. SAN MARTIN DE LA VEGA,20,3,37
C.D.E. CIUDAD DE PINTO,19,3,35
A.D. ARGANDA C.F.,18,3,18
A.D. EL NORTE,18,3,35
A.D. OÑA SANCHINARRO,18,3,18
A.D. UNION ADARVE,18,3,18
A.D.Y.C. PINTO,18,3,18
ATLETICO CHOPERA ALCOBENDAS 04,18,3,60
C.D. CHAMBERI DE MADRID,18,3,35
C.D. DUX INTERNACIONAL DE MADRID FOOTBALL ACADEMY VILLAVICIOSA DE ODON,18,3,18
C.D. ESTUDIANTES LAS TABLAS,18,3,32
C.D. MASRIVER,18,3,35
C.D. NUEVO BOADILLA,18,3,67
C.D. OLIMPICO LAS ROSAS,18,3,18
C.D. RIVAS JARAMA,18,3,18
C.D. SAN CRISTOBAL DE LOS ANGELES,18,3,31
C.D. SANTA BARBARA GETAFE,18,3,18
C.D. UNION VALDEBERNARDO,18,3,18
C.D. VICALVARO,18,3,51
C.D.E. AUPA - MENTEMA BOADILLA,18,3,35
C.D.E. F.P.A. LAS ROZAS,18,3,35
C.F. CAMPO REAL 89,18,3,18
C.F. INTER DE VALDEMORO,18,3,18
CDE VALMES C.F.,18,3,18
CLUB ALAMEDA DE OSUNA,18,3,35
CLUB ESCUELA DE FUTBOL CONCEPCION,18,3,18
CLUB SECCION DEPORTIVA DEL POZO,18,3,31
E.D. MORATALAZ,18,3,35
E.D.M. SAN BLAS,18,3,53
E.F.M.O. BOADILLA,18,3,35
E.M.F. MORALEJA DE ENMEDIO,18,3,18
ESC.FUT.AT. CASARRUBUELOS,18,3,18
RIVAS FUTBOL CLUB,18,3,48
S.A.D. FUNDACION RAYO VALLECANO,18,3,63
SPORTING SEIS DE DICIEMBRE,18,3,18
U.D. ARROYOFRESNO,18,3,35
UNION DEPORTIVA LA POVEDA,18,3,18
C.D. SANTIAGO APOSTOL VILLAVERDE,17,3,17
A.C.R. ATLETICO ALCOBENDAS,19,4,20
A.D. ALHONDIGA,19,4,39
A.D. ESCUELA DE FUTBOL DE CARABANCHEL,19,4,64
A.D. ESPERANZA,19,4,55
A.D. JUVENTUD CANARIO,19,4,20
A.D. PARLA,19,4,20
A.D. SPORTING HORTALEZA,19,4,38
C.D. FUTBOL TRES CANTOS,19,4,20
C.D. NEWMAN,19,4,20
C.D. SPARTAC DE MANOTERAS,19,4,20
C.D.E. NUEVO CIUDAD - CUBAS DE LA SAGRA,19,4,20
CDB UNION DEPORTIVA ARGANZUELA,19,4,56
CELTIC CASTILLA C.F.,19,4,37
E.F. CIUDAD DE GETAFE,19,4,57
ESC. MPAL. DE FUT. AGUILAS DE MORATALAZ,19,4,20
ESCUELA DE FUTBOL ARGANDA,19,4,38
ESCUELA DE FUTBOL DE VICALVARO,19,4,39
ESCUELA FUTBOL BARRIO PILAR,19,4,20
FEPE GETAFE III,19,4,56
FUNDACION ADF,19,4,20
GREDOS SAN DIEGO MORATALAZ,19,4,20
GREDOS SAN DIEGO-LAS ARTES,19,4,39
LA MORALEJA C.F. - SAN PATRICIO,19,4,20
NUEVO PINTO C.F.,19,4,39
REAL MADRID C.F.,19,4,20
RECREATIVO CULTURAL NUEVO BERCIAL,19,4,20
U.D. MOSTOLES BALOMPIE,19,4,20
UNION ZONA NORTE,19,4,20
A.D. ESCUELA DE FUTBOL USERA,18,4,18
AGRUPACION C.D. LUCERO LINCES,18,4,35
C.D. FORTUNA,18,4,18
C.D. GOYA,18,4,18
C.D. MIRASUR,18,4,18
C.F. AGUILAS DEL LUCERO,18,4,18
C.F. MADRID RIO,18,4,35
CDE KROMEX-FERILAN,18,4,18
CDE PINTO ACADEMY FC,18,4,18
DEPORTIVO CIEMPOZUELOS,18,4,35
ESCUELA FUTBOL MADRID SUR,18,4,18
REAL C.D. CARABANCHEL,18,4,35
UNION DEPORTIVA USERA,18,4,35
A.D.C. SAN FERMIN,17,4,17
CDE ACADEMIA FENIX,17,4,17
VALLECAS C.F.,18,5,19
C.D. BETIS SAN ISIDRO,16,5,16
C.D. COLONIA MOSCARDO,16,5,16
UDMELIDAOLIMPIA,16,5,16
A.D. COMPLUTENSE ALCALA,14,6,40
A.D. HENARES D.IV,14,6,14
A.D. NAYA,14,6,14
A.D. NUEVO BAZTAN,14,6,14
ATLETICO LA GARENA,14,6,14
C.D. AVANCE,14,6,14
C.F. RAYO ENSANCHE,14,6,14
C.F.D. FUTURO SAN FRANCISCO,14,6,14
C.D. PUERTA DE MADRID,14,7,14
C.D. SEK EL CASTILLO,14,7,14
CD DV7 MADRID,14,7,14
AD A.TOLEDO OLIVOS C.F.,15,8,16
C.D. SAN FERNANDO,15,8,17
CDE TONI KROOS ACADEMY,15,8,16
ESCUELA DE FUTBOL DE BRUNETE,15,8,16
S.A.D. COLEGIO SAN GABRIEL,15,8,32
S.A.D. ESPARTALES SUR,15,8,32
