club_name_raw,best_team_name,best_team_id,team_matches
A.C.R. ATLETICO ALCOBENDAS,A.C.R. ATLETICO ALCOBENDAS,21430672,21
A.D. ALHONDIGA,A.D. ALHONDIGA 'A',10658543,21
A.D. ESCUELA DE FUTBOL DE CARABANCHEL,A.D. ESCUELA DE FUTBOL DE CARABANCHEL 'A',12826102,21
A.D. ESPERANZA,A.D. ESPERANZA 'A',10333026,21
A.D. JUVENTUD CANARIO,A.D. JUVENTUD CANARIO,10656610,21
A.D. PARLA,A.D. PARLA,12317037,21
A.D. SPORTING HORTALEZA,A.D. SPORTING HORTALEZA 'A',11928796,21
ALCOBENDAS C.F.,ALCOBENDAS C.F. 'A',15277454,21
C.D. FUTBOL TRES CANTOS,C.D. FUTBOL TRES CANTOS,10334060,21
C.D. MOSTOLES U.R.J.C.,C.D. MOSTOLES U.R.J.C. 'B',13413678,21
C.D. NEWMAN,C.D. NEWMAN,24026466,21
C.D. SPARTAC DE MANOTERAS,C.D. SPARTAC DE MANOTERAS,15292052,21
C.D. UNION EUROPA SANSE,C.D. UNION EUROPA SANSE,24005920,21
C.D.E. AMISTAD ALCORCON,C.D.E. AMISTAD ALCORCON 'A',10405212,21
C.D.E. NUEVO CIUDAD - CUBAS DE LA SAGRA,C.D.E. NUEVO CIUDAD - CUBAS DE LA SAGRA,24026806,21
CDB UNION DEPORTIVA ARGANZUELA,CDB UNION DEPORTIVA ARGANZUELA 'A',21592743,21
CDE ARROW SPORTS,CDE ARROW SPORTS 'A',24012275,21
CELTIC CASTILLA C.F.,CELTIC CASTILLA C.F. 'A',11949079,21
E.F. CIUDAD DE GETAFE,E.F. CIUDAD DE GETAFE 'A',11545146,21
ESC. MPAL. DE FUT. AGUILAS DE MORATALAZ,ESC. MPAL. DE FUT. AGUILAS DE MORATALAZ,10654942,21
ESCUELA DE FUTBOL ARGANDA,ESCUELA DE FUTBOL ARGANDA 'A',11566192,21
ESCUELA DE FUTBOL DE VICALVARO,ESCUELA DE FUTBOL DE VICALVARO 'A',10333048,21
ESCUELA FUTBOL BARRIO PILAR,ESCUELA FUTBOL BARRIO PILAR,10337501,21
FEPE GETAFE III,FEPE GETAFE III 'A',10643051,21
FUNDACION ADF,FUNDACION ADF,10333045,21
GREDOS SAN DIEGO MORATALAZ,GREDOS SAN DIEGO MORATALAZ 'C',26059534,21
GREDOS SAN DIEGO-LAS ARTES,GREDOS SAN DIEGO-LAS ARTES 'A',10357003,21
LA MORALEJA C.F. - SAN PATRICIO,LA MORALEJA C.F. - SAN PATRICIO,11986840,21
NUEVO PINTO C.F.,NUEVO PINTO C.F. 'A',21426504,21
RAYO CIUDAD ALCOBENDAS C.F.,RAYO CIUDAD ALCOBENDAS C.F. 'A',13562029,21
REAL MADRID C.F.,REAL MADRID C.F.,13554215,21
RECREATIVO CULTURAL NUEVO BERCIAL,RECREATIVO CULTURAL NUEVO BERCIAL,21418813,21
S.A.D. FUNDACION C.D. LEGANES,S.A.D. FUNDACION C.D. LEGANES 'A',24317947,21
U.D. MOSTOLES BALOMPIE,U.D. MOSTOLES BALOMPIE,13397895,21
U.D. SAN MARTIN DE LA VEGA,U.D. SAN MARTIN DE LA VEGA 'A',13552138,21
U.D. SAN SEBASTIAN DE LOS REYES S.A.D.,U.D. SAN SEBASTIAN DE LOS REYES S.A.D. 'A',24329293,21
UNION ZONA NORTE,UNION ZONA NORTE,10359453,21
VALLECAS C.F.,VALLECAS C.F.,10408479,21
A.D. ARGANDA C.F.,A.D. ARGANDA C.F.,12232744,18
A.D. EL NORTE,A.D. EL NORTE 'A',10656863,18
A.D. ESCUELA DE FUTBOL USERA,A.D. ESCUELA DE FUTBOL USERA,10651375,18
A.D. OÑA SANCHINARRO,A.D. OÑA SANCHINARRO,15290327,18
A.D. UNION ADARVE,A.D. UNION ADARVE,10339367,18
A.D.C. SAN FERMIN,A.D.C. SAN FERMIN,10358763,18
A.D.Y.C. PINTO,A.D.Y.C. PINTO,14152614,18
AGRUPACION C.D. LUCERO LINCES,AGRUPACION C.D. LUCERO LINCES 'A',10357802,18
