club_name_raw,matches_total,seasons_count,seasons
C.D. NUEVO BOADILLA,517,7,"2018-2019, 2019-2020, 2021-2022, 2022-2023, 2023-2024, 2024-2025, 2025-2026"
EE PP SAN FERNANDO ESCOLAPIOS POZUELO,363,5,"2021-2022, 2022-2023, 2023-2024, 2024-2025, 2025-2026"
E.F. CIUDAD DE GETAFE,355,6,"2019-2020, 2021-2022, 2022-2023, 2023-2024, 2024-2025, 2025-2026"
FEPE GETAFE III,327,6,"2019-2020, 2021-2022, 2022-2023, 2023-2024, 2024-2025, 2025-2026"
A.D. ESPERANZA,321,7,"2018-2019, 2019-2020, 2021-2022, 2022-2023, 2023-2024, 2024-2025, 2025-2026"
S.A.D. FUNDACION RAYO VALLECANO,298,7,"2018-2019, 2019-2020, 2021-2022, 2022-2023, 2023-2024, 2024-2025, 2025-2026"
RIVAS FUTBOL CLUB,287,6,"2019-2020, 2021-2022, 2022-2023, 2023-2024, 2024-2025, 2025-2026"
ATLETICO CHOPERA ALCOBENDAS 04,267,5,"2021-2022, 2022-2023, 2023-2024, 2024-2025, 2025-2026"
ESCUELA DE FUTBOL ARGANDA,250,6,"2019-2020, 2021-2022, 2022-2023, 2023-2024, 2024-2025, 2025-2026"
ESCUELA DE FUTBOL CARABANCHEL,250,3,"2021-2022, 2022-2023, 2023-2024"
C.D. ESTUDIANTES LAS TABLAS,249,7,"2018-2019, 2019-2020, 2021-2022, 2022-2023, 2023-2024, 2024-2025, 2025-2026"
Equipo Casa (No asignado),246,7,"2018-2019, 2019-2020, 2021-2022, 2022-2023, 2023-2024, 2024-2025, 2025-2026"
A.D. COMPLUTENSE ALCALA,245,6,"2019-2020, 2021-2022, 2022-2023, 2023-2024, 2024-2025, 2025-2026"
C.D. VICALVARO,243,6,"2019-2020, 2021-2022, 2022-2023, 2023-2024, 2024-2025, 2025-2026"
S.A.D. LICEO EUROPEO,243,5,"2018-2019, 2019-2020, 2021-2022, 2022-2023, 2023-2024"
RAYO CIUDAD ALCOBENDAS C.F.,239,4,"2022-2023, 2023-2024, 2024-2025, 2025-2026"
C.D.E. CIUDAD DE PINTO,237,5,"2021-2022, 2022-2023, 2023-2024, 2024-2025, 2025-2026"
A.D. ALHONDIGA,235,6,"2019-2020, 2021-2022, 2022-2023, 2023-2024, 2024-2025, 2025-2026"
Equipo Fuera (No asignado),235,5,"2019-2020, 2021-2022, 2022-2023, 2023-2024, 2024-2025"
A.D. EL NORTE,234,6,"2019-2020, 2021-2022, 2022-2023, 2023-2024, 2024-2025, 2025-2026"
VALLECAS C.F.,234,7,"2018-2019, 2019-2020, 2021-2022, 2022-2023, 2023-2024, 2024-2025, 2025-2026"
AGRUPACION C.D. LUCERO LINCES,229,7,"2018-2019, 2019-2020, 2021-2022, 2022-2023, 2023-2024, 2024-2025, 2025-2026"
C.D. MOSTOLES U.R.J.C.,226,5,"2021-2022, 2022-2023, 2023-2024, 2024-2025, 2025-2026"
C.D. FUTBOL TRES CANTOS,220,7,"2018-2019, 2019-2020, 2021-2022, 2022-2023, 2023-2024, 2024-2025, 2025-2026"
C.D.E. ACADEMIA DE FUTBOL ALCOBENDAS,220,5,"2021-2022, 2022-2023, 2023-2024, 2024-2025, 2025-2026"
C.D.E. AMISTAD ALCORCON,217,7,"2018-2019, 2019-2020, 2021-2022, 2022-2023, 2023-2024, 2024-2025, 2025-2026"
E.F.M.O. BOADILLA,205,5,"2021-2022, 2022-2023, 2023-2024, 2024-2025, 2025-2026"
C.F. INTER DE VALDEMORO,202,6,"2019-2020, 2021-2022, 2022-2023, 2023-2024, 2024-2025, 2025-2026"
ESCUELA DEPORTIVA MORATALAZ,193,4,"2018-2019, 2019-2020, 2021-2022, 2022-2023"
UNION DEPORTIVA LA POVEDA,185,5,"2019-2020, 2021-2022, 2023-2024, 2024-2025, 2025-2026"
C.D.E. F.P.A. LAS ROZAS,182,5,"2021-2022, 2022-2023, 2023-2024, 2024-2025, 2025-2026"
REAL C.D. CARABANCHEL,182,6,"2019-2020, 2021-2022, 2022-2023, 2023-2024, 2024-2025, 2025-2026"
C.D. SAN CRISTOBAL DE LOS ANGELES,179,5,"2021-2022, 2022-2023, 2023-2024, 2024-2025, 2025-2026"
ESC.FUT.AT. CASARRUBUELOS,177,6,"2019-2020, 2021-2022, 2022-2023, 2023-2024, 2024-2025, 2025-2026"
A.D. ESCUELA DE FUTBOL USERA,173,6,"2019-2020, 2021-2022, 2022-2023, 2023-2024, 2024-2025, 2025-2026"
A.D.C. SAN FERMIN,158,6,"2019-2020, 2021-2022, 2022-2023, 2023-2024, 2024-2025, 2025-2026"
A.D. PARLA,156,5,"2021-2022, 2022-2023, 2023-2024, 2024-2025, 2025-2026"
E.D.M. SAN BLAS,154,6,"2019-2020, 2021-2022, 2022-2023, 2023-2024, 2024-2025, 2025-2026"
S.A.D. ESPARTALES SUR,152,5,"2021-2022, 2022-2023, 2023-2024, 2024-2025, 2025-2026"
