season,club_name_raw,matches_total
2018-2019,A.D. ESPERANZA,16
2018-2019,A.D. FUNDACION,8
2018-2019,A.D. UNION ADARVE,8
2018-2019,AGRUPACION C.D. LUCERO LINCES,14
2018-2019,ALAMEDA DE OSUNA ESCUELAS DE F,24
2018-2019,ASOCIACION DEP. CULT. SANFER,14
2018-2019,ATLETICO VILLALBA,12
2018-2019,AULA C.F.,12
2018-2019,C.D. COLONIA MOSCARDO,14
2018-2019,C.D. ESCUELA BREOGAN,8
2018-2019,C.D. ESTUDIANTES LAS TABLAS,42
2018-2019,C.D. FUTBOL TRES CANTOS,14
2018-2019,C.D. NUEVO BOADILLA,36
2018-2019,C.D. SANTA MARIA CARIDAD,8
2018-2019,C.D.E. AMISTAD ALCORCON,12
2018-2019,ESC. FUT. A.V. LA CHIMENEA,14
2018-2019,ESCUELA DE FUTBOL DE BRUNETE,12
2018-2019,ESCUELA DEPORTIVA MORATALAZ,42
2018-2019,ESCUELA FUTBOL BARRIO PILAR,8
2018-2019,ESCUELA FUTBOL MADRID SUR,12
2018-2019,Equipo Casa (No asignado),2
2018-2019,GREDOS SAN DIEGO,26
2018-2019,LAS ROZAS C.F.,20
2018-2019,MORALZARZAL C.F.,12
2018-2019,S.A.D. FUNDACION RAYO VALLECANO,28
2018-2019,S.A.D. LICEO EUROPEO,28
2018-2019,U.D.SAN SEBASTIAN DE LOS REYES,14
2018-2019,UNION COLLADO VILLALBA,12
2018-2019,UNION ZONA NORTE,8
2018-2019,VALLECAS C.F.,42
2019-2020,A.D. ALHONDIGA,16
2019-2020,A.D. CHORRILLO DISTRITO VIII,32
2019-2020,A.D. COMPLUTENSE ALCALA,30
2019-2020,A.D. EL NORTE,30
2019-2020,A.D. ESCUELA DE FUTBOL USERA,30
2019-2020,A.D. ESPERANZA,30
2019-2020,A.D. FUNDACION,16
2019-2020,A.D. HENARES D.IV,30
2019-2020,A.D. JUVENTUD CANARIO,16
2019-2020,A.D. NAYA,30
2019-2020,A.D. NUEVO BAZTAN,30
2019-2020,A.D. SPORTING HORTALEZA,16
2019-2020,A.D. UNION ADARVE,30
2019-2020,A.D. VILLAVERDE BAJO,16
2019-2020,A.D.C. SAN FERMIN,16
2019-2020,AGRUPACION C.D. LUCERO LINCES,30
2019-2020,ARGANDA UNION DEPORTIVA,16
2019-2020,ASOC.DEP. ATLETICO CONCILIO,30
2019-2020,ATLETICO VILLALBA,12
2019-2020,C.D. BARAJAS,16
2019-2020,C.D. CHAMBERI,16
2019-2020,C.D. COLONIA MOSCARDO,16
2019-2020,C.D. ESCUELA BREOGAN,42
2019-2020,C.D. ESTUDIANTES LAS TABLAS,30
