club_name_raw,matches_real_total,seasons_count,seasons
S.A.D. FUNDACION RAYO VALLECANO,113,2,"2024-2025, 2025-2026"
A.D. ESCUELA DE FUTBOL DE CARABANCHEL,111,2,"2024-2025, 2025-2026"
C.D. NUEVO BOADILLA,100,2,"2024-2025, 2025-2026"
C.D. VICALVARO,99,2,"2024-2025, 2025-2026"
CDB UNION DEPORTIVA ARGANZUELA,95,2,"2024-2025, 2025-2026"
ATLETICO CHOPERA ALCOBENDAS 04,94,2,"2024-2025, 2025-2026"
FEPE GETAFE III,91,2,"2024-2025, 2025-2026"
E.F. CIUDAD DE GETAFE,90,2,"2024-2025, 2025-2026"
EE PP SAN FERNANDO ESCOLAPIOS POZUELO,87,2,"2024-2025, 2025-2026"
A.D. ESPERANZA,86,2,"2024-2025, 2025-2026"
RAYO CIUDAD ALCOBENDAS C.F.,85,2,"2024-2025, 2025-2026"
C.D.E. ACADEMIA DE FUTBOL ALCOBENDAS,78,2,"2024-2025, 2025-2026"
ALCOBENDAS C.F.,77,2,"2024-2025, 2025-2026"
E.D.M. SAN BLAS,76,2,"2024-2025, 2025-2026"
A.D. COMPLUTENSE ALCALA,75,2,"2024-2025, 2025-2026"
S.A.D. FUNDACION C.D. LEGANES,70,1,2025-2026
E.D. MORATALAZ,69,2,"2024-2025, 2025-2026"
ESCUELA DE FUTBOL DE VICALVARO,64,2,"2024-2025, 2025-2026"
RIVAS FUTBOL CLUB,64,2,"2024-2025, 2025-2026"
C.D.E. CIUDAD DE PINTO,63,2,"2024-2025, 2025-2026"
A.D. ALHONDIGA,62,2,"2024-2025, 2025-2026"
C.D. MOSTOLES U.R.J.C.,61,2,"2024-2025, 2025-2026"
C.D. CHAMBERI DE MADRID,60,2,"2024-2025, 2025-2026"
CLUB ALAMEDA DE OSUNA,60,2,"2024-2025, 2025-2026"
U.D. ARROYOFRESNO,60,2,"2024-2025, 2025-2026"
C.D. MASRIVER,59,2,"2024-2025, 2025-2026"
JUVENTUD SANSE,59,1,2025-2026
A.D. EL NORTE,58,2,"2024-2025, 2025-2026"
C.D.E. AMISTAD ALCORCON,58,2,"2024-2025, 2025-2026"
ESCUELA DE FUTBOL ARGANDA,58,2,"2024-2025, 2025-2026"
S.A.D. COLEGIO SAN GABRIEL,58,2,"2024-2025, 2025-2026"
C.D. ESTUDIANTES LAS TABLAS,57,2,"2024-2025, 2025-2026"
C.D. SAN CRISTOBAL DE LOS ANGELES,56,2,"2024-2025, 2025-2026"
C.F. MADRID RIO,56,2,"2024-2025, 2025-2026"
C.D.E. F.P.A. LAS ROZAS,55,2,"2024-2025, 2025-2026"
AGRUPACION C.D. LUCERO LINCES,54,2,"2024-2025, 2025-2026"
S.A.D. ESPARTALES SUR,54,2,"2024-2025, 2025-2026"
