season,club_name_raw,matches_real
2024-2025,A.C.R. ATLETICO ALCOBENDAS,12
2024-2025,A.D. ALHONDIGA,23
2024-2025,A.D. COMPLUTENSE ALCALA,36
2024-2025,A.D. EL NORTE,23
2024-2025,A.D. ESCUELA DE FUTBOL DE CARABANCHEL,47
2024-2025,A.D. ESCUELA DE FUTBOL USERA,13
2024-2025,A.D. ESPERANZA,36
2024-2025,A.D. FUNDACION,15
2024-2025,A.D. HENARES D.IV,12
2024-2025,A.D. JUVENTUD CANARIO,14
2024-2025,A.D. NAYA,11
2024-2025,A.D. NUEVO BAZTAN,13
2024-2025,A.D. ORCASITAS,12
2024-2025,A.D. OÑA SANCHINARRO,12
2024-2025,A.D. PARLA,12
2024-2025,A.D. SPORTING HORTALEZA,13
2024-2025,A.D. UNION ADARVE,14
2024-2025,A.D.C. SAN FERMIN,25
2024-2025,A.D.Y.C. PINTO,15
2024-2025,A.J.D.C. LA MANCHA,13
2024-2025,AD A.TOLEDO OLIVOS C.F.,24
2024-2025,AGRUPACION C.D. LUCERO LINCES,20
2024-2025,ALCOBENDAS C.F.,33
2024-2025,ATLETICO CHOPERA ALCOBENDAS 04,38
2024-2025,ATLETICO LA GARENA,25
2024-2025,ATLETICO LEONES DE CASTILLA,14
2024-2025,C.D. AVANCE,24
2024-2025,C.D. BETIS SAN ISIDRO,12
2024-2025,C.D. CHAMBERI DE MADRID,25
2024-2025,C.D. COLONIA MOSCARDO,13
2024-2025,C.D. DUX INTERNACIONAL DE MADRID FOOTBALL ACADEMY VILLAVICIOSA DE ODON,13
2024-2025,C.D. ESCOLAPIOS ALCALA,13
2024-2025,C.D. ESTUDIANTES LAS TABLAS,26
2024-2025,C.D. FUTBOL TRES CANTOS,25
2024-2025,C.D. GOYA,13
2024-2025,C.D. JUVENTUD LOS CARMENES,9
2024-2025,C.D. MAR ABIERTO,12
2024-2025,C.D. MASRIVER,24
2024-2025,C.D. MOSTOLES U.R.J.C.,26
2024-2025,C.D. NUEVO BOADILLA,36
2024-2025,C.D. OLIMPICO LAS ROSAS,12
2024-2025,C.D. PEDREZUELA,13
2024-2025,C.D. PUERTA DE MADRID,14
2024-2025,C.D. RIVAS JARAMA,12
2024-2025,C.D. SAN CRISTOBAL DE LOS ANGELES,25
2024-2025,C.D. SANTA BARBARA GETAFE,12
2024-2025,C.D. SANTIAGO APOSTOL VILLAVERDE,13
2024-2025,C.D. SEK EL CASTILLO,15
2024-2025,C.D. SPARTAC DE MANOTERAS,11
2024-2025,C.D. UNION VALDEBERNARDO,24
2024-2025,C.D. VICALVARO,48
2024-2025,C.D.B. BIS,13
2024-2025,C.D.E. ACADEMIA DE FUTBOL ALCOBENDAS,39
2024-2025,C.D.E. AMISTAD ALCORCON,23
2024-2025,C.D.E. CIUDAD DE PINTO,32
2024-2025,C.D.E. F.P.A. LAS ROZAS,26
2024-2025,C.F. AGUILAS DEL LUCERO,11
