category_label_raw,division_level,rows
TERCERA FEDERACION,TERCERA FEDERACION,36
PREFERENTE FEMENINO SALA,PREFERENTE,14
TERCERA DIVISIÓN DE FÚTBOL SALA,TERCERA,12
PRIMERA DIVISION AUTONOMICA FEMENINO SALA,PRIMERA DIVISION AUTONOMICA,12
PREFERENTE FUTBOL FEMENINO,PREFERENTE,9
PRIMERA FUTBOL FEMENINO,PRIMERA,8
TERCERA FEDERACION DE FÚTBOL FEMENINO,TERCERA FEDERACION,8
PRIMERA DIVISION AUTONÓMICA FEMENINO,PRIMERA DIVISION AUTONOMICA,3
FASE ZONAL 7,FASE ZONAL,2
PRIMERA DIVISIÓN DE FÚTBOL FEMENINO SALA,PRIMERA,2
SEGUNDA FEDERACION,SEGUNDA,2
TORNEO INTERCENTROS PENITENCIARIOS,SEGUNDA,1
